date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-16,3838.0,3838.0,3743.14990234375,3748.35009765625,21217,BAJAJ-AUTO,BSE,yfinance,1d
2021-08-17,3748.35009765625,3818.64990234375,3742.64990234375,3807.949951171875,7401,BAJAJ-AUTO,BSE,yfinance,1d
2021-08-18,3815.0,3854.89990234375,3776.550048828125,3833.449951171875,20119,BAJAJ-AUTO,BSE,yfinance,1d
2021-08-20,3765.0,3824.0,3727.050048828125,3750.949951171875,17256,BAJAJ-AUTO,BSE,yfinance,1d
2021-08-23,3754.0,3773.550048828125,3648.550048828125,3667.25,14065,BAJAJ-AUTO,BSE,yfinance,1d
2021-08-24,3694.300048828125,3723.5,3658.050048828125,3716.050048828125,8323,BAJAJ-AUTO,BSE,yfinance,1d
2021-08-25,3739.949951171875,3759.39990234375,3680.0,3689.10009765625,15477,BAJAJ-AUTO,BSE,yfinance,1d
2021-08-26,3690.050048828125,3718.25,3672.050048828125,3691.85009765625,7578,BAJAJ-AUTO,BSE,yfinance,1d
2021-08-27,3688.0,3749.0,3680.60009765625,3698.75,14731,BAJAJ-AUTO,BSE,yfinance,1d
2021-08-30,3735.0,3756.10009765625,3705.699951171875,3713.60009765625,14091,BAJAJ-AUTO,BSE,yfinance,1d
2021-08-31,3748.0,3748.0,3707.14990234375,3725.699951171875,31921,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-01,3750.0,3810.0,3743.800048828125,3757.800048828125,15036,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-02,3780.0,3780.0,3718.0,3721.64990234375,7208,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-03,3720.10009765625,3809.0,3720.10009765625,3752.10009765625,43794,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-06,3798.949951171875,3827.39990234375,3770.949951171875,3779.699951171875,32558,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-07,3805.0,3805.0,3760.0,3770.800048828125,7298,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-08,3760.0,3769.949951171875,3718.0,3724.949951171875,18955,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-09,3725.0,3728.10009765625,3695.60009765625,3699.699951171875,10479,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-13,3719.89990234375,3719.89990234375,3682.949951171875,3699.199951171875,23764,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-14,3725.0,3766.699951171875,3691.60009765625,3750.14990234375,147852,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-15,3764.89990234375,3800.449951171875,3764.75,3779.35009765625,8243,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-16,3805.0,3832.0,3785.0,3811.800048828125,28464,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-17,3854.0,3878.0,3813.0,3823.85009765625,15021,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-20,3815.0,3815.0,3735.0,3773.75,24057,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-21,3755.0,3799.050048828125,3696.75,3728.35009765625,11319,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-22,3756.0,3770.0,3723.949951171875,3755.199951171875,7581,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-23,3757.14990234375,3818.39990234375,3757.14990234375,3800.199951171875,70754,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-24,3830.0,3849.39990234375,3787.5,3808.14990234375,19632,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-27,3815.14990234375,3929.75,3815.14990234375,3913.5,23938,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-28,3950.0,3950.0,3873.75,3908.550048828125,38305,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-29,3899.949951171875,3935.699951171875,3849.89990234375,3898.199951171875,8330,BAJAJ-AUTO,BSE,yfinance,1d
2021-09-30,3902.0,3902.0,3814.0,3832.449951171875,10045,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-01,3830.0,3879.14990234375,3805.85009765625,3855.10009765625,12198,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-04,3845.800048828125,3883.5,3821.0,3826.14990234375,18109,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-05,3826.14990234375,3872.300048828125,3820.0,3863.75,6173,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-06,3885.5,3885.5,3760.0,3771.300048828125,7410,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-07,3810.0,3867.0,3785.64990234375,3829.0,22454,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-08,3828.550048828125,3878.39990234375,3806.10009765625,3814.75,13727,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-11,3841.0,3877.35009765625,3835.60009765625,3851.75,69562,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-12,3859.0,3993.60009765625,3855.0,3978.14990234375,31316,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-13,3997.0,4047.050048828125,3958.449951171875,3971.25,14918,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-14,3953.0,4009.64990234375,3953.0,3965.14990234375,22062,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-18,3931.050048828125,3969.25,3889.85009765625,3916.39990234375,11901,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-19,3916.0,3953.25,3893.550048828125,3911.60009765625,19299,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-20,3900.0,3908.5,3827.300048828125,3848.0,84442,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-21,3885.89990234375,3885.89990234375,3768.0,3802.800048828125,5443,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-22,3827.300048828125,3909.14990234375,3816.39990234375,3865.39990234375,17724,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-25,3871.5,3872.949951171875,3737.14990234375,3764.89990234375,7625,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-26,3781.0,3810.300048828125,3763.550048828125,3791.949951171875,8556,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-27,3803.949951171875,3836.699951171875,3760.0,3777.449951171875,10599,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-28,3854.0,3855.050048828125,3686.14990234375,3700.60009765625,30252,BAJAJ-AUTO,BSE,yfinance,1d
2021-10-29,3720.0,3753.0,3664.35009765625,3710.199951171875,9835,BAJAJ-AUTO,BSE,yfinance,1d
2021-11-01,3732.0,3748.0,3684.25,3726.199951171875,11505,BAJAJ-AUTO,BSE,yfinance,1d
2021-11-02,3742.60009765625,3792.699951171875,3728.050048828125,3742.60009765625,14646,BAJAJ-AUTO,BSE,yfinance,1d
2021-11-03,3740.89990234375,3764.10009765625,3688.39990234375,3697.0,12787,BAJAJ-AUTO,BSE,yfinance,1d
2021-11-04,3744.550048828125,3764.0,3727.10009765625,3759.050048828125,2307,BAJAJ-AUTO,BSE,yfinance,1d
2021-11-08,3764.449951171875,3800.0,3743.60009765625,3781.050048828125,4939,BAJAJ-AUTO,BSE,yfinance,1d
2021-11-09,3774.0,3843.5,3774.0,3794.5,17098,BAJAJ-AUTO,BSE,yfinance,1d
