date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-16,628.1152954101562,632.1397705078125,620.0663452148438,622.0785522460938,442552,BHARTIARTL,BSE,yfinance,1d
2021-08-17,622.0785522460938,626.2012329101562,611.8209838867188,614.7657470703125,234054,BHARTIARTL,BSE,yfinance,1d
2021-08-18,614.9620971679688,622.323974609375,609.5633544921875,611.2811279296875,174490,BHARTIARTL,BSE,yfinance,1d
2021-08-20,611.5265502929688,621.2932739257812,596.0175170898438,601.66162109375,300666,BHARTIARTL,BSE,yfinance,1d
2021-08-23,608.483642578125,618.790283203125,596.557373046875,611.0848388671875,312596,BHARTIARTL,BSE,yfinance,1d
2021-08-24,616.3853759765625,616.3853759765625,605.9315185546875,608.4345703125,159570,BHARTIARTL,BSE,yfinance,1d
2021-08-25,612.5081176757812,612.5081176757812,599.845703125,601.1708374023438,230180,BHARTIARTL,BSE,yfinance,1d
2021-08-26,599.5021362304688,599.6493530273438,572.9503173828125,576.0422973632812,822396,BHARTIARTL,BSE,yfinance,1d
2021-08-27,576.1895141601562,594.2015991210938,574.4226684570312,583.0115356445312,426596,BHARTIARTL,BSE,yfinance,1d
2021-08-30,586.7415771484375,613.3915405273438,580.2140502929688,608.9253540039062,1095263,BHARTIARTL,BSE,yfinance,1d
2021-08-31,618.2012939453125,655.6487426757812,613.98046875,651.4769897460938,1817981,BHARTIARTL,BSE,yfinance,1d
2021-09-01,656.5812377929688,660.605712890625,641.9065551757812,653.9309692382812,928588,BHARTIARTL,BSE,yfinance,1d
2021-09-02,658.3480834960938,661.3419189453125,651.918701171875,653.832763671875,360282,BHARTIARTL,BSE,yfinance,1d
2021-09-03,657.072021484375,657.072021484375,642.1028442382812,646.1764526367188,213244,BHARTIARTL,BSE,yfinance,1d
2021-09-06,650.8880615234375,653.3910522460938,641.415771484375,642.4464111328125,245307,BHARTIARTL,BSE,yfinance,1d
2021-09-07,643.8206176757812,668.1148071289062,636.0661010742188,658.3480834960938,1293066,BHARTIARTL,BSE,yfinance,1d
2021-09-08,667.1823120117188,671.4031372070312,652.7530517578125,655.50146484375,787560,BHARTIARTL,BSE,yfinance,1d
2021-09-09,655.6978149414062,675.5748901367188,655.6978149414062,673.6607666015625,483896,BHARTIARTL,BSE,yfinance,1d
2021-09-13,679.2557983398438,684.2619018554688,673.3662719726562,682.7894897460938,748377,BHARTIARTL,BSE,yfinance,1d
2021-09-14,683.133056640625,686.81396484375,676.4091796875,681.317138671875,460892,BHARTIARTL,BSE,yfinance,1d
2021-09-15,683.231201171875,721.414794921875,683.231201171875,712.1879272460938,1084298,BHARTIARTL,BSE,yfinance,1d
2021-09-16,730.2000122070312,730.2000122070312,701.9794311523438,704.9241943359375,3653681,BHARTIARTL,BSE,yfinance,1d
2021-09-17,707.0346069335938,721.218505859375,707.0346069335938,714.7400512695312,754937,BHARTIARTL,BSE,yfinance,1d
2021-09-20,711.1572875976562,720.1387329101562,706.7401123046875,711.4026489257812,1633270,BHARTIARTL,BSE,yfinance,1d
2021-09-21,710.5682983398438,726.9116821289062,708.4578857421875,713.3658447265625,327620,BHARTIARTL,BSE,yfinance,1d
2021-09-22,715.2799072265625,718.6663818359375,710.911865234375,713.3658447265625,310768,BHARTIARTL,BSE,yfinance,1d
2021-09-23,718.0774536132812,726.371826171875,710.0775146484375,712.8259887695312,2836947,BHARTIARTL,BSE,yfinance,1d
2021-09-24,714.6419067382812,738.788818359375,714.5928344726562,725.5865478515625,1262802,BHARTIARTL,BSE,yfinance,1d
2021-09-27,732.0,732.0,718.2000122070312,722.8499755859375,285330,BHARTIARTL,BSE,yfinance,1d
2021-09-28,723.0999755859375,726.9500122070312,686.0499877929688,696.25,835171,BHARTIARTL,BSE,yfinance,1d
2021-09-29,699.0,702.0,689.4500122070312,693.9500122070312,1518611,BHARTIARTL,BSE,yfinance,1d
2021-09-30,696.4000244140625,709.8499755859375,686.7000122070312,688.1500244140625,368378,BHARTIARTL,BSE,yfinance,1d
2021-10-01,688.5,688.5,667.9000244140625,672.9000244140625,627450,BHARTIARTL,BSE,yfinance,1d
