date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-16,1119.699951171875,1129.1500244140625,1113.75,1123.0,177254,HCLTECH,BSE,yfinance,1d
2021-08-17,1121.0,1151.6500244140625,1112.6500244140625,1141.25,268337,HCLTECH,BSE,yfinance,1d
2021-08-18,1158.9000244140625,1158.9000244140625,1131.0,1133.8499755859375,165786,HCLTECH,BSE,yfinance,1d
2021-08-20,1104.0,1140.199951171875,1104.0,1117.1500244140625,84238,HCLTECH,BSE,yfinance,1d
2021-08-23,1126.0999755859375,1178.050048828125,1126.0999755859375,1162.9000244140625,384906,HCLTECH,BSE,yfinance,1d
2021-08-24,1166.300048828125,1173.0,1150.0,1152.199951171875,148527,HCLTECH,BSE,yfinance,1d
2021-08-25,1161.449951171875,1169.800048828125,1140.5,1154.550048828125,126998,HCLTECH,BSE,yfinance,1d
2021-08-26,1155.0,1172.0,1155.0,1167.550048828125,134720,HCLTECH,BSE,yfinance,1d
2021-08-27,1162.0999755859375,1170.0,1159.449951171875,1162.699951171875,87315,HCLTECH,BSE,yfinance,1d
2021-08-30,1164.0,1169.949951171875,1155.0,1163.0,94391,HCLTECH,BSE,yfinance,1d
2021-08-31,1172.0,1193.1500244140625,1161.9000244140625,1181.449951171875,411722,HCLTECH,BSE,yfinance,1d
2021-09-01,1191.0,1192.0,1162.3499755859375,1164.6500244140625,65432,HCLTECH,BSE,yfinance,1d
2021-09-02,1170.0,1181.800048828125,1153.949951171875,1173.1500244140625,89137,HCLTECH,BSE,yfinance,1d
2021-09-03,1175.0,1180.199951171875,1158.699951171875,1174.25,206332,HCLTECH,BSE,yfinance,1d
2021-09-06,1177.0,1209.0,1174.0999755859375,1199.699951171875,105902,HCLTECH,BSE,yfinance,1d
2021-09-07,1210.0,1213.050048828125,1180.5,1182.4000244140625,87874,HCLTECH,BSE,yfinance,1d
2021-09-08,1182.5999755859375,1191.0,1166.949951171875,1188.5999755859375,118959,HCLTECH,BSE,yfinance,1d
2021-09-09,1191.1500244140625,1204.8499755859375,1182.800048828125,1198.699951171875,63591,HCLTECH,BSE,yfinance,1d
2021-09-13,1190.0,1214.9000244140625,1176.699951171875,1207.5999755859375,144899,HCLTECH,BSE,yfinance,1d
2021-09-14,1215.0,1240.0,1207.5999755859375,1238.300048828125,163091,HCLTECH,BSE,yfinance,1d
2021-09-15,1240.0,1288.699951171875,1230.4000244140625,1273.75,206706,HCLTECH,BSE,yfinance,1d
