date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,1526.15,1535.0,1521.45,1530.6,3126389,HDFCBANK,BSE,nse_dual_list,1d
2021-08-16,1517.2,1524.0,1505.3,1514.65,4141333,HDFCBANK,BSE,nse_dual_list,1d
2021-08-17,1556.7,1565.35,1508.35,1513.0,11492966,HDFCBANK,BSE,nse_dual_list,1d
2021-08-19,1486.05,1519.8,1486.05,1514.75,6575203,HDFCBANK,BSE,nse_dual_list,1d
2021-08-22,1529.85,1533.15,1508.65,1524.6,5421527,HDFCBANK,BSE,nse_dual_list,1d
2021-08-23,1530.0,1564.5,1527.45,1558.85,9190657,HDFCBANK,BSE,nse_dual_list,1d
2021-08-24,1552.1,1564.8,1548.0,1557.4,3863987,HDFCBANK,BSE,nse_dual_list,1d
2021-08-25,1550.0,1571.0,1543.45,1554.8,5559501,HDFCBANK,BSE,nse_dual_list,1d
2021-08-26,1552.0,1558.65,1545.25,1548.45,3191069,HDFCBANK,BSE,nse_dual_list,1d
2021-08-29,1555.6,1570.0,1551.6,1568.25,4524583,HDFCBANK,BSE,nse_dual_list,1d
2021-08-30,1563.5,1583.35,1562.2,1581.4,6031288,HDFCBANK,BSE,nse_dual_list,1d
2021-08-31,1575.0,1598.0,1574.5,1579.1,6211279,HDFCBANK,BSE,nse_dual_list,1d
2021-09-01,1574.1,1592.0,1571.25,1589.0,4809262,HDFCBANK,BSE,nse_dual_list,1d
2021-09-02,1586.1,1598.0,1568.3,1576.05,5367667,HDFCBANK,BSE,nse_dual_list,1d
2021-09-05,1579.95,1580.95,1561.95,1565.7,3938448,HDFCBANK,BSE,nse_dual_list,1d
2021-09-06,1562.5,1582.0,1555.2,1569.25,3622748,HDFCBANK,BSE,nse_dual_list,1d
2021-09-07,1571.95,1580.5,1565.6,1576.4,3362040,HDFCBANK,BSE,nse_dual_list,1d
2021-09-08,1574.0,1579.45,1561.0,1568.6,4125474,HDFCBANK,BSE,nse_dual_list,1d
2021-09-12,1562.0,1584.0,1553.65,1555.55,4479582,HDFCBANK,BSE,nse_dual_list,1d
2021-09-13,1560.0,1564.5,1546.6,1548.55,4879253,HDFCBANK,BSE,nse_dual_list,1d
2021-09-14,1535.0,1554.8,1535.0,1546.8,7411499,HDFCBANK,BSE,nse_dual_list,1d
2021-09-15,1537.75,1564.3,1536.3,1559.95,5130275,HDFCBANK,BSE,nse_dual_list,1d
2021-09-16,1569.0,1589.0,1559.2,1582.15,10249051,HDFCBANK,BSE,nse_dual_list,1d
2021-09-19,1564.0,1581.7,1558.0,1559.85,4390805,HDFCBANK,BSE,nse_dual_list,1d
2021-09-20,1562.0,1568.65,1528.95,1551.95,7387498,HDFCBANK,BSE,nse_dual_list,1d
2021-09-21,1549.0,1550.15,1530.0,1533.7,5291101,HDFCBANK,BSE,nse_dual_list,1d
2021-09-22,1542.0,1572.0,1542.0,1570.0,6832152,HDFCBANK,BSE,nse_dual_list,1d
2021-09-23,1579.0,1607.95,1575.0,1601.55,10403351,HDFCBANK,BSE,nse_dual_list,1d
2021-09-26,1615.7,1635.5,1608.0,1625.1,8207731,HDFCBANK,BSE,nse_dual_list,1d
2021-09-27,1632.0,1632.0,1582.0,1615.05,6386895,HDFCBANK,BSE,nse_dual_list,1d
2021-09-28,1597.0,1606.6,1585.15,1593.85,8131518,HDFCBANK,BSE,nse_dual_list,1d
2021-09-29,1586.0,1606.35,1583.1,1594.95,7987674,HDFCBANK,BSE,nse_dual_list,1d
2021-09-30,1583.0,1589.0,1565.25,1582.7,5564298,HDFCBANK,BSE,nse_dual_list,1d
2021-10-03,1589.0,1601.35,1583.6,1585.75,3525514,HDFCBANK,BSE,nse_dual_list,1d
2021-10-04,1592.0,1597.5,1576.25,1595.45,5128589,HDFCBANK,BSE,nse_dual_list,1d
2021-10-05,1596.0,1626.85,1587.0,1614.9,9300415,HDFCBANK,BSE,nse_dual_list,1d
2021-10-06,1626.6,1627.7,1607.0,1610.5,5632862,HDFCBANK,BSE,nse_dual_list,1d
2021-10-07,1612.0,1622.0,1600.15,1602.65,3622781,HDFCBANK,BSE,nse_dual_list,1d
2021-10-10,1599.9,1645.0,1599.0,1633.8,6540424,HDFCBANK,BSE,nse_dual_list,1d
2021-10-11,1625.0,1641.55,1625.0,1629.6,4088473,HDFCBANK,BSE,nse_dual_list,1d
2021-10-12,1637.0,1648.0,1630.0,1639.4,3112822,HDFCBANK,BSE,nse_dual_list,1d
2021-10-13,1638.0,1690.0,1638.0,1687.4,7378644,HDFCBANK,BSE,nse_dual_list,1d
2021-10-17,1705.0,1725.0,1667.05,1670.3,14428228,HDFCBANK,BSE,nse_dual_list,1d
2021-10-18,1675.45,1692.45,1671.0,1688.7,4493770,HDFCBANK,BSE,nse_dual_list,1d
2021-10-19,1689.1,1698.75,1664.45,1673.85,5454284,HDFCBANK,BSE,nse_dual_list,1d
2021-10-20,1671.8,1681.95,1660.85,1676.3,4869095,HDFCBANK,BSE,nse_dual_list,1d
2021-10-21,1680.1,1708.0,1670.75,1680.75,6087777,HDFCBANK,BSE,nse_dual_list,1d
2021-10-24,1690.0,1690.0,1613.8,1657.0,8213383,HDFCBANK,BSE,nse_dual_list,1d
2021-10-25,1650.0,1673.85,1646.35,1652.75,6045328,HDFCBANK,BSE,nse_dual_list,1d
2021-10-26,1652.75,1665.05,1637.3,1642.8,6624821,HDFCBANK,BSE,nse_dual_list,1d
2021-10-27,1650.0,1650.0,1587.15,1593.6,8898875,HDFCBANK,BSE,nse_dual_list,1d
2021-10-28,1590.0,1602.0,1560.0,1582.85,6203437,HDFCBANK,BSE,nse_dual_list,1d
2021-10-31,1585.0,1611.0,1583.55,1605.3,4061160,HDFCBANK,BSE,nse_dual_list,1d
2021-11-01,1606.0,1622.0,1600.05,1606.75,6618861,HDFCBANK,BSE,nse_dual_list,1d
2021-11-02,1605.1,1609.9,1575.55,1581.45,5103669,HDFCBANK,BSE,nse_dual_list,1d
2021-11-03,1595.0,1597.85,1590.1,1593.95,548404,HDFCBANK,BSE,nse_dual_list,1d
2021-11-07,1592.1,1604.7,1570.45,1600.25,9471790,HDFCBANK,BSE,nse_dual_list,1d
2021-11-08,1594.6,1594.6,1569.05,1572.25,6347738,HDFCBANK,BSE,nse_dual_list,1d
2021-11-09,1568.0,1569.0,1550.0,1555.25,6857063,HDFCBANK,BSE,nse_dual_list,1d
2021-11-10,1550.05,1554.9,1535.6,1548.3,3999702,HDFCBANK,BSE,nse_dual_list,1d
2021-11-11,1550.0,1559.05,1545.05,1553.0,7457046,HDFCBANK,BSE,nse_dual_list,1d
2021-11-14,1562.1,1571.85,1554.4,1557.25,4766797,HDFCBANK,BSE,nse_dual_list,1d
2021-11-15,1555.0,1557.2,1541.6,1548.0,4122703,HDFCBANK,BSE,nse_dual_list,1d
2021-11-16,1536.9,1544.0,1528.5,1530.8,3799439,HDFCBANK,BSE,nse_dual_list,1d
2021-11-17,1526.05,1543.5,1525.25,1539.4,4576437,HDFCBANK,BSE,nse_dual_list,1d
2021-11-21,1546.0,1552.7,1499.05,1515.35,7630636,HDFCBANK,BSE,nse_dual_list,1d
2021-11-22,1502.0,1527.8,1496.35,1515.55,5617607,HDFCBANK,BSE,nse_dual_list,1d
2021-11-23,1524.0,1536.35,1514.05,1518.05,15401143,HDFCBANK,BSE,nse_dual_list,1d
2021-11-24,1514.8,1533.3,1507.0,1525.95,5125826,HDFCBANK,BSE,nse_dual_list,1d
2021-11-25,1500.0,1506.7,1485.0,1489.9,9312468,HDFCBANK,BSE,nse_dual_list,1d
2021-11-28,1494.8,1507.65,1462.0,1501.25,6495498,HDFCBANK,BSE,nse_dual_list,1d
2021-11-29,1495.0,1529.0,1486.55,1493.55,12610771,HDFCBANK,BSE,nse_dual_list,1d
2021-11-30,1495.0,1507.05,1489.1,1504.65,4338817,HDFCBANK,BSE,nse_dual_list,1d
2021-12-01,1504.5,1528.8,1500.0,1525.75,5601555,HDFCBANK,BSE,nse_dual_list,1d
2021-12-02,1525.8,1535.95,1507.05,1513.55,4062347,HDFCBANK,BSE,nse_dual_list,1d
2021-12-05,1513.0,1518.8,1497.35,1503.8,3514766,HDFCBANK,BSE,nse_dual_list,1d
2021-12-06,1513.95,1532.0,1509.9,1525.7,6213767,HDFCBANK,BSE,nse_dual_list,1d
2021-12-07,1536.0,1555.05,1534.0,1553.8,7647767,HDFCBANK,BSE,nse_dual_list,1d
2021-12-08,1545.2,1554.7,1522.0,1526.85,5873872,HDFCBANK,BSE,nse_dual_list,1d
2021-12-09,1524.9,1528.0,1508.45,1522.55,3889692,HDFCBANK,BSE,nse_dual_list,1d
2021-12-12,1526.0,1537.65,1507.2,1511.15,5161071,HDFCBANK,BSE,nse_dual_list,1d
2021-12-13,1502.5,1516.0,1497.05,1502.45,4595550,HDFCBANK,BSE,nse_dual_list,1d
2021-12-14,1503.0,1523.35,1495.65,1500.0,5057574,HDFCBANK,BSE,nse_dual_list,1d
2021-12-15,1512.8,1517.0,1494.0,1500.1,6605216,HDFCBANK,BSE,nse_dual_list,1d
2021-12-16,1497.0,1506.0,1467.7,1473.05,7497384,HDFCBANK,BSE,nse_dual_list,1d
2021-12-19,1452.0,1458.0,1414.1,1425.65,10578334,HDFCBANK,BSE,nse_dual_list,1d
2021-12-20,1439.5,1450.75,1430.0,1441.8,4559375,HDFCBANK,BSE,nse_dual_list,1d
2021-12-21,1452.3,1456.0,1435.7,1445.2,4288742,HDFCBANK,BSE,nse_dual_list,1d
2021-12-22,1453.25,1457.8,1436.85,1444.1,4889583,HDFCBANK,BSE,nse_dual_list,1d
2021-12-23,1445.5,1452.0,1428.0,1438.9,2780512,HDFCBANK,BSE,nse_dual_list,1d
2021-12-26,1428.9,1454.0,1422.15,1450.8,2352549,HDFCBANK,BSE,nse_dual_list,1d
2021-12-27,1460.7,1466.9,1453.4,1460.8,2725339,HDFCBANK,BSE,nse_dual_list,1d
2021-12-28,1456.05,1461.0,1447.4,1453.85,3834351,HDFCBANK,BSE,nse_dual_list,1d
2021-12-29,1458.5,1466.85,1445.0,1461.5,3607959,HDFCBANK,BSE,nse_dual_list,1d
2021-12-30,1461.5,1484.8,1461.5,1479.4,3162868,HDFCBANK,BSE,nse_dual_list,1d
2022-01-02,1485.0,1523.0,1480.5,1519.65,4534592,HDFCBANK,BSE,nse_dual_list,1d
2022-01-03,1520.0,1532.9,1507.8,1528.55,4428676,HDFCBANK,BSE,nse_dual_list,1d
2022-01-04,1536.8,1572.0,1528.1,1564.85,7166319,HDFCBANK,BSE,nse_dual_list,1d
2022-01-05,1543.0,1554.75,1530.05,1539.75,4814465,HDFCBANK,BSE,nse_dual_list,1d
2022-01-06,1544.0,1566.75,1535.9,1550.55,5589692,HDFCBANK,BSE,nse_dual_list,1d
