date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,702.4,707.4,698.65,702.65,7920846,ICICIBANK,BSE,nse_dual_list,1d
2021-08-16,699.8,702.9,691.5,701.2,8669653,ICICIBANK,BSE,nse_dual_list,1d
2021-08-17,700.85,700.85,683.6,688.3,11069373,ICICIBANK,BSE,nse_dual_list,1d
2021-08-19,683.85,684.4,675.35,680.7,13121808,ICICIBANK,BSE,nse_dual_list,1d
2021-08-22,689.95,689.95,673.85,682.7,10917371,ICICIBANK,BSE,nse_dual_list,1d
2021-08-23,683.25,697.25,680.4,694.45,9821388,ICICIBANK,BSE,nse_dual_list,1d
2021-08-24,699.95,700.45,687.15,691.05,9535359,ICICIBANK,BSE,nse_dual_list,1d
2021-08-25,692.05,701.55,690.0,698.8,10756731,ICICIBANK,BSE,nse_dual_list,1d
2021-08-26,696.1,700.45,689.05,699.75,9135827,ICICIBANK,BSE,nse_dual_list,1d
2021-08-29,704.5,715.0,700.9,713.65,10797869,ICICIBANK,BSE,nse_dual_list,1d
2021-08-30,714.0,719.9,709.35,719.05,19760246,ICICIBANK,BSE,nse_dual_list,1d
2021-08-31,727.6,734.8,717.2,719.9,13729351,ICICIBANK,BSE,nse_dual_list,1d
2021-09-01,722.3,728.05,717.5,725.15,8627956,ICICIBANK,BSE,nse_dual_list,1d
2021-09-02,724.75,731.8,721.1,724.3,8993813,ICICIBANK,BSE,nse_dual_list,1d
2021-09-05,725.4,728.0,720.0,721.15,5329995,ICICIBANK,BSE,nse_dual_list,1d
2021-09-06,720.9,722.45,711.65,716.9,6242711,ICICIBANK,BSE,nse_dual_list,1d
2021-09-07,716.5,722.75,715.0,720.95,7118011,ICICIBANK,BSE,nse_dual_list,1d
2021-09-08,720.8,723.9,717.6,720.25,6243422,ICICIBANK,BSE,nse_dual_list,1d
2021-09-12,717.9,717.9,705.2,707.4,6967906,ICICIBANK,BSE,nse_dual_list,1d
2021-09-13,713.25,714.0,706.5,707.45,5241865,ICICIBANK,BSE,nse_dual_list,1d
2021-09-14,707.1,716.0,706.3,714.35,5936741,ICICIBANK,BSE,nse_dual_list,1d
2021-09-15,720.0,729.4,712.85,727.2,13557169,ICICIBANK,BSE,nse_dual_list,1d
2021-09-16,732.9,734.4,714.0,720.15,17075003,ICICIBANK,BSE,nse_dual_list,1d
2021-09-19,710.0,720.4,706.5,710.0,7943459,ICICIBANK,BSE,nse_dual_list,1d
2021-09-20,711.15,714.5,694.4,711.85,10009615,ICICIBANK,BSE,nse_dual_list,1d
2021-09-21,715.0,715.0,702.25,703.35,9740470,ICICIBANK,BSE,nse_dual_list,1d
2021-09-22,711.0,720.0,707.15,717.0,10412491,ICICIBANK,BSE,nse_dual_list,1d
2021-09-23,722.6,724.6,716.55,722.95,11780868,ICICIBANK,BSE,nse_dual_list,1d
2021-09-26,724.5,731.75,722.3,730.0,7712240,ICICIBANK,BSE,nse_dual_list,1d
2021-09-27,734.1,735.4,706.6,717.15,13491839,ICICIBANK,BSE,nse_dual_list,1d
2021-09-28,707.35,711.95,701.3,709.5,11453404,ICICIBANK,BSE,nse_dual_list,1d
