date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,1784.0,1801.2,1771.75,1782.35,1553661,KOTAKBANK,BSE,nse_dual_list,1d
2021-08-16,1779.0,1795.0,1777.05,1788.35,1419337,KOTAKBANK,BSE,nse_dual_list,1d
2021-08-17,1788.35,1790.55,1745.6,1749.7,2763653,KOTAKBANK,BSE,nse_dual_list,1d
2021-08-19,1732.0,1732.0,1697.0,1703.55,5643242,KOTAKBANK,BSE,nse_dual_list,1d
2021-08-22,1724.55,1724.55,1700.0,1716.85,3093169,KOTAKBANK,BSE,nse_dual_list,1d
2021-08-23,1725.0,1725.0,1691.6,1704.9,4707971,KOTAKBANK,BSE,nse_dual_list,1d
2021-08-24,1705.0,1716.7,1694.0,1697.2,2913810,KOTAKBANK,BSE,nse_dual_list,1d
2021-08-25,1693.8,1716.5,1688.9,1697.5,4382577,KOTAKBANK,BSE,nse_dual_list,1d
2021-08-26,1695.0,1723.8,1695.0,1713.55,3661315,KOTAKBANK,BSE,nse_dual_list,1d
2021-08-29,1715.95,1739.55,1715.95,1735.85,2561253,KOTAKBANK,BSE,nse_dual_list,1d
2021-08-30,1744.05,1759.6,1739.05,1753.7,4492609,KOTAKBANK,BSE,nse_dual_list,1d
2021-08-31,1753.75,1753.85,1738.0,1746.65,7266354,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-01,1752.0,1788.4,1744.0,1776.4,5763844,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-02,1793.0,1811.45,1777.55,1791.85,4845134,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-05,1808.0,1808.0,1770.0,1774.55,1901931,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-06,1774.55,1779.45,1746.0,1764.85,2922837,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-07,1760.1,1828.0,1755.0,1815.35,15249557,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-08,1826.0,1841.7,1806.8,1817.85,3642925,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-12,1828.5,1849.8,1794.75,1840.05,3271615,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-13,1850.0,1879.0,1845.15,1867.75,4168080,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-14,1874.0,1898.45,1858.0,1871.7,4814023,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-15,1877.0,1910.0,1868.0,1906.8,4128783,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-16,1916.0,2017.0,1913.0,2007.95,14638489,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-19,1990.0,2037.2,1981.35,2001.45,5881089,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-20,2017.0,2027.65,1996.1,2010.95,3866888,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-21,2016.5,2022.4,1978.8,1985.55,1911809,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-22,2004.0,2052.0,1990.9,2024.0,2989107,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-23,2030.0,2052.35,2013.9,2028.1,2114888,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-26,2031.2,2058.0,2025.5,2033.35,1830064,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-27,2040.0,2077.8,2012.9,2068.2,3899267,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-28,2059.9,2060.0,2020.15,2030.45,3420314,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-29,2025.45,2035.0,1996.8,2005.5,4572748,KOTAKBANK,BSE,nse_dual_list,1d
2021-09-30,1997.0,2010.8,1971.9,1993.55,3373978,KOTAKBANK,BSE,nse_dual_list,1d
2021-10-03,1993.55,1993.55,1993.55,1993.55,521767,KOTAKBANK,BSE,nse_dual_list,1d
2021-10-04,1994.9,1997.95,1975.5,1982.35,2719807,KOTAKBANK,BSE,nse_dual_list,1d
2021-10-05,1976.05,2005.0,1942.1,1955.75,2979275,KOTAKBANK,BSE,nse_dual_list,1d
2021-10-06,1968.0,1982.25,1949.25,1952.45,2222130,KOTAKBANK,BSE,nse_dual_list,1d
2021-10-07,1950.0,1966.15,1931.0,1936.35,1937834,KOTAKBANK,BSE,nse_dual_list,1d
2021-10-10,1949.0,2005.0,1945.0,1975.4,2376167,KOTAKBANK,BSE,nse_dual_list,1d
2021-10-11,1980.0,2004.0,1965.0,1995.1,1890902,KOTAKBANK,BSE,nse_dual_list,1d
2021-10-12,2004.0,2022.0,1994.55,2009.35,1742478,KOTAKBANK,BSE,nse_dual_list,1d
2021-10-13,2008.0,2025.5,1985.0,2017.8,1652356,KOTAKBANK,BSE,nse_dual_list,1d
2021-10-17,2017.8,2046.95,2007.95,2011.6,2166779,KOTAKBANK,BSE,nse_dual_list,1d
2021-10-18,2011.9,2044.95,1992.1,2035.35,1695203,KOTAKBANK,BSE,nse_dual_list,1d
2021-10-19,2042.0,2044.95,1998.2,2015.45,1794893,KOTAKBANK,BSE,nse_dual_list,1d
2021-10-20,2031.0,2155.0,2022.0,2143.75,9495518,KOTAKBANK,BSE,nse_dual_list,1d
2021-10-21,2154.9,2201.65,2122.75,2171.4,5931826,KOTAKBANK,BSE,nse_dual_list,1d
