date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,1674.0,1677.05,1653.35,1656.1,1794407,LT,BSE,nse_dual_list,1d
2021-08-16,1658.0,1665.0,1625.05,1638.75,1838525,LT,BSE,nse_dual_list,1d
2021-08-17,1647.0,1661.1,1627.1,1632.85,1570228,LT,BSE,nse_dual_list,1d
2021-08-19,1618.9,1623.0,1590.0,1593.6,2416059,LT,BSE,nse_dual_list,1d
2021-08-22,1600.1,1619.0,1567.9,1580.75,1973841,LT,BSE,nse_dual_list,1d
2021-08-23,1590.0,1613.35,1582.8,1605.8,1580003,LT,BSE,nse_dual_list,1d
2021-08-24,1614.95,1626.0,1590.0,1593.8,1795313,LT,BSE,nse_dual_list,1d
2021-08-25,1593.8,1602.95,1585.0,1595.75,2051262,LT,BSE,nse_dual_list,1d
2021-08-26,1604.0,1666.7,1598.05,1638.1,4903187,LT,BSE,nse_dual_list,1d
2021-08-29,1646.7,1684.95,1645.1,1660.1,3345934,LT,BSE,nse_dual_list,1d
2021-08-30,1660.05,1676.0,1645.0,1672.2,3264644,LT,BSE,nse_dual_list,1d
2021-08-31,1672.25,1718.0,1672.2,1686.4,3530101,LT,BSE,nse_dual_list,1d
2021-09-01,1687.9,1710.0,1682.0,1686.2,2400278,LT,BSE,nse_dual_list,1d
2021-09-02,1697.0,1704.3,1672.1,1691.5,2336258,LT,BSE,nse_dual_list,1d
2021-09-05,1700.0,1716.0,1690.2,1694.2,1850835,LT,BSE,nse_dual_list,1d
2021-09-06,1694.2,1705.0,1679.45,1681.7,1734879,LT,BSE,nse_dual_list,1d
2021-09-07,1682.0,1694.7,1658.0,1666.55,1644392,LT,BSE,nse_dual_list,1d
2021-09-08,1655.2,1680.6,1655.2,1670.05,1225239,LT,BSE,nse_dual_list,1d
2021-09-12,1662.05,1675.65,1660.5,1671.7,1578773,LT,BSE,nse_dual_list,1d
2021-09-13,1676.0,1698.8,1675.4,1696.45,1407269,LT,BSE,nse_dual_list,1d
2021-09-14,1700.0,1724.6,1697.0,1717.0,2757989,LT,BSE,nse_dual_list,1d
2021-09-15,1709.6,1728.5,1709.25,1721.25,2128381,LT,BSE,nse_dual_list,1d
2021-09-16,1724.0,1741.7,1706.1,1716.2,3473932,LT,BSE,nse_dual_list,1d
2021-09-19,1700.2,1735.0,1699.95,1704.35,1820374,LT,BSE,nse_dual_list,1d
2021-09-20,1698.6,1730.75,1692.4,1720.9,2029747,LT,BSE,nse_dual_list,1d
2021-09-21,1720.9,1730.0,1706.0,1710.9,1487933,LT,BSE,nse_dual_list,1d
2021-09-22,1718.3,1775.0,1715.05,1769.7,3702946,LT,BSE,nse_dual_list,1d
2021-09-23,1780.0,1810.0,1750.0,1768.75,3612494,LT,BSE,nse_dual_list,1d
2021-09-26,1772.0,1782.75,1737.0,1739.6,1650711,LT,BSE,nse_dual_list,1d
2021-09-27,1745.3,1759.05,1719.0,1737.15,1442615,LT,BSE,nse_dual_list,1d
2021-09-28,1732.0,1742.0,1716.6,1721.0,1698747,LT,BSE,nse_dual_list,1d
2021-09-29,1719.95,1734.25,1697.0,1702.95,1792078,LT,BSE,nse_dual_list,1d
2021-09-30,1697.5,1712.5,1687.5,1696.9,1563937,LT,BSE,nse_dual_list,1d
2021-10-03,1696.9,1696.9,1696.9,1696.9,650641,LT,BSE,nse_dual_list,1d
2021-10-04,1714.5,1740.0,1706.0,1716.7,1705242,LT,BSE,nse_dual_list,1d
2021-10-05,1716.7,1735.9,1690.0,1695.05,1845661,LT,BSE,nse_dual_list,1d
2021-10-06,1710.0,1729.3,1700.0,1712.45,1378863,LT,BSE,nse_dual_list,1d
2021-10-07,1740.0,1741.0,1720.0,1726.9,1755402,LT,BSE,nse_dual_list,1d
2021-10-10,1733.75,1746.85,1715.0,1716.9,1528151,LT,BSE,nse_dual_list,1d
2021-10-11,1710.5,1725.55,1700.0,1718.2,1671988,LT,BSE,nse_dual_list,1d
2021-10-12,1727.0,1763.9,1724.05,1752.05,2105025,LT,BSE,nse_dual_list,1d
2021-10-13,1775.0,1817.9,1767.45,1789.3,4440909,LT,BSE,nse_dual_list,1d
2021-10-17,1807.15,1810.5,1782.0,1788.45,1918546,LT,BSE,nse_dual_list,1d
2021-10-18,1809.8,1885.0,1802.05,1846.05,6639827,LT,BSE,nse_dual_list,1d
2021-10-19,1855.0,1868.65,1796.3,1806.7,3295376,LT,BSE,nse_dual_list,1d
2021-10-20,1815.0,1826.5,1791.05,1805.75,2774633,LT,BSE,nse_dual_list,1d
2021-10-21,1816.0,1831.5,1781.35,1792.25,1520637,LT,BSE,nse_dual_list,1d
2021-10-24,1792.25,1812.8,1760.35,1784.15,2488386,LT,BSE,nse_dual_list,1d
2021-10-25,1785.0,1811.9,1781.55,1796.25,1930107,LT,BSE,nse_dual_list,1d
2021-10-26,1801.0,1814.0,1775.1,1784.55,1408879,LT,BSE,nse_dual_list,1d
2021-10-27,1799.55,1862.0,1791.0,1814.25,6379424,LT,BSE,nse_dual_list,1d
2021-10-28,1822.0,1824.9,1735.8,1766.65,3984689,LT,BSE,nse_dual_list,1d
2021-10-31,1776.0,1805.0,1751.2,1795.35,2316925,LT,BSE,nse_dual_list,1d
2021-11-01,1800.0,1824.45,1795.4,1815.65,1687119,LT,BSE,nse_dual_list,1d
2021-11-02,1818.0,1915.0,1818.0,1889.5,11580233,LT,BSE,nse_dual_list,1d
2021-11-03,1900.0,1920.85,1900.0,1908.95,764191,LT,BSE,nse_dual_list,1d
