date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-16,118.0,119.44999694824219,118.0,118.8499984741211,331200,NTPC,BSE,yfinance,1d
2021-08-17,119.0,119.4000015258789,116.19999694824219,117.3499984741211,291236,NTPC,BSE,yfinance,1d
2021-08-18,117.19999694824219,118.9000015258789,116.25,116.5,163361,NTPC,BSE,yfinance,1d
2021-08-20,117.9000015258789,117.9000015258789,113.4000015258789,114.1500015258789,285213,NTPC,BSE,yfinance,1d
2021-08-23,114.6500015258789,115.44999694824219,112.19999694824219,113.3499984741211,326305,NTPC,BSE,yfinance,1d
2021-08-24,113.69999694824219,116.25,113.4000015258789,114.0,999275,NTPC,BSE,yfinance,1d
2021-08-25,114.9000015258789,115.25,113.80000305175781,113.94999694824219,254462,NTPC,BSE,yfinance,1d
2021-08-26,114.69999694824219,114.69999694824219,111.94999694824219,112.69999694824219,234985,NTPC,BSE,yfinance,1d
2021-08-27,112.9000015258789,114.0999984741211,112.44999694824219,113.3499984741211,151173,NTPC,BSE,yfinance,1d
2021-08-30,113.8499984741211,115.5,113.30000305175781,115.0,225505,NTPC,BSE,yfinance,1d
2021-08-31,115.6500015258789,116.3499984741211,114.69999694824219,115.94999694824219,312010,NTPC,BSE,yfinance,1d
2021-09-01,115.55000305175781,116.69999694824219,114.75,115.3499984741211,242011,NTPC,BSE,yfinance,1d
2021-09-02,115.3499984741211,116.6500015258789,115.0,116.55000305175781,121734,NTPC,BSE,yfinance,1d
2021-09-03,117.30000305175781,117.8499984741211,116.5,117.05000305175781,298332,NTPC,BSE,yfinance,1d
2021-09-06,117.55000305175781,117.9000015258789,115.94999694824219,116.44999694824219,316504,NTPC,BSE,yfinance,1d
2021-09-07,116.5999984741211,116.8499984741211,115.30000305175781,115.94999694824219,363357,NTPC,BSE,yfinance,1d
2021-09-08,114.30000305175781,114.55000305175781,112.3499984741211,113.94999694824219,445228,NTPC,BSE,yfinance,1d
2021-09-09,113.94999694824219,114.75,113.6500015258789,114.5,165074,NTPC,BSE,yfinance,1d
2021-09-13,114.5,115.44999694824219,114.19999694824219,114.9000015258789,157115,NTPC,BSE,yfinance,1d
2021-09-14,115.0,116.1500015258789,114.80000305175781,115.9000015258789,162474,NTPC,BSE,yfinance,1d
2021-09-15,116.0,124.94999694824219,116.0,124.19999694824219,3138394,NTPC,BSE,yfinance,1d
2021-09-16,124.19999694824219,125.5999984741211,123.0,124.0,1568910,NTPC,BSE,yfinance,1d
2021-09-17,124.5,124.5,121.5,123.6500015258789,1026777,NTPC,BSE,yfinance,1d
2021-09-20,121.6500015258789,124.0,121.6500015258789,122.69999694824219,363844,NTPC,BSE,yfinance,1d
2021-09-21,122.6500015258789,125.3499984741211,122.25,124.05000305175781,664798,NTPC,BSE,yfinance,1d
2021-09-22,125.0,126.94999694824219,124.0,124.4000015258789,561897,NTPC,BSE,yfinance,1d
2021-09-23,124.8499984741211,127.0,124.69999694824219,126.0999984741211,4956068,NTPC,BSE,yfinance,1d
2021-09-24,127.0,127.0,123.8499984741211,124.3499984741211,243015,NTPC,BSE,yfinance,1d
2021-09-27,125.0,127.80000305175781,124.5,126.94999694824219,542338,NTPC,BSE,yfinance,1d
2021-09-28,127.75,133.60000610351562,127.3499984741211,131.9499969482422,2088320,NTPC,BSE,yfinance,1d
2021-09-29,131.8000030517578,144.14999389648438,130.60000610351562,140.5500030517578,3399660,NTPC,BSE,yfinance,1d
2021-09-30,142.0,143.10000610351562,139.14999389648438,141.85000610351562,1848113,NTPC,BSE,yfinance,1d
2021-10-01,141.3000030517578,144.3000030517578,137.6999969482422,139.85000610351562,1355608,NTPC,BSE,yfinance,1d
2021-10-04,143.64999389648438,149.35000610351562,140.4499969482422,145.5500030517578,2722454,NTPC,BSE,yfinance,1d
2021-10-05,145.75,147.8000030517578,144.3000030517578,145.35000610351562,2499099,NTPC,BSE,yfinance,1d
2021-10-06,146.5,147.25,142.8000030517578,143.35000610351562,737979,NTPC,BSE,yfinance,1d
2021-10-07,145.0,145.64999389648438,142.3000030517578,142.75,743615,NTPC,BSE,yfinance,1d
2021-10-08,143.9499969482422,143.9499969482422,140.35000610351562,141.10000610351562,542097,NTPC,BSE,yfinance,1d
2021-10-11,141.5,146.75,141.5,144.8000030517578,5397793,NTPC,BSE,yfinance,1d
2021-10-12,146.64999389648438,146.64999389648438,143.8000030517578,144.60000610351562,544724,NTPC,BSE,yfinance,1d
2021-10-13,145.75,147.25,144.6999969482422,146.35000610351562,1123231,NTPC,BSE,yfinance,1d
2021-10-14,148.0,150.5500030517578,146.85000610351562,149.4499969482422,1171196,NTPC,BSE,yfinance,1d
2021-10-18,151.0,151.60000610351562,148.64999389648438,149.39999389648438,1517622,NTPC,BSE,yfinance,1d
2021-10-19,150.6999969482422,152.10000610351562,148.10000610351562,149.64999389648438,903585,NTPC,BSE,yfinance,1d
2021-10-20,150.9499969482422,150.9499969482422,145.35000610351562,146.25,6713336,NTPC,BSE,yfinance,1d
2021-10-21,147.35000610351562,148.5500030517578,145.89999389648438,147.75,1215087,NTPC,BSE,yfinance,1d
2021-10-22,147.89999389648438,148.0500030517578,144.0500030517578,144.89999389648438,850348,NTPC,BSE,yfinance,1d
2021-10-25,144.89999389648438,146.25,143.1999969482422,143.85000610351562,677252,NTPC,BSE,yfinance,1d
2021-10-26,144.35000610351562,145.64999389648438,142.4499969482422,143.1999969482422,370675,NTPC,BSE,yfinance,1d
2021-10-27,145.0,145.0,140.8000030517578,141.1999969482422,757836,NTPC,BSE,yfinance,1d
2021-10-28,141.75,141.85000610351562,136.60000610351562,137.5,1648995,NTPC,BSE,yfinance,1d
2021-10-29,131.89999389648438,136.9499969482422,128.5,132.6999969482422,1425142,NTPC,BSE,yfinance,1d
2021-11-01,133.3000030517578,135.1999969482422,130.9499969482422,134.3000030517578,500293,NTPC,BSE,yfinance,1d
2021-11-02,134.6999969482422,140.75,134.6999969482422,136.64999389648438,1160178,NTPC,BSE,yfinance,1d
2021-11-03,137.75,138.89999389648438,135.5500030517578,136.64999389648438,549604,NTPC,BSE,yfinance,1d
2021-11-04,138.8000030517578,138.8000030517578,137.0,137.1999969482422,64295,NTPC,BSE,yfinance,1d
2021-11-08,138.0,140.60000610351562,136.5,140.25,646682,NTPC,BSE,yfinance,1d
2021-11-09,141.39999389648438,141.39999389648438,138.10000610351562,138.4499969482422,1377361,NTPC,BSE,yfinance,1d
2021-11-10,138.0,138.3000030517578,136.75,137.4499969482422,240147,NTPC,BSE,yfinance,1d
2021-11-11,138.39999389648438,138.39999389648438,134.4499969482422,136.64999389648438,445824,NTPC,BSE,yfinance,1d
2021-11-12,137.39999389648438,138.0,134.64999389648438,136.25,1395634,NTPC,BSE,yfinance,1d
2021-11-15,137.6999969482422,137.6999969482422,136.0,137.0500030517578,174203,NTPC,BSE,yfinance,1d
2021-11-16,137.10000610351562,137.64999389648438,134.0,134.1999969482422,243379,NTPC,BSE,yfinance,1d
2021-11-17,134.3000030517578,137.9499969482422,134.0500030517578,136.4499969482422,386997,NTPC,BSE,yfinance,1d
2021-11-18,137.5,137.5500030517578,134.85000610351562,135.25,407673,NTPC,BSE,yfinance,1d
2021-11-22,135.0,136.85000610351562,129.64999389648438,130.1999969482422,473236,NTPC,BSE,yfinance,1d
2021-11-23,129.0,133.75,129.0,133.5,607531,NTPC,BSE,yfinance,1d
2021-11-24,134.75,137.25,133.60000610351562,135.39999389648438,503113,NTPC,BSE,yfinance,1d
2021-11-25,136.1999969482422,136.75,132.35000610351562,135.1999969482422,676316,NTPC,BSE,yfinance,1d
