date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-16,138.6374969482422,138.6374969482422,135.33749389648438,135.52499389648438,224891,POWERGRID,BSE,yfinance,1d
2021-08-17,135.75,137.8125,135.75,137.39999389648438,601863,POWERGRID,BSE,yfinance,1d
2021-08-18,137.3249969482422,139.5,135.0,135.3000030517578,3119142,POWERGRID,BSE,yfinance,1d
2021-08-20,133.875,135.03750610351562,133.0500030517578,133.875,197869,POWERGRID,BSE,yfinance,1d
2021-08-23,134.3249969482422,134.77499389648438,130.72500610351562,131.77499389648438,150893,POWERGRID,BSE,yfinance,1d
2021-08-24,132.0,134.39999389648438,131.77499389648438,132.71249389648438,1700271,POWERGRID,BSE,yfinance,1d
2021-08-25,132.75,133.08749389648438,131.3249969482422,131.66250610351562,217950,POWERGRID,BSE,yfinance,1d
2021-08-26,131.9250030517578,131.9250030517578,128.7375030517578,129.89999389648438,608162,POWERGRID,BSE,yfinance,1d
2021-08-27,130.3125,131.0625,128.8125,130.7624969482422,222607,POWERGRID,BSE,yfinance,1d
2021-08-30,131.28750610351562,132.22500610351562,129.6374969482422,131.66250610351562,474927,POWERGRID,BSE,yfinance,1d
2021-08-31,132.33749389648438,132.6750030517578,131.25,131.7375030517578,2957687,POWERGRID,BSE,yfinance,1d
2021-09-01,132.75,132.75,131.0625,131.6999969482422,175278,POWERGRID,BSE,yfinance,1d
2021-09-02,132.4875030517578,132.4875030517578,130.7624969482422,131.9250030517578,447125,POWERGRID,BSE,yfinance,1d
2021-09-03,131.9250030517578,132.6374969482422,130.8000030517578,131.625,770183,POWERGRID,BSE,yfinance,1d
2021-09-06,132.3000030517578,132.3000030517578,129.8249969482422,130.6875,1959891,POWERGRID,BSE,yfinance,1d
2021-09-07,131.1374969482422,131.1374969482422,129.3000030517578,129.89999389648438,677715,POWERGRID,BSE,yfinance,1d
2021-09-08,128.9250030517578,130.125,127.6875,129.6750030517578,243191,POWERGRID,BSE,yfinance,1d
2021-09-09,129.89999389648438,130.5749969482422,128.85000610351562,130.125,251754,POWERGRID,BSE,yfinance,1d
2021-09-13,130.16250610351562,130.6125030517578,129.5625,130.4250030517578,337055,POWERGRID,BSE,yfinance,1d
2021-09-14,131.0625,131.28750610351562,130.0500030517578,130.5,450377,POWERGRID,BSE,yfinance,1d
2021-09-15,130.64999389648438,134.21249389648438,130.35000610351562,133.3874969482422,473198,POWERGRID,BSE,yfinance,1d
2021-09-16,134.25,136.1999969482422,133.7624969482422,134.5500030517578,307477,POWERGRID,BSE,yfinance,1d
2021-09-17,135.0,135.2624969482422,132.60000610351562,134.0625,313393,POWERGRID,BSE,yfinance,1d
2021-09-20,132.75,134.3625030517578,131.28750610351562,132.60000610351562,1409717,POWERGRID,BSE,yfinance,1d
2021-09-21,131.5500030517578,133.5,131.5500030517578,132.0,1068606,POWERGRID,BSE,yfinance,1d
2021-09-22,132.0,133.0124969482422,131.8874969482422,132.4875030517578,829047,POWERGRID,BSE,yfinance,1d
2021-09-23,132.4875030517578,134.02499389648438,132.4875030517578,133.6125030517578,4986626,POWERGRID,BSE,yfinance,1d
2021-09-24,134.47500610351562,134.47500610351562,131.8874969482422,132.1125030517578,133767,POWERGRID,BSE,yfinance,1d
2021-09-27,132.1125030517578,132.8249969482422,131.3249969482422,132.0,219103,POWERGRID,BSE,yfinance,1d
2021-09-28,132.33749389648438,141.60000610351562,132.14999389648438,137.8125,3284977,POWERGRID,BSE,yfinance,1d
2021-09-29,137.25,147.14999389648438,137.02499389648438,146.3249969482422,1764289,POWERGRID,BSE,yfinance,1d
2021-09-30,145.91250610351562,148.4250030517578,141.41250610351562,142.4250030517578,1291714,POWERGRID,BSE,yfinance,1d
2021-10-01,142.72500610351562,145.16250610351562,142.1999969482422,143.85000610351562,639849,POWERGRID,BSE,yfinance,1d
2021-10-04,145.0124969482422,145.0124969482422,142.64999389648438,143.66250610351562,762546,POWERGRID,BSE,yfinance,1d
2021-10-05,144.52499389648438,146.3249969482422,142.08749389648438,142.35000610351562,2655927,POWERGRID,BSE,yfinance,1d
2021-10-06,143.7375030517578,144.14999389648438,140.1374969482422,140.7375030517578,381429,POWERGRID,BSE,yfinance,1d
2021-10-07,142.5,143.47500610351562,140.6999969482422,141.2624969482422,404205,POWERGRID,BSE,yfinance,1d
2021-10-08,142.4250030517578,142.6125030517578,140.25,140.7375030517578,295106,POWERGRID,BSE,yfinance,1d
2021-10-11,143.25,146.3249969482422,142.08749389648438,145.08749389648438,4376302,POWERGRID,BSE,yfinance,1d
2021-10-12,145.9499969482422,145.9499969482422,143.8125,144.97500610351562,399701,POWERGRID,BSE,yfinance,1d
2021-10-13,147.22500610351562,153.375,145.64999389648438,149.625,1277907,POWERGRID,BSE,yfinance,1d
2021-10-14,150.33749389648438,154.3874969482422,148.8000030517578,153.375,1058710,POWERGRID,BSE,yfinance,1d
2021-10-18,156.6750030517578,157.3125,151.53750610351562,152.85000610351562,3711782,POWERGRID,BSE,yfinance,1d
2021-10-19,154.08749389648438,154.08749389648438,147.75,148.875,576837,POWERGRID,BSE,yfinance,1d
2021-10-20,151.5,151.5,145.125,145.72500610351562,4395254,POWERGRID,BSE,yfinance,1d
2021-10-21,147.8625030517578,147.8625030517578,144.75,145.4250030517578,191403,POWERGRID,BSE,yfinance,1d
2021-10-22,147.9375,147.9375,143.47500610351562,145.7624969482422,132262,POWERGRID,BSE,yfinance,1d
2021-10-25,146.1374969482422,146.1374969482422,142.875,144.60000610351562,267505,POWERGRID,BSE,yfinance,1d
2021-10-26,143.5124969482422,144.5625,142.27499389648438,142.72500610351562,299738,POWERGRID,BSE,yfinance,1d
2021-10-27,143.25,143.9250030517578,141.33749389648438,142.6875,203117,POWERGRID,BSE,yfinance,1d
2021-10-28,142.6875,143.25,139.0500030517578,139.53750610351562,223973,POWERGRID,BSE,yfinance,1d
2021-10-29,140.0625,141.41250610351562,136.0124969482422,138.78750610351562,409809,POWERGRID,BSE,yfinance,1d
