date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,2149.35,2203.0,2128.15,2173.5,10123204,RELIANCE,BSE,nse_dual_list,1d
2021-08-16,2168.85,2185.2,2147.85,2164.25,5841743,RELIANCE,BSE,nse_dual_list,1d
2021-08-17,2174.0,2186.8,2152.6,2172.65,4650008,RELIANCE,BSE,nse_dual_list,1d
2021-08-19,2143.0,2172.0,2137.0,2148.25,4350228,RELIANCE,BSE,nse_dual_list,1d
2021-08-22,2174.0,2174.0,2132.3,2162.35,4547802,RELIANCE,BSE,nse_dual_list,1d
2021-08-23,2165.05,2192.0,2155.6,2183.7,5475452,RELIANCE,BSE,nse_dual_list,1d
2021-08-24,2185.4,2220.0,2180.1,2202.6,6175126,RELIANCE,BSE,nse_dual_list,1d
2021-08-25,2208.0,2244.9,2205.0,2230.45,8579105,RELIANCE,BSE,nse_dual_list,1d
2021-08-26,2237.0,2242.75,2216.05,2227.4,4836812,RELIANCE,BSE,nse_dual_list,1d
2021-08-29,2250.0,2275.85,2236.8,2270.25,6473487,RELIANCE,BSE,nse_dual_list,1d
2021-08-30,2276.9,2283.75,2242.25,2258.15,12223037,RELIANCE,BSE,nse_dual_list,1d
2021-08-31,2273.0,2292.9,2263.0,2267.1,5143640,RELIANCE,BSE,nse_dual_list,1d
2021-09-01,2255.0,2307.8,2255.0,2294.4,4595048,RELIANCE,BSE,nse_dual_list,1d
2021-09-02,2310.0,2395.0,2302.5,2388.5,14151629,RELIANCE,BSE,nse_dual_list,1d
2021-09-05,2413.0,2480.0,2412.0,2425.6,15525644,RELIANCE,BSE,nse_dual_list,1d
2021-09-06,2430.0,2458.0,2412.0,2440.9,8006968,RELIANCE,BSE,nse_dual_list,1d
2021-09-07,2452.0,2454.0,2406.65,2431.35,6600210,RELIANCE,BSE,nse_dual_list,1d
2021-09-08,2427.9,2437.85,2416.1,2425.6,4136538,RELIANCE,BSE,nse_dual_list,1d
2021-09-12,2433.0,2433.0,2368.05,2371.55,7527598,RELIANCE,BSE,nse_dual_list,1d
2021-09-13,2375.0,2394.0,2366.0,2368.45,4111205,RELIANCE,BSE,nse_dual_list,1d
2021-09-14,2368.5,2395.75,2368.5,2378.3,4186300,RELIANCE,BSE,nse_dual_list,1d
2021-09-15,2381.55,2436.75,2367.0,2428.2,6206657,RELIANCE,BSE,nse_dual_list,1d
2021-09-16,2446.0,2455.85,2375.6,2390.55,16098099,RELIANCE,BSE,nse_dual_list,1d
2021-09-19,2372.1,2418.35,2370.0,2394.35,5436385,RELIANCE,BSE,nse_dual_list,1d
2021-09-20,2405.0,2416.6,2384.0,2404.7,4576111,RELIANCE,BSE,nse_dual_list,1d
2021-09-21,2408.0,2442.0,2398.25,2430.5,5074612,RELIANCE,BSE,nse_dual_list,1d
2021-09-22,2447.4,2497.0,2445.5,2489.9,7267883,RELIANCE,BSE,nse_dual_list,1d
2021-09-23,2503.55,2505.45,2472.0,2482.7,7011181,RELIANCE,BSE,nse_dual_list,1d
2021-09-26,2487.0,2529.9,2475.3,2524.45,7095022,RELIANCE,BSE,nse_dual_list,1d
2021-09-27,2534.0,2564.9,2512.8,2548.05,8323269,RELIANCE,BSE,nse_dual_list,1d
2021-09-28,2570.0,2570.0,2520.05,2527.85,4485721,RELIANCE,BSE,nse_dual_list,1d
2021-09-29,2525.0,2534.6,2500.35,2519.25,6272085,RELIANCE,BSE,nse_dual_list,1d
2021-09-30,2501.95,2539.8,2495.0,2523.7,4134544,RELIANCE,BSE,nse_dual_list,1d
2021-10-03,2523.7,2523.7,2523.7,2523.7,2705236,RELIANCE,BSE,nse_dual_list,1d
2021-10-04,2555.1,2612.0,2547.35,2609.2,6245770,RELIANCE,BSE,nse_dual_list,1d
2021-10-05,2619.95,2619.95,2551.1,2559.85,4734472,RELIANCE,BSE,nse_dual_list,1d
2021-10-06,2595.0,2598.75,2567.7,2572.4,2924370,RELIANCE,BSE,nse_dual_list,1d
2021-10-07,2585.25,2684.4,2581.5,2671.25,7279003,RELIANCE,BSE,nse_dual_list,1d
2021-10-10,2701.4,2720.0,2645.35,2652.65,6815737,RELIANCE,BSE,nse_dual_list,1d
2021-10-11,2645.0,2683.0,2641.25,2667.8,3083747,RELIANCE,BSE,nse_dual_list,1d
2021-10-12,2679.0,2719.5,2669.3,2694.95,4596429,RELIANCE,BSE,nse_dual_list,1d
2021-10-13,2700.35,2717.45,2687.2,2700.4,3979730,RELIANCE,BSE,nse_dual_list,1d
2021-10-17,2668.6,2745.0,2662.3,2707.6,6273850,RELIANCE,BSE,nse_dual_list,1d
2021-10-18,2723.8,2751.35,2708.0,2731.85,4076617,RELIANCE,BSE,nse_dual_list,1d
2021-10-19,2742.75,2742.75,2691.5,2700.4,5865926,RELIANCE,BSE,nse_dual_list,1d
2021-10-20,2727.4,2728.0,2603.2,2622.5,9613812,RELIANCE,BSE,nse_dual_list,1d
2021-10-21,2620.0,2664.9,2611.5,2627.4,5089178,RELIANCE,BSE,nse_dual_list,1d
2021-10-24,2680.0,2680.0,2570.0,2601.8,7937067,RELIANCE,BSE,nse_dual_list,1d
2021-10-25,2617.1,2668.9,2603.15,2661.05,4499706,RELIANCE,BSE,nse_dual_list,1d
2021-10-26,2652.0,2676.8,2619.95,2627.4,4567140,RELIANCE,BSE,nse_dual_list,1d
2021-10-27,2620.0,2637.95,2590.5,2598.6,4562471,RELIANCE,BSE,nse_dual_list,1d
2021-10-28,2596.15,2596.15,2501.7,2536.25,6568539,RELIANCE,BSE,nse_dual_list,1d
2021-10-31,2536.25,2556.0,2494.1,2537.8,7144532,RELIANCE,BSE,nse_dual_list,1d
2021-11-01,2545.0,2548.0,2495.25,2500.8,4877652,RELIANCE,BSE,nse_dual_list,1d
2021-11-02,2506.05,2520.0,2461.0,2483.6,5533120,RELIANCE,BSE,nse_dual_list,1d
2021-11-03,2492.95,2504.9,2490.0,2498.85,787160,RELIANCE,BSE,nse_dual_list,1d
2021-11-07,2519.4,2520.0,2456.4,2501.95,9385607,RELIANCE,BSE,nse_dual_list,1d
2021-11-08,2505.0,2528.9,2487.05,2521.7,7237470,RELIANCE,BSE,nse_dual_list,1d
2021-11-09,2516.7,2558.0,2503.65,2549.9,4731975,RELIANCE,BSE,nse_dual_list,1d
2021-11-10,2540.05,2570.5,2535.55,2554.55,4948422,RELIANCE,BSE,nse_dual_list,1d
2021-11-11,2562.9,2598.75,2557.0,2593.1,4020744,RELIANCE,BSE,nse_dual_list,1d
2021-11-14,2600.0,2602.2,2570.0,2577.8,2216708,RELIANCE,BSE,nse_dual_list,1d
2021-11-15,2572.05,2575.0,2495.0,2517.9,5232292,RELIANCE,BSE,nse_dual_list,1d
2021-11-16,2498.95,2498.95,2461.0,2464.0,4708235,RELIANCE,BSE,nse_dual_list,1d
2021-11-17,2460.0,2489.0,2450.05,2473.3,3925345,RELIANCE,BSE,nse_dual_list,1d
2021-11-21,2436.1,2449.0,2351.0,2363.75,11133364,RELIANCE,BSE,nse_dual_list,1d
2021-11-22,2333.05,2401.25,2309.0,2385.85,11688406,RELIANCE,BSE,nse_dual_list,1d
2021-11-23,2380.0,2409.9,2343.55,2351.4,7762564,RELIANCE,BSE,nse_dual_list,1d
2021-11-24,2373.0,2502.0,2357.15,2492.95,19568487,RELIANCE,BSE,nse_dual_list,1d
2021-11-25,2467.8,2477.6,2401.5,2412.6,7274686,RELIANCE,BSE,nse_dual_list,1d
2021-11-28,2439.1,2500.0,2399.1,2441.5,11226147,RELIANCE,BSE,nse_dual_list,1d
2021-11-29,2468.0,2475.9,2388.85,2405.4,14847511,RELIANCE,BSE,nse_dual_list,1d
2021-11-30,2433.0,2474.0,2425.1,2467.0,4663276,RELIANCE,BSE,nse_dual_list,1d
2021-12-01,2469.7,2496.2,2461.6,2482.85,5870468,RELIANCE,BSE,nse_dual_list,1d
2021-12-02,2498.4,2498.5,2400.0,2408.25,8871172,RELIANCE,BSE,nse_dual_list,1d
2021-12-05,2416.0,2425.0,2357.15,2362.6,4768334,RELIANCE,BSE,nse_dual_list,1d
2021-12-06,2376.15,2404.0,2360.0,2381.85,5185007,RELIANCE,BSE,nse_dual_list,1d
2021-12-07,2424.1,2431.8,2406.3,2418.1,4035437,RELIANCE,BSE,nse_dual_list,1d
2021-12-08,2435.0,2474.9,2425.0,2456.45,6098050,RELIANCE,BSE,nse_dual_list,1d
2021-12-09,2440.25,2466.0,2430.35,2458.95,3860176,RELIANCE,BSE,nse_dual_list,1d
2021-12-12,2473.5,2474.1,2404.0,2409.65,5954148,RELIANCE,BSE,nse_dual_list,1d
2021-12-13,2380.0,2406.0,2373.4,2380.15,5995586,RELIANCE,BSE,nse_dual_list,1d
2021-12-14,2384.0,2405.0,2361.1,2373.2,4322855,RELIANCE,BSE,nse_dual_list,1d
2021-12-15,2405.7,2415.5,2368.65,2403.9,4504829,RELIANCE,BSE,nse_dual_list,1d
2021-12-16,2398.05,2408.0,2320.0,2340.45,9714489,RELIANCE,BSE,nse_dual_list,1d
2021-12-19,2317.85,2317.85,2247.1,2277.35,6611376,RELIANCE,BSE,nse_dual_list,1d
2021-12-20,2311.35,2346.0,2292.2,2311.25,5924071,RELIANCE,BSE,nse_dual_list,1d
2021-12-21,2324.9,2371.9,2322.0,2366.1,8149415,RELIANCE,BSE,nse_dual_list,1d
2021-12-22,2374.0,2380.0,2358.05,2365.25,4186912,RELIANCE,BSE,nse_dual_list,1d
2021-12-23,2370.0,2392.0,2337.55,2372.8,3639616,RELIANCE,BSE,nse_dual_list,1d
2021-12-26,2361.55,2378.0,2348.1,2370.25,1853948,RELIANCE,BSE,nse_dual_list,1d
2021-12-27,2375.6,2404.85,2373.05,2398.4,2941883,RELIANCE,BSE,nse_dual_list,1d
2021-12-28,2391.0,2419.0,2382.1,2402.5,7118779,RELIANCE,BSE,nse_dual_list,1d
2021-12-29,2400.0,2404.95,2345.6,2359.1,13537254,RELIANCE,BSE,nse_dual_list,1d
2021-12-30,2373.0,2383.9,2360.0,2368.15,4373768,RELIANCE,BSE,nse_dual_list,1d
2022-01-02,2365.0,2407.95,2363.55,2403.85,2502073,RELIANCE,BSE,nse_dual_list,1d
2022-01-03,2415.9,2461.0,2404.0,2458.1,5006225,RELIANCE,BSE,nse_dual_list,1d
2022-01-04,2462.0,2477.0,2432.95,2469.6,5373618,RELIANCE,BSE,nse_dual_list,1d
2022-01-05,2451.2,2454.0,2409.0,2416.5,6667483,RELIANCE,BSE,nse_dual_list,1d
2022-01-06,2430.95,2458.05,2411.55,2436.0,6051239,RELIANCE,BSE,nse_dual_list,1d
2022-01-09,2452.0,2457.0,2416.05,2438.0,4267365,RELIANCE,BSE,nse_dual_list,1d
2022-01-10,2436.0,2474.95,2435.0,2455.55,7478681,RELIANCE,BSE,nse_dual_list,1d
2022-01-11,2471.3,2524.95,2465.0,2521.1,6830402,RELIANCE,BSE,nse_dual_list,1d
2022-01-12,2521.25,2541.0,2508.4,2535.3,5471871,RELIANCE,BSE,nse_dual_list,1d
2022-01-13,2535.0,2567.3,2525.85,2539.0,9197773,RELIANCE,BSE,nse_dual_list,1d
2022-01-16,2538.0,2565.0,2537.0,2552.25,3708822,RELIANCE,BSE,nse_dual_list,1d
2022-01-17,2554.75,2562.35,2515.75,2521.8,2868235,RELIANCE,BSE,nse_dual_list,1d
2022-01-18,2530.0,2542.0,2509.0,2521.6,4502155,RELIANCE,BSE,nse_dual_list,1d
2022-01-19,2500.05,2509.95,2455.0,2477.45,7612203,RELIANCE,BSE,nse_dual_list,1d
2022-01-20,2452.0,2502.25,2452.0,2477.85,6155759,RELIANCE,BSE,nse_dual_list,1d
2022-01-23,2475.0,2504.75,2355.1,2377.9,10092511,RELIANCE,BSE,nse_dual_list,1d
2022-01-24,2349.55,2388.65,2305.0,2373.25,11311456,RELIANCE,BSE,nse_dual_list,1d
2022-01-26,2336.0,2356.1,2311.05,2338.1,9239426,RELIANCE,BSE,nse_dual_list,1d
2022-01-27,2365.0,2375.9,2328.4,2335.85,6769154,RELIANCE,BSE,nse_dual_list,1d
2022-01-30,2360.2,2406.4,2356.2,2386.6,5604308,RELIANCE,BSE,nse_dual_list,1d
2022-01-31,2408.0,2420.6,2347.1,2378.7,6092033,RELIANCE,BSE,nse_dual_list,1d
2022-02-01,2407.0,2407.0,2375.1,2383.55,4623163,RELIANCE,BSE,nse_dual_list,1d
2022-02-02,2392.0,2401.45,2347.2,2352.75,4417864,RELIANCE,BSE,nse_dual_list,1d
2022-02-03,2341.0,2348.45,2321.1,2331.3,5104761,RELIANCE,BSE,nse_dual_list,1d
2022-02-06,2342.0,2356.8,2305.0,2317.1,4944725,RELIANCE,BSE,nse_dual_list,1d
2022-02-07,2330.65,2360.0,2310.0,2356.05,5566080,RELIANCE,BSE,nse_dual_list,1d
2022-02-08,2371.15,2387.2,2358.0,2383.5,5300891,RELIANCE,BSE,nse_dual_list,1d
2022-02-09,2395.7,2395.7,2365.1,2381.05,5752361,RELIANCE,BSE,nse_dual_list,1d
2022-02-10,2373.25,2384.5,2344.1,2376.4,7357863,RELIANCE,BSE,nse_dual_list,1d
2022-02-13,2340.25,2354.95,2313.0,2338.55,4947109,RELIANCE,BSE,nse_dual_list,1d
2022-02-14,2351.2,2423.9,2335.7,2417.95,5174646,RELIANCE,BSE,nse_dual_list,1d
2022-02-15,2430.0,2433.0,2395.95,2412.95,4796294,RELIANCE,BSE,nse_dual_list,1d
2022-02-16,2420.1,2454.9,2410.0,2443.5,5931774,RELIANCE,BSE,nse_dual_list,1d
2022-02-17,2444.4,2456.4,2420.15,2424.4,3126873,RELIANCE,BSE,nse_dual_list,1d
2022-02-20,2412.0,2437.5,2384.6,2399.9,5125968,RELIANCE,BSE,nse_dual_list,1d
2022-02-21,2352.9,2395.9,2347.15,2389.0,6227901,RELIANCE,BSE,nse_dual_list,1d
2022-02-22,2401.1,2406.55,2368.0,2374.05,3373615,RELIANCE,BSE,nse_dual_list,1d
2022-02-23,2305.0,2339.9,2243.4,2255.75,11466725,RELIANCE,BSE,nse_dual_list,1d
2022-02-24,2280.1,2307.95,2276.25,2283.95,6724094,RELIANCE,BSE,nse_dual_list,1d
2022-02-27,2243.0,2367.35,2243.0,2359.55,9828768,RELIANCE,BSE,nse_dual_list,1d
2022-03-01,2334.45,2401.0,2329.2,2398.55,9909226,RELIANCE,BSE,nse_dual_list,1d
2022-03-02,2400.0,2414.85,2370.05,2378.3,4701183,RELIANCE,BSE,nse_dual_list,1d
