date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,305.95,307.85,303.05,303.7,14348786,TATAMOTORS,BSE,nse_dual_list,1d
2021-08-16,302.8,302.8,292.8,297.7,25539214,TATAMOTORS,BSE,nse_dual_list,1d
2021-08-17,296.9,297.75,292.6,293.35,18004320,TATAMOTORS,BSE,nse_dual_list,1d
2021-08-19,289.5,290.7,281.0,283.1,32578752,TATAMOTORS,BSE,nse_dual_list,1d
2021-08-22,287.2,288.3,275.0,276.95,24498294,TATAMOTORS,BSE,nse_dual_list,1d
2021-08-23,278.5,281.5,268.45,279.8,37589121,TATAMOTORS,BSE,nse_dual_list,1d
2021-08-24,282.8,289.2,282.45,284.4,31538128,TATAMOTORS,BSE,nse_dual_list,1d
2021-08-25,284.85,287.35,281.65,284.3,17864053,TATAMOTORS,BSE,nse_dual_list,1d
2021-08-26,282.9,286.8,281.7,285.75,13477390,TATAMOTORS,BSE,nse_dual_list,1d
2021-08-29,290.1,293.5,289.9,291.95,17217097,TATAMOTORS,BSE,nse_dual_list,1d
2021-08-30,291.75,291.95,286.1,287.3,36951003,TATAMOTORS,BSE,nse_dual_list,1d
2021-08-31,289.0,297.4,287.3,295.25,33103168,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-01,295.25,296.3,291.7,293.15,14907001,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-02,292.5,296.45,292.0,295.55,16594135,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-05,297.5,298.95,296.0,297.45,16622865,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-06,297.35,297.8,290.9,294.6,14325904,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-07,293.5,298.8,291.6,295.25,14920479,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-08,294.0,303.5,293.55,298.95,34020970,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-12,299.0,302.0,295.5,301.2,16339860,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-13,302.25,307.2,302.2,306.1,23234649,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-14,306.1,313.0,306.1,311.95,26808872,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-15,313.4,315.0,307.65,311.65,26249369,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-16,312.0,315.35,306.0,308.6,24972069,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-19,304.9,310.25,297.3,298.95,19632688,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-20,298.6,302.7,293.1,301.95,19439330,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-21,303.15,313.8,303.0,310.1,29545253,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-22,313.2,324.0,313.2,321.5,52701665,TATAMOTORS,BSE,nse_dual_list,1d
2021-09-23,325.1,326.95,316.05,317.95,28901243,TATAMOTORS,BSE,nse_dual_list,1d
