date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-16,148.39999389648438,153.4499969482422,147.22000122070312,151.94000244140625,271144880,TATASTEEL,BSE,nse_dual_list,1d
2021-08-17,151.94000244140625,153.39999389648438,149.1750030517578,150.3699951171875,189709230,TATASTEEL,BSE,nse_dual_list,1d
2021-08-18,150.94500732421875,151.88999938964844,148.82000732421875,150.0449981689453,123317450,TATASTEEL,BSE,nse_dual_list,1d
2021-08-20,144.5050048828125,144.6999969482422,136.27999877929688,137.55999755859375,273400690,TATASTEEL,BSE,nse_dual_list,1d
2021-08-23,140.1999969482422,140.97999572753906,131.0749969482422,135.86500549316406,229257290,TATASTEEL,BSE,nse_dual_list,1d
2021-08-24,138.1999969482422,142.0,137.6999969482422,140.46499633789062,176075790,TATASTEEL,BSE,nse_dual_list,1d
2021-08-25,141.8000030517578,142.60000610351562,138.0749969482422,139.02000427246094,125650100,TATASTEEL,BSE,nse_dual_list,1d
2021-08-26,139.0399932861328,139.47500610351562,136.5,137.5050048828125,91578980,TATASTEEL,BSE,nse_dual_list,1d
2021-08-27,137.89999389648438,139.44500732421875,137.5850067138672,138.4149932861328,73940810,TATASTEEL,BSE,nse_dual_list,1d
2021-08-30,139.89999389648438,144.5,139.8000030517578,144.05999755859375,134443870,TATASTEEL,BSE,nse_dual_list,1d
2021-08-31,144.5,145.89999389648438,143.1999969482422,145.02499389648438,247521080,TATASTEEL,BSE,nse_dual_list,1d
2021-09-01,145.125,145.5500030517578,140.6999969482422,141.1199951171875,88128970,TATASTEEL,BSE,nse_dual_list,1d
2021-09-02,141.10000610351562,143.1999969482422,141.0,142.50999450683594,61480460,TATASTEEL,BSE,nse_dual_list,1d
2021-09-03,142.8000030517578,145.2949981689453,141.64500427246094,144.36500549316406,84523820,TATASTEEL,BSE,nse_dual_list,1d
2021-09-06,144.6999969482422,145.19500732421875,142.31500244140625,143.6999969482422,69586760,TATASTEEL,BSE,nse_dual_list,1d
2021-09-07,144.39999389648438,145.89999389648438,142.06500244140625,142.8699951171875,63527170,TATASTEEL,BSE,nse_dual_list,1d
2021-09-08,142.60000610351562,144.26499938964844,141.86000061035156,142.98500061035156,46762240,TATASTEEL,BSE,nse_dual_list,1d
2021-09-09,142.0,145.19500732421875,142.0,144.6999969482422,53130300,TATASTEEL,BSE,nse_dual_list,1d
2021-09-13,144.6999969482422,147.1999969482422,143.64999389648438,146.34500122070312,56702080,TATASTEEL,BSE,nse_dual_list,1d
2021-09-14,147.60000610351562,147.60000610351562,144.89999389648438,145.22999572753906,55037670,TATASTEEL,BSE,nse_dual_list,1d
2021-09-15,145.22999572753906,146.3699951171875,144.44000244140625,145.50999450683594,44174640,TATASTEEL,BSE,nse_dual_list,1d
2021-09-16,146.0,147.19000244140625,143.125,143.6750030517578,56067970,TATASTEEL,BSE,nse_dual_list,1d
2021-09-17,143.6999969482422,144.02999877929688,136.0,138.58999633789062,195720300,TATASTEEL,BSE,nse_dual_list,1d
2021-09-20,135.0,135.19000244140625,124.73500061035156,125.30999755859376,282384120,TATASTEEL,BSE,nse_dual_list,1d
2021-09-21,125.8000030517578,129.69000244140625,123.29000091552734,129.22000122070312,255935400,TATASTEEL,BSE,nse_dual_list,1d
2021-09-22,129.94000244140625,131.8000030517578,128.30999755859375,130.5800018310547,111242470,TATASTEEL,BSE,nse_dual_list,1d
2021-09-23,133.0,133.94500732421875,130.60499572753906,131.8699951171875,99462510,TATASTEEL,BSE,nse_dual_list,1d
2021-09-24,132.0,132.39999389648438,125.84500122070312,127.20999908447266,132866160,TATASTEEL,BSE,nse_dual_list,1d
2021-09-27,127.1999969482422,128.8699951171875,126.1050033569336,127.0500030517578,86688770,TATASTEEL,BSE,nse_dual_list,1d
2021-09-28,127.34500122070312,129.67999267578125,126.3000030517578,128.09500122070312,81007360,TATASTEEL,BSE,nse_dual_list,1d
2021-09-29,127.0,130.97999572753906,126.72000122070312,129.55499267578125,94945770,TATASTEEL,BSE,nse_dual_list,1d
2021-09-30,130.3000030517578,131.63999938964844,128.38499450683594,128.88999938964844,75145680,TATASTEEL,BSE,nse_dual_list,1d
2021-10-01,127.5,131.10000610351562,126.5,129.78500366210938,90374700,TATASTEEL,BSE,nse_dual_list,1d
2021-10-04,129.78500366210938,132.77499389648438,128.0399932861328,132.4149932861328,96902370,TATASTEEL,BSE,nse_dual_list,1d
2021-10-05,131.39999389648438,133.27000427246094,131.01499938964844,131.68499755859375,57952160,TATASTEEL,BSE,nse_dual_list,1d
2021-10-06,131.99000549316406,132.86000061035156,127.31500244140624,127.98999786376952,86316930,TATASTEEL,BSE,nse_dual_list,1d
2021-10-07,129.5,130.67999267578125,128.35499572753906,128.9199981689453,46033670,TATASTEEL,BSE,nse_dual_list,1d
2021-10-08,130.1999969482422,134.40499877929688,129.63499450683594,130.11500549316406,107220150,TATASTEEL,BSE,nse_dual_list,1d
2021-10-11,130.5,132.73500061035156,129.8000030517578,131.32000732421875,63496580,TATASTEEL,BSE,nse_dual_list,1d
2021-10-12,131.32000732421875,133.5,130.5,132.91000366210938,60970190,TATASTEEL,BSE,nse_dual_list,1d
2021-10-13,132.5500030517578,137.65499877929688,131.80499267578125,135.42999267578125,132857180,TATASTEEL,BSE,nse_dual_list,1d
2021-10-14,137.39999389648438,139.05999755859375,135.39999389648438,137.5050048828125,82273710,TATASTEEL,BSE,nse_dual_list,1d
2021-10-18,141.8000030517578,142.47500610351562,139.11000061035156,141.10499572753906,109232300,TATASTEEL,BSE,nse_dual_list,1d
2021-10-19,142.10000610351562,142.65499877929688,135.7550048828125,136.69000244140625,87569240,TATASTEEL,BSE,nse_dual_list,1d
2021-10-20,137.1999969482422,137.60000610351562,132.6649932861328,134.3300018310547,69757740,TATASTEEL,BSE,nse_dual_list,1d
2021-10-21,135.6699981689453,135.78500366210938,128.97000122070312,131.47000122070312,83575730,TATASTEEL,BSE,nse_dual_list,1d
2021-10-22,132.0,132.46499633789062,127.0999984741211,129.625,80712890,TATASTEEL,BSE,nse_dual_list,1d
2021-10-25,130.1999969482422,131.60000610351562,126.7249984741211,129.3300018310547,64185010,TATASTEEL,BSE,nse_dual_list,1d
2021-10-26,130.3000030517578,135.10000610351562,130.14500427246094,134.36500549316406,77228750,TATASTEEL,BSE,nse_dual_list,1d
2021-10-27,134.60000610351562,135.1699981689453,132.125,132.61500549316406,72418040,TATASTEEL,BSE,nse_dual_list,1d
2021-10-28,131.49000549316406,131.59500122070312,129.11000061035156,129.9600067138672,93076820,TATASTEEL,BSE,nse_dual_list,1d
2021-10-29,129.02499389648438,133.3699951171875,129.0,131.59500122070312,79147600,TATASTEEL,BSE,nse_dual_list,1d
2021-11-01,134.0,137.2899932861328,133.0,136.49000549316406,96875330,TATASTEEL,BSE,nse_dual_list,1d
2021-11-02,137.0,137.0,131.0800018310547,131.36500549316406,72161370,TATASTEEL,BSE,nse_dual_list,1d
2021-11-03,132.47999572753906,133.1999969482422,131.1999969482422,132.60499572753906,57302440,TATASTEEL,BSE,nse_dual_list,1d
2021-11-04,133.10000610351562,133.5,132.41000366210938,132.58999633789062,6744340,TATASTEEL,BSE,nse_dual_list,1d
2021-11-08,134.08999633789062,134.76499938964844,130.61000061035156,134.3249969482422,54936670,TATASTEEL,BSE,nse_dual_list,1d
2021-11-09,134.28500366210938,136.02999877929688,132.88499450683594,133.59500122070312,47565160,TATASTEEL,BSE,nse_dual_list,1d
2021-11-10,132.8000030517578,132.89999389648438,128.7100067138672,129.85499572753906,118804170,TATASTEEL,BSE,nse_dual_list,1d
2021-11-11,130.49000549316406,132.4499969482422,128.8350067138672,129.9600067138672,136638600,TATASTEEL,BSE,nse_dual_list,1d
2021-11-12,134.0,134.0,127.11000061035156,128.72500610351562,232395580,TATASTEEL,BSE,nse_dual_list,1d
2021-11-15,129.5,129.89999389648438,124.1500015258789,124.54499816894533,121082150,TATASTEEL,BSE,nse_dual_list,1d
2021-11-16,124.54499816894533,126.1050033569336,122.37000274658205,122.87999725341795,123148800,TATASTEEL,BSE,nse_dual_list,1d
2021-11-17,122.5,123.73999786376952,121.51000213623048,122.00499725341795,87802040,TATASTEEL,BSE,nse_dual_list,1d
2021-11-18,122.36000061035156,122.83000183105467,118.1999969482422,118.66000366210938,101083510,TATASTEEL,BSE,nse_dual_list,1d
2021-11-22,118.80999755859376,119.68000030517578,114.5999984741211,116.50499725341795,96210010,TATASTEEL,BSE,nse_dual_list,1d
2021-11-23,116.80500030517578,120.9000015258789,116.51499938964844,119.20500183105467,93829630,TATASTEEL,BSE,nse_dual_list,1d
2021-11-24,120.04000091552734,120.29499816894533,117.11499786376952,117.8499984741211,67671010,TATASTEEL,BSE,nse_dual_list,1d
