date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-16,7500.0,7500.0,7335.75,7348.0,6361,ULTRACEMCO,BSE,yfinance,1d
2021-08-17,7385.0,7427.5498046875,7301.0498046875,7410.2998046875,7535,ULTRACEMCO,BSE,yfinance,1d
2021-08-18,7410.2998046875,7719.4501953125,7410.0,7592.60009765625,26736,ULTRACEMCO,BSE,yfinance,1d
2021-08-20,7600.0,7627.10009765625,7440.14990234375,7490.7001953125,5119,ULTRACEMCO,BSE,yfinance,1d
2021-08-23,7521.0,7526.7001953125,7290.0,7350.10009765625,454516,ULTRACEMCO,BSE,yfinance,1d
2021-08-24,7448.0,7469.64990234375,7370.0,7456.4501953125,5173,ULTRACEMCO,BSE,yfinance,1d
2021-08-25,7484.9501953125,7484.9501953125,7364.9501953125,7383.14990234375,5516,ULTRACEMCO,BSE,yfinance,1d
2021-08-26,7375.0,7410.0,7301.0,7306.64990234375,8119,ULTRACEMCO,BSE,yfinance,1d
2021-08-27,7326.0,7591.0,7326.0,7567.39990234375,13743,ULTRACEMCO,BSE,yfinance,1d
2021-08-30,7575.7998046875,7743.0,7575.35009765625,7701.75,12346,ULTRACEMCO,BSE,yfinance,1d
2021-08-31,7704.0,7860.39990234375,7675.89990234375,7833.9501953125,52563,ULTRACEMCO,BSE,yfinance,1d
2021-09-01,7860.0,7929.9501953125,7690.75,7764.14990234375,13449,ULTRACEMCO,BSE,yfinance,1d
2021-09-02,7799.89990234375,7991.0,7781.89990234375,7954.39990234375,10921,ULTRACEMCO,BSE,yfinance,1d
2021-09-03,7980.0,8029.0,7870.0,7928.2001953125,8302,ULTRACEMCO,BSE,yfinance,1d
2021-09-06,7988.0,8048.0498046875,7929.0,7949.89990234375,7364,ULTRACEMCO,BSE,yfinance,1d
2021-09-07,7954.0,8057.9501953125,7912.7001953125,8019.2998046875,8242,ULTRACEMCO,BSE,yfinance,1d
2021-09-08,8017.0498046875,8070.60009765625,7950.0,7991.89990234375,4006,ULTRACEMCO,BSE,yfinance,1d
2021-09-09,7901.0,7976.2001953125,7900.39990234375,7941.7998046875,3612,ULTRACEMCO,BSE,yfinance,1d
2021-09-13,7948.0,7960.0498046875,7905.2001953125,7934.2998046875,5187,ULTRACEMCO,BSE,yfinance,1d
2021-09-14,7962.0,7964.0,7852.0498046875,7857.39990234375,3433,ULTRACEMCO,BSE,yfinance,1d
2021-09-15,7944.0,7944.0,7790.89990234375,7824.10009765625,6368,ULTRACEMCO,BSE,yfinance,1d
2021-09-16,7836.0,7869.9501953125,7731.75,7771.0498046875,8166,ULTRACEMCO,BSE,yfinance,1d
2021-09-17,7791.0,7837.2001953125,7662.2001953125,7709.39990234375,12316,ULTRACEMCO,BSE,yfinance,1d
2021-09-20,7700.0,7721.89990234375,7546.2001953125,7574.7998046875,10477,ULTRACEMCO,BSE,yfinance,1d
2021-09-21,7575.0,7680.0498046875,7519.5,7596.35009765625,6257,ULTRACEMCO,BSE,yfinance,1d
2021-09-22,7556.0,7669.75,7556.0,7622.5498046875,16041,ULTRACEMCO,BSE,yfinance,1d
2021-09-23,7645.5498046875,7692.39990234375,7582.25,7616.25,100409,ULTRACEMCO,BSE,yfinance,1d
2021-09-24,7625.0,7640.0,7501.0,7525.25,4626,ULTRACEMCO,BSE,yfinance,1d
2021-09-27,7525.25,7672.2998046875,7525.25,7626.2001953125,13514,ULTRACEMCO,BSE,yfinance,1d
2021-09-28,7625.0,7786.2001953125,7550.0,7587.75,17152,ULTRACEMCO,BSE,yfinance,1d
2021-09-29,7587.75,7658.89990234375,7440.5498046875,7466.9501953125,10334,ULTRACEMCO,BSE,yfinance,1d
2021-09-30,7538.0,7538.0,7373.89990234375,7395.35009765625,12320,ULTRACEMCO,BSE,yfinance,1d
2021-10-01,7409.0,7501.0,7360.0,7487.35009765625,7783,ULTRACEMCO,BSE,yfinance,1d
2021-10-04,7499.0,7608.14990234375,7496.2001953125,7514.14990234375,13767,ULTRACEMCO,BSE,yfinance,1d
2021-10-05,7552.5,7560.0,7452.5,7461.9501953125,4590,ULTRACEMCO,BSE,yfinance,1d
2021-10-06,7465.0,7540.0,7341.9501953125,7367.0498046875,37508,ULTRACEMCO,BSE,yfinance,1d
2021-10-07,7380.0,7458.2998046875,7315.0,7356.2998046875,43667,ULTRACEMCO,BSE,yfinance,1d
2021-10-08,7393.0,7402.85009765625,7326.39990234375,7336.75,8159,ULTRACEMCO,BSE,yfinance,1d
2021-10-11,7352.0,7406.0,7315.0,7335.0498046875,102855,ULTRACEMCO,BSE,yfinance,1d
2021-10-12,7325.0,7359.2998046875,7190.0,7252.35009765625,17174,ULTRACEMCO,BSE,yfinance,1d
2021-10-13,7300.0,7386.0498046875,7257.5,7349.0,11033,ULTRACEMCO,BSE,yfinance,1d
2021-10-14,7449.39990234375,7457.14990234375,7341.7998046875,7403.5,10523,ULTRACEMCO,BSE,yfinance,1d
2021-10-18,7500.0498046875,7642.5498046875,7303.25,7397.7001953125,52529,ULTRACEMCO,BSE,yfinance,1d
2021-10-19,7415.14990234375,7453.39990234375,7150.0,7174.89990234375,22911,ULTRACEMCO,BSE,yfinance,1d
2021-10-20,7107.0,7307.7001953125,7094.60009765625,7135.64990234375,125445,ULTRACEMCO,BSE,yfinance,1d
2021-10-21,7184.0,7190.0,7090.0,7126.89990234375,9944,ULTRACEMCO,BSE,yfinance,1d
2021-10-22,7131.0,7230.0,7100.0498046875,7153.7001953125,8199,ULTRACEMCO,BSE,yfinance,1d
2021-10-25,7160.0,7173.60009765625,7010.0,7147.0,11769,ULTRACEMCO,BSE,yfinance,1d
2021-10-26,7195.0,7297.7998046875,7157.7001953125,7266.7998046875,22543,ULTRACEMCO,BSE,yfinance,1d
2021-10-27,7269.0,7370.60009765625,7238.4501953125,7360.0,28322,ULTRACEMCO,BSE,yfinance,1d
2021-10-28,7355.0,7499.0,7351.0,7438.75,40352,ULTRACEMCO,BSE,yfinance,1d
2021-10-29,7440.0,7690.5,7345.10009765625,7632.75,16460,ULTRACEMCO,BSE,yfinance,1d
2021-11-01,7700.0,7807.0,7657.7998046875,7773.25,9024,ULTRACEMCO,BSE,yfinance,1d
2021-11-02,7799.0,7818.85009765625,7690.10009765625,7709.64990234375,4769,ULTRACEMCO,BSE,yfinance,1d
2021-11-03,7780.0,7900.0,7733.0498046875,7891.2001953125,9294,ULTRACEMCO,BSE,yfinance,1d
2021-11-04,7892.0,7936.10009765625,7864.0,7877.35009765625,4065,ULTRACEMCO,BSE,yfinance,1d
