roll_date,weekday,rule
2021-08-26,Thursday,last_thursday
2021-09-30,Thursday,last_thursday
2021-10-28,Thursday,last_thursday
2021-11-25,Thursday,last_thursday
2021-12-30,Thursday,last_thursday
2022-01-27,Thursday,last_thursday
2022-02-24,Thursday,last_thursday
2022-03-31,Thursday,last_thursday
2022-04-28,Thursday,last_thursday
2022-05-26,Thursday,last_thursday
2022-06-30,Thursday,last_thursday
2022-07-28,Thursday,last_thursday
2022-08-25,Thursday,last_thursday
2022-09-29,Thursday,last_thursday
2022-10-27,Thursday,last_thursday
2022-11-24,Thursday,last_thursday
2022-12-29,Thursday,last_thursday
2023-01-25,Wednesday,last_thursday
2023-02-23,Thursday,last_thursday
2023-03-29,Wednesday,last_thursday
2023-04-27,Thursday,last_thursday
2023-05-25,Thursday,last_thursday
2023-06-28,Wednesday,last_thursday
2023-07-27,Thursday,last_thursday
2023-08-31,Thursday,last_thursday
2023-09-28,Thursday,last_thursday
2023-10-26,Thursday,last_thursday
2023-11-30,Thursday,last_thursday
2023-12-28,Thursday,last_thursday
2024-01-25,Thursday,last_thursday
2024-02-29,Thursday,last_thursday
2024-03-28,Thursday,last_thursday
2024-04-25,Thursday,last_thursday
2024-05-30,Thursday,last_thursday
2024-06-27,Thursday,last_thursday
2024-07-25,Thursday,last_thursday
2024-08-29,Thursday,last_thursday
2024-09-26,Thursday,last_thursday
2024-10-31,Thursday,last_thursday
2024-11-28,Thursday,last_thursday
2024-12-26,Thursday,last_thursday
2025-01-30,Thursday,last_thursday
2025-02-27,Thursday,last_thursday
2025-03-27,Thursday,last_thursday
2025-04-24,Thursday,last_thursday
2025-05-29,Thursday,last_thursday
2025-06-26,Thursday,last_thursday
2025-07-31,Thursday,last_thursday
2025-08-28,Thursday,last_thursday
2025-09-30,Tuesday,last_tuesday
2025-10-28,Tuesday,last_tuesday
2025-11-25,Tuesday,last_tuesday
2025-12-30,Tuesday,last_tuesday
2026-01-27,Tuesday,last_tuesday
2026-02-24,Tuesday,last_tuesday
2026-03-31,Tuesday,last_tuesday
2026-04-28,Tuesday,last_tuesday
2026-05-26,Tuesday,last_tuesday
2026-06-30,Tuesday,last_tuesday
2026-07-28,Tuesday,last_tuesday
2026-08-25,Tuesday,last_tuesday
2026-09-29,Tuesday,last_tuesday
2026-10-27,Tuesday,last_tuesday
2026-11-23,Monday,last_tuesday
2026-12-29,Tuesday,last_tuesday
