date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,15.547223091125488,15.948776245117188,14.906451225280762,15.904951095581055,209900288,ATOM-USD,CRYPTO,yfinance,1d
2021-08-16,15.920488357543945,16.663204193115234,15.51346492767334,15.853260040283203,302192014,ATOM-USD,CRYPTO,yfinance,1d
2021-08-17,15.805852890014648,17.460874557495117,15.106542587280273,15.994036674499512,524439835,ATOM-USD,CRYPTO,yfinance,1d
2021-08-18,16.018762588500977,18.571720123291016,15.0205717086792,17.997228622436523,603168957,ATOM-USD,CRYPTO,yfinance,1d
2021-08-19,17.974475860595703,20.38955307006836,17.82611083984375,18.68208122253418,1119841099,ATOM-USD,CRYPTO,yfinance,1d
2021-08-20,18.6899471282959,19.983272552490234,18.361600875854492,18.921852111816406,552178859,ATOM-USD,CRYPTO,yfinance,1d
2021-08-21,18.93079376220703,23.9082088470459,18.547203063964844,22.094785690307617,1462984615,ATOM-USD,CRYPTO,yfinance,1d
2021-08-22,22.092634201049805,24.635530471801758,21.01974105834961,21.857561111450195,1123896203,ATOM-USD,CRYPTO,yfinance,1d
2021-08-23,21.85965347290039,23.078275680541992,21.307138442993164,21.831253051757812,688583020,ATOM-USD,CRYPTO,yfinance,1d
2021-08-24,21.848703384399414,22.003164291381836,19.259340286254883,19.62464714050293,583030847,ATOM-USD,CRYPTO,yfinance,1d
2021-08-25,19.606836318969727,20.839078903198242,18.654802322387695,19.973630905151367,487821905,ATOM-USD,CRYPTO,yfinance,1d
2021-08-26,20.050037384033203,20.314634323120117,17.84245491027832,17.97055435180664,392383314,ATOM-USD,CRYPTO,yfinance,1d
2021-08-27,17.998350143432617,20.56250762939453,17.28614044189453,20.459877014160156,515807868,ATOM-USD,CRYPTO,yfinance,1d
2021-08-28,20.449079513549805,21.42242431640625,19.552173614501953,21.336055755615234,479810304,ATOM-USD,CRYPTO,yfinance,1d
2021-08-29,21.326814651489258,22.393754959106445,20.369121551513672,21.201059341430664,580881094,ATOM-USD,CRYPTO,yfinance,1d
2021-08-30,21.238431930541992,23.843788146972656,19.588773727416992,22.100242614746094,804287512,ATOM-USD,CRYPTO,yfinance,1d
2021-08-31,22.235107421875,26.165878295898438,21.660900115966797,22.872098922729492,1577705190,ATOM-USD,CRYPTO,yfinance,1d
2021-09-01,22.859718322753906,25.860000610351562,22.21312141418457,25.351999282836914,1193791537,ATOM-USD,CRYPTO,yfinance,1d
2021-09-02,25.417226791381836,25.729875564575195,23.557836532592773,24.144254684448242,584369889,ATOM-USD,CRYPTO,yfinance,1d
2021-09-03,24.167800903320312,24.920591354370117,23.25639533996582,24.135107040405273,572774475,ATOM-USD,CRYPTO,yfinance,1d
2021-09-04,24.097061157226562,25.449810028076172,23.78592300415039,24.43427085876465,508371518,ATOM-USD,CRYPTO,yfinance,1d
2021-09-05,24.42967987060547,26.19687271118164,23.863168716430664,25.75535774230957,557060987,ATOM-USD,CRYPTO,yfinance,1d
2021-09-06,25.735517501831055,27.025405883789062,24.000898361206055,25.116592407226562,706889107,ATOM-USD,CRYPTO,yfinance,1d
