date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,0.0006120000034570694,0.000615999975707382,0.0005929999751970172,0.0006120000034570694,28,UNI-USD,CRYPTO,yfinance,1d
2021-08-16,0.0006120000034570694,0.000623999978415668,0.0005939999828115106,0.0005990000208839774,5,UNI-USD,CRYPTO,yfinance,1d
2021-08-17,0.000598000013269484,0.0006130000110715628,0.0005789999850094318,0.0005810000002384186,5,UNI-USD,CRYPTO,yfinance,1d
2021-08-18,0.0005810000002384186,0.0008140000281855464,0.00017800000205170363,0.0008069999748840928,1440,UNI-USD,CRYPTO,yfinance,1d
2021-08-19,0.0008060000254772604,0.0008140000281855464,0.00017699999443721026,0.00018699999782256782,1617,UNI-USD,CRYPTO,yfinance,1d
2021-08-20,0.00018699999782256782,0.00019700000120792538,0.00018699999782256782,0.00019700000120792538,1709,UNI-USD,CRYPTO,yfinance,1d
2021-08-21,0.00019700000120792538,0.0005469999741762877,0.00019299999985378236,0.0004400000034365803,9,UNI-USD,CRYPTO,yfinance,1d
2021-08-22,0.0004400000034365803,0.0004949999856762588,0.00043799998820759356,0.000493000028654933,38,UNI-USD,CRYPTO,yfinance,1d
2021-08-23,0.000493000028654933,0.0005050000036135316,0.0004910000134259462,0.0004949999856762588,39,UNI-USD,CRYPTO,yfinance,1d
2021-08-24,0.0004949999856762588,0.0004990000161342323,0.0004769999941345304,0.0004780000017490238,37,UNI-USD,CRYPTO,yfinance,1d
2021-08-25,0.0004769999941345304,0.0004920000210404396,0.0004720000142697245,0.0004900000058114529,10,UNI-USD,CRYPTO,yfinance,1d
2021-08-26,0.0004900000058114529,0.000493000028654933,0.00046400001156143844,0.0004689999914262444,9,UNI-USD,CRYPTO,yfinance,1d
2021-08-27,0.0004689999914262444,0.00048499999684281647,0.0004349999944679439,0.00044100001105107367,15,UNI-USD,CRYPTO,yfinance,1d
2021-08-28,0.0004419999895617366,0.0004440000047907233,0.00033999999868683517,0.0003420000139158219,28,UNI-USD,CRYPTO,yfinance,1d
2021-08-29,0.0003420000139158219,0.0004450000124052167,0.0003420000139158219,0.00043899999582208693,13,UNI-USD,CRYPTO,yfinance,1d
2021-08-30,0.00043899999582208693,0.0004400000034365803,0.00042299999040551484,0.00042299999040551484,12,UNI-USD,CRYPTO,yfinance,1d
2021-08-31,0.00042299999040551484,0.00043399998685345054,0.00042100000428035855,0.0004250000056345016,12,UNI-USD,CRYPTO,yfinance,1d
2021-09-01,0.0004239999980200082,0.0004419999895617366,0.0004189999890513718,0.0004400000034365803,13,UNI-USD,CRYPTO,yfinance,1d
2021-09-02,0.0004400000034365803,0.0004529999860096723,0.00043799998820759356,0.0004440000047907233,22,UNI-USD,CRYPTO,yfinance,1d
2021-09-03,0.0004440000047907233,0.00045900000259280205,0.0004349999944679439,0.00044999999227002263,23,UNI-USD,CRYPTO,yfinance,1d
2021-09-04,0.00044999999227002263,0.000455000001238659,0.0004459999909158796,0.00044999999227002263,5,UNI-USD,CRYPTO,yfinance,1d
2021-09-05,0.00044999999227002263,0.0004670000053010881,0.0004459999909158796,0.0004659999976865947,5,UNI-USD,CRYPTO,yfinance,1d
2021-09-06,0.0004659999976865947,0.00047400000039488077,0.00045900000259280205,0.00047400000039488077,5,UNI-USD,CRYPTO,yfinance,1d
2021-09-07,0.00047400000039488077,0.00047599998652003706,0.00026000000070780516,0.0002809999859891832,14,UNI-USD,CRYPTO,yfinance,1d
2021-09-08,0.0002809999859891832,0.0002840000088326633,0.00017800000205170363,0.00018400000408291817,23,UNI-USD,CRYPTO,yfinance,1d
2021-09-09,0.0001829999964684248,0.00018899999849963933,0.0001829999964684248,0.00018600000475998968,23,UNI-USD,CRYPTO,yfinance,1d
2021-09-10,0.00018600000475998968,0.0001880000054370612,0.00017800000205170363,0.00018000000272877514,22,UNI-USD,CRYPTO,yfinance,1d
2021-09-11,0.00018000000272877514,0.00018400000408291817,0.00017899999511428177,0.00018099999579135329,23,UNI-USD,CRYPTO,yfinance,1d
2021-09-12,0.00018099999579135329,0.0001849999971454963,0.00017899999511428177,0.00018400000408291817,23,UNI-USD,CRYPTO,yfinance,1d
2021-09-13,0.00018400000408291817,0.00018600000475998968,0.0001740000006975606,0.00018000000272877514,22,UNI-USD,CRYPTO,yfinance,1d
2021-09-14,0.00018000000272877514,0.00018899999849963933,0.00017899999511428177,0.0001880000054370612,23,UNI-USD,CRYPTO,yfinance,1d
2021-09-15,0.0001880000054370612,0.000387999985832721,0.00018699999782256782,0.00038499999209307134,55,UNI-USD,CRYPTO,yfinance,1d
2021-09-16,0.00038499999209307134,0.000387999985832721,0.0003769999893847853,0.0003819999983534217,9,UNI-USD,CRYPTO,yfinance,1d
2021-09-17,0.0003819999983534217,0.00038499999209307134,0.000375000003259629,0.00037799999699927866,26,UNI-USD,CRYPTO,yfinance,1d
2021-09-18,0.00037799999699927866,0.00039000000106170774,0.0003769999893847853,0.0003859999997075647,27,UNI-USD,CRYPTO,yfinance,1d
2021-09-19,0.0003859999997075647,0.0003870000073220581,0.000375000003259629,0.00037799999699927866,26,UNI-USD,CRYPTO,yfinance,1d
2021-09-20,0.00037799999699927866,0.00037900000461377203,0.00034100000630132854,0.0003429999924264848,24,UNI-USD,CRYPTO,yfinance,1d
2021-09-21,0.0003429999924264848,0.0003490000090096146,0.00031800000579096377,0.0003239999932702631,23,UNI-USD,CRYPTO,yfinance,1d
2021-09-22,0.0003260000084992498,0.00035200000274926424,0.00032500000088475645,0.0003490000090096146,24,UNI-USD,CRYPTO,yfinance,1d
2021-09-23,0.0003490000090096146,0.0003600000054575503,0.00034500000765547156,0.0003589999978430569,6,UNI-USD,CRYPTO,yfinance,1d
2021-09-24,0.0003589999978430569,0.00036100001307204366,0.00032699998700991273,0.0003429999924264848,6,UNI-USD,CRYPTO,yfinance,1d
2021-09-25,0.0003429999924264848,0.0003440000000409782,0.00033400001120753586,0.0003420000139158219,6,UNI-USD,CRYPTO,yfinance,1d
2021-09-26,0.0003420000139158219,0.00035099999513477087,0.00032699998700991273,0.0003459999861661345,0,UNI-USD,CRYPTO,yfinance,1d
2021-09-27,0.0003459999861661345,0.0003549999964889139,0.00021100000594742596,0.00021100000594742596,7,UNI-USD,CRYPTO,yfinance,1d
2021-09-28,0.00021100000594742596,0.00021399999968707561,0.00020500000391621143,0.00020500000391621143,6,UNI-USD,CRYPTO,yfinance,1d
2021-09-29,0.00020500000391621143,0.00021300000662449747,0.00020399999630171806,0.00020799999765586108,7,UNI-USD,CRYPTO,yfinance,1d
