date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,1431.5,1449.7,1413.55,1430.1,1909352,ADANIENT,NSE,jugaad-data,1d
2021-08-16,1431.0,1451.0,1416.2,1441.65,3062815,ADANIENT,NSE,jugaad-data,1d
2021-08-17,1441.9,1496.8,1432.6,1460.0,4738820,ADANIENT,NSE,jugaad-data,1d
2021-08-19,1438.0,1482.65,1411.0,1430.1,4933377,ADANIENT,NSE,jugaad-data,1d
2021-08-22,1415.05,1427.75,1361.55,1396.7,4866080,ADANIENT,NSE,jugaad-data,1d
2021-08-23,1407.0,1448.4,1390.0,1437.8,3362312,ADANIENT,NSE,jugaad-data,1d
2021-08-24,1444.25,1481.8,1425.0,1475.35,5361140,ADANIENT,NSE,jugaad-data,1d
2021-08-25,1482.0,1494.65,1460.4,1475.7,4678919,ADANIENT,NSE,jugaad-data,1d
2021-08-26,1475.0,1515.0,1474.1,1506.05,5164477,ADANIENT,NSE,jugaad-data,1d
2021-08-29,1513.75,1527.0,1493.3,1516.55,3149863,ADANIENT,NSE,jugaad-data,1d
2021-08-30,1517.3,1596.85,1512.8,1587.6,7234384,ADANIENT,NSE,jugaad-data,1d
2021-08-31,1594.9,1600.85,1561.5,1565.2,3056760,ADANIENT,NSE,jugaad-data,1d
2021-09-01,1571.0,1594.3,1565.5,1570.55,2171898,ADANIENT,NSE,jugaad-data,1d
2021-09-02,1578.5,1581.4,1551.55,1565.55,1687999,ADANIENT,NSE,jugaad-data,1d
2021-09-05,1572.0,1628.45,1566.05,1582.0,5562312,ADANIENT,NSE,jugaad-data,1d
2021-09-06,1585.1,1592.35,1553.0,1558.1,1651169,ADANIENT,NSE,jugaad-data,1d
2021-09-07,1559.9,1579.0,1538.25,1555.95,2084219,ADANIENT,NSE,jugaad-data,1d
2021-09-08,1561.6,1565.5,1535.05,1545.0,1243149,ADANIENT,NSE,jugaad-data,1d
2021-09-12,1548.0,1557.0,1525.25,1532.45,1759456,ADANIENT,NSE,jugaad-data,1d
2021-09-13,1539.9,1547.25,1497.05,1513.2,7143757,ADANIENT,NSE,jugaad-data,1d
2021-09-14,1524.0,1545.6,1496.9,1516.8,12834337,ADANIENT,NSE,jugaad-data,1d
2021-09-15,1523.0,1535.0,1499.75,1503.2,7616906,ADANIENT,NSE,jugaad-data,1d
2021-09-16,1503.2,1525.0,1465.75,1480.25,3329954,ADANIENT,NSE,jugaad-data,1d
2021-09-19,1464.9,1488.5,1409.95,1418.85,2273312,ADANIENT,NSE,jugaad-data,1d
2021-09-20,1420.0,1446.95,1381.35,1441.45,2682157,ADANIENT,NSE,jugaad-data,1d
2021-09-21,1435.0,1462.65,1424.35,1437.75,1663858,ADANIENT,NSE,jugaad-data,1d
2021-09-22,1453.0,1480.0,1441.1,1474.35,1622616,ADANIENT,NSE,jugaad-data,1d
2021-09-23,1483.0,1516.0,1455.0,1461.7,2760295,ADANIENT,NSE,jugaad-data,1d
2021-09-26,1462.0,1544.0,1462.0,1531.25,4737676,ADANIENT,NSE,jugaad-data,1d
2021-09-27,1557.0,1557.9,1475.0,1487.3,3547971,ADANIENT,NSE,jugaad-data,1d
2021-09-28,1466.3,1498.0,1464.3,1485.65,1764350,ADANIENT,NSE,jugaad-data,1d
2021-09-29,1484.7,1519.0,1463.35,1468.1,2072145,ADANIENT,NSE,jugaad-data,1d
2021-09-30,1465.0,1468.75,1422.65,1458.7,2311858,ADANIENT,NSE,jugaad-data,1d
2021-10-03,1458.7,1458.7,1458.7,1458.7,264774,ADANIENT,NSE,jugaad-data,1d
2021-10-04,1515.0,1557.85,1512.35,1527.65,2544835,ADANIENT,NSE,jugaad-data,1d
2021-10-05,1529.8,1541.0,1472.0,1479.55,1777998,ADANIENT,NSE,jugaad-data,1d
2021-10-06,1502.85,1535.75,1490.0,1520.75,1919106,ADANIENT,NSE,jugaad-data,1d
2021-10-07,1522.0,1569.45,1511.45,1547.9,2646112,ADANIENT,NSE,jugaad-data,1d
2021-10-10,1553.0,1563.7,1532.15,1539.75,1910095,ADANIENT,NSE,jugaad-data,1d
2021-10-11,1539.0,1566.9,1514.5,1554.45,1900749,ADANIENT,NSE,jugaad-data,1d
2021-10-12,1568.45,1608.3,1551.3,1569.7,3923958,ADANIENT,NSE,jugaad-data,1d
2021-10-13,1580.0,1656.0,1574.8,1646.35,5256882,ADANIENT,NSE,jugaad-data,1d
2021-10-17,1672.95,1672.95,1608.55,1615.5,3791222,ADANIENT,NSE,jugaad-data,1d
2021-10-18,1625.2,1637.0,1562.05,1569.45,1822638,ADANIENT,NSE,jugaad-data,1d
2021-10-19,1574.0,1607.35,1539.1,1589.7,2768997,ADANIENT,NSE,jugaad-data,1d
2021-10-20,1601.95,1626.85,1581.7,1595.05,3129269,ADANIENT,NSE,jugaad-data,1d
2021-10-21,1595.05,1608.8,1537.0,1543.0,2580699,ADANIENT,NSE,jugaad-data,1d
2021-10-24,1545.0,1551.4,1494.05,1532.2,2276050,ADANIENT,NSE,jugaad-data,1d
2021-10-25,1532.0,1557.25,1520.9,1543.85,1661783,ADANIENT,NSE,jugaad-data,1d
2021-10-26,1548.0,1581.15,1540.0,1566.55,2121282,ADANIENT,NSE,jugaad-data,1d
2021-10-27,1550.0,1566.9,1367.7,1398.55,7093354,ADANIENT,NSE,jugaad-data,1d
2021-10-28,1400.0,1454.8,1377.75,1423.6,3165141,ADANIENT,NSE,jugaad-data,1d
2021-10-31,1436.0,1457.0,1411.2,1445.3,1543436,ADANIENT,NSE,jugaad-data,1d
2021-11-01,1455.0,1489.0,1452.8,1472.8,1667692,ADANIENT,NSE,jugaad-data,1d
2021-11-02,1474.0,1501.0,1464.45,1485.9,1710819,ADANIENT,NSE,jugaad-data,1d
2021-11-03,1495.0,1511.5,1483.0,1489.45,272261,ADANIENT,NSE,jugaad-data,1d
2021-11-07,1495.0,1575.15,1485.65,1568.25,2565017,ADANIENT,NSE,jugaad-data,1d
2021-11-08,1555.0,1659.0,1554.95,1635.45,4713708,ADANIENT,NSE,jugaad-data,1d
2021-11-09,1625.55,1686.0,1620.4,1655.85,3728328,ADANIENT,NSE,jugaad-data,1d
2021-11-10,1650.0,1704.0,1640.85,1664.9,4470709,ADANIENT,NSE,jugaad-data,1d
2021-11-11,1678.3,1719.5,1670.1,1705.2,5349189,ADANIENT,NSE,jugaad-data,1d
2021-11-14,1713.75,1764.0,1691.8,1749.55,3997553,ADANIENT,NSE,jugaad-data,1d
2021-11-15,1759.45,1766.55,1706.9,1711.6,2172117,ADANIENT,NSE,jugaad-data,1d
2021-11-16,1714.0,1729.7,1682.5,1706.45,1476385,ADANIENT,NSE,jugaad-data,1d
2021-11-17,1708.0,1714.0,1640.0,1688.75,2255988,ADANIENT,NSE,jugaad-data,1d
2021-11-21,1691.4,1701.4,1610.05,1675.75,2552170,ADANIENT,NSE,jugaad-data,1d
2021-11-22,1660.15,1720.35,1650.0,1707.95,2472589,ADANIENT,NSE,jugaad-data,1d
2021-11-23,1721.6,1788.9,1712.45,1755.15,4562858,ADANIENT,NSE,jugaad-data,1d
2021-11-24,1762.95,1773.7,1735.55,1763.05,2341862,ADANIENT,NSE,jugaad-data,1d
2021-11-25,1740.0,1768.55,1660.85,1669.55,3510810,ADANIENT,NSE,jugaad-data,1d
2021-11-28,1655.0,1697.0,1609.85,1665.05,2119826,ADANIENT,NSE,jugaad-data,1d
2021-11-29,1668.0,1718.65,1648.15,1662.85,2952368,ADANIENT,NSE,jugaad-data,1d
2021-11-30,1694.0,1705.0,1652.35,1693.3,2476360,ADANIENT,NSE,jugaad-data,1d
2021-12-01,1692.5,1735.0,1687.65,1732.25,2159661,ADANIENT,NSE,jugaad-data,1d
2021-12-02,1734.0,1745.0,1701.1,1708.1,1544077,ADANIENT,NSE,jugaad-data,1d
2021-12-05,1710.0,1727.95,1640.0,1645.6,1574680,ADANIENT,NSE,jugaad-data,1d
2021-12-06,1658.9,1686.7,1654.0,1678.45,1476012,ADANIENT,NSE,jugaad-data,1d
2021-12-07,1679.8,1726.4,1679.05,1715.5,1406394,ADANIENT,NSE,jugaad-data,1d
2021-12-08,1725.0,1739.25,1706.6,1722.25,1306393,ADANIENT,NSE,jugaad-data,1d
2021-12-09,1710.6,1788.0,1710.6,1740.4,2708578,ADANIENT,NSE,jugaad-data,1d
2021-12-12,1755.0,1762.2,1711.1,1719.55,1104594,ADANIENT,NSE,jugaad-data,1d
2021-12-13,1712.0,1727.9,1683.0,1720.1,1198653,ADANIENT,NSE,jugaad-data,1d
2021-12-14,1720.0,1727.0,1687.05,1695.3,866378,ADANIENT,NSE,jugaad-data,1d
2021-12-15,1707.3,1719.85,1687.0,1702.05,751885,ADANIENT,NSE,jugaad-data,1d
2021-12-16,1698.95,1702.0,1640.0,1645.3,1215873,ADANIENT,NSE,jugaad-data,1d
2021-12-19,1629.0,1629.0,1555.2,1589.95,1945211,ADANIENT,NSE,jugaad-data,1d
2021-12-20,1621.1,1645.9,1602.9,1620.5,1563851,ADANIENT,NSE,jugaad-data,1d
2021-12-21,1631.25,1663.45,1627.0,1658.1,993006,ADANIENT,NSE,jugaad-data,1d
2021-12-22,1674.7,1684.2,1658.2,1676.2,979023,ADANIENT,NSE,jugaad-data,1d
2021-12-23,1680.0,1703.95,1658.2,1698.2,1234386,ADANIENT,NSE,jugaad-data,1d
2021-12-26,1694.75,1738.0,1686.05,1730.2,1672655,ADANIENT,NSE,jugaad-data,1d
2021-12-27,1740.0,1760.0,1728.1,1751.0,1552918,ADANIENT,NSE,jugaad-data,1d
2021-12-28,1751.0,1755.0,1709.4,1718.05,1100579,ADANIENT,NSE,jugaad-data,1d
2021-12-29,1714.0,1725.0,1685.0,1696.4,1359574,ADANIENT,NSE,jugaad-data,1d
2021-12-30,1694.95,1725.0,1691.05,1709.45,1310960,ADANIENT,NSE,jugaad-data,1d
2022-01-02,1713.0,1733.0,1711.2,1717.15,1094708,ADANIENT,NSE,jugaad-data,1d
2022-01-03,1725.75,1728.0,1700.0,1719.0,1191189,ADANIENT,NSE,jugaad-data,1d
2022-01-04,1722.0,1744.65,1702.55,1715.45,1583598,ADANIENT,NSE,jugaad-data,1d
2022-01-05,1710.0,1723.85,1675.6,1713.1,1615375,ADANIENT,NSE,jugaad-data,1d
2022-01-06,1719.9,1730.8,1689.5,1699.1,1295933,ADANIENT,NSE,jugaad-data,1d
2022-01-09,1707.55,1766.0,1699.1,1752.6,1670551,ADANIENT,NSE,jugaad-data,1d
2022-01-10,1758.0,1850.0,1737.0,1843.9,5126019,ADANIENT,NSE,jugaad-data,1d
2022-01-11,1873.0,1873.0,1808.3,1830.1,2518912,ADANIENT,NSE,jugaad-data,1d
2022-01-12,1834.0,1863.0,1808.0,1853.35,1881069,ADANIENT,NSE,jugaad-data,1d
2022-01-13,1850.0,1890.45,1831.1,1870.25,2357616,ADANIENT,NSE,jugaad-data,1d
