date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,704.0,716.45,702.0,706.9,6385995,ADANIPORTS,NSE,jugaad-data,1d
2021-08-16,705.8,714.9,686.05,692.65,7262774,ADANIPORTS,NSE,jugaad-data,1d
2021-08-17,696.45,708.3,688.7,705.4,7354758,ADANIPORTS,NSE,jugaad-data,1d
2021-08-19,690.0,706.4,680.8,687.2,6274741,ADANIPORTS,NSE,jugaad-data,1d
2021-08-22,691.8,691.8,665.0,668.3,6636881,ADANIPORTS,NSE,jugaad-data,1d
2021-08-23,673.0,702.0,668.5,695.4,7640710,ADANIPORTS,NSE,jugaad-data,1d
2021-08-24,698.5,725.0,695.4,720.75,21275432,ADANIPORTS,NSE,jugaad-data,1d
2021-08-25,725.0,733.0,717.7,721.7,14969643,ADANIPORTS,NSE,jugaad-data,1d
2021-08-26,724.0,731.95,722.25,727.0,6751256,ADANIPORTS,NSE,jugaad-data,1d
2021-08-29,730.6,735.4,727.1,730.0,4757858,ADANIPORTS,NSE,jugaad-data,1d
2021-08-30,732.3,754.0,728.1,748.3,15419587,ADANIPORTS,NSE,jugaad-data,1d
2021-08-31,750.05,751.85,737.6,744.75,5320381,ADANIPORTS,NSE,jugaad-data,1d
2021-09-01,745.0,760.65,744.0,753.85,5788915,ADANIPORTS,NSE,jugaad-data,1d
2021-09-02,755.95,762.0,745.3,754.9,4491254,ADANIPORTS,NSE,jugaad-data,1d
2021-09-05,758.4,765.0,747.25,751.2,5260360,ADANIPORTS,NSE,jugaad-data,1d
2021-09-06,753.9,755.15,741.65,745.5,3515903,ADANIPORTS,NSE,jugaad-data,1d
2021-09-07,748.8,753.0,738.25,746.85,4036193,ADANIPORTS,NSE,jugaad-data,1d
2021-09-08,745.1,751.0,742.0,749.7,2829060,ADANIPORTS,NSE,jugaad-data,1d
2021-09-12,748.0,752.65,740.5,745.1,2514604,ADANIPORTS,NSE,jugaad-data,1d
2021-09-13,747.8,762.75,745.45,755.4,5615411,ADANIPORTS,NSE,jugaad-data,1d
2021-09-14,758.55,769.8,753.6,765.95,7039338,ADANIPORTS,NSE,jugaad-data,1d
2021-09-15,769.0,772.75,760.0,769.65,4625316,ADANIPORTS,NSE,jugaad-data,1d
2021-09-16,773.3,786.0,760.0,767.1,9701785,ADANIPORTS,NSE,jugaad-data,1d
2021-09-19,759.8,776.0,746.1,748.9,5570433,ADANIPORTS,NSE,jugaad-data,1d
2021-09-20,754.0,758.8,734.05,749.6,7766479,ADANIPORTS,NSE,jugaad-data,1d
2021-09-21,750.0,759.6,742.0,745.3,4343365,ADANIPORTS,NSE,jugaad-data,1d
2021-09-22,754.4,760.0,750.55,754.5,3526253,ADANIPORTS,NSE,jugaad-data,1d
2021-09-23,756.0,764.9,743.0,744.8,4445517,ADANIPORTS,NSE,jugaad-data,1d
2021-09-26,749.7,753.8,736.4,750.25,3803939,ADANIPORTS,NSE,jugaad-data,1d
2021-09-27,754.0,756.9,733.0,738.7,3748173,ADANIPORTS,NSE,jugaad-data,1d
