date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,4146.0,4374.5,4125.15,4345.1,3709012,APOLLOHOSP,NSE,jugaad-data,1d
2021-08-16,4345.0,4974.0,4332.25,4920.5,8069431,APOLLOHOSP,NSE,jugaad-data,1d
2021-08-17,4850.0,4963.0,4762.05,4787.9,2941548,APOLLOHOSP,NSE,jugaad-data,1d
2021-08-19,4719.0,4934.7,4697.2,4746.5,2331020,APOLLOHOSP,NSE,jugaad-data,1d
2021-08-22,4780.0,4839.65,4720.2,4743.25,699991,APOLLOHOSP,NSE,jugaad-data,1d
2021-08-23,4820.0,4888.95,4750.65,4840.75,1576663,APOLLOHOSP,NSE,jugaad-data,1d
2021-08-24,4865.0,4880.0,4750.0,4771.65,469002,APOLLOHOSP,NSE,jugaad-data,1d
2021-08-25,4776.45,4780.0,4646.4,4700.4,800419,APOLLOHOSP,NSE,jugaad-data,1d
2021-08-26,4717.1,4832.0,4676.35,4765.1,937887,APOLLOHOSP,NSE,jugaad-data,1d
2021-08-29,4790.2,4828.0,4721.6,4757.55,632354,APOLLOHOSP,NSE,jugaad-data,1d
2021-08-30,4766.1,5046.0,4766.1,4969.55,2883159,APOLLOHOSP,NSE,jugaad-data,1d
2021-08-31,4985.0,5071.8,4945.3,5039.05,841956,APOLLOHOSP,NSE,jugaad-data,1d
2021-09-01,5039.05,5122.0,5013.0,5043.5,900686,APOLLOHOSP,NSE,jugaad-data,1d
2021-09-02,5054.0,5073.3,4967.0,5014.55,567961,APOLLOHOSP,NSE,jugaad-data,1d
2021-09-05,5029.0,5040.0,4972.0,4995.5,439776,APOLLOHOSP,NSE,jugaad-data,1d
2021-09-06,5020.4,5023.0,4860.0,4877.05,479021,APOLLOHOSP,NSE,jugaad-data,1d
2021-09-07,4900.0,4901.45,4792.1,4811.4,642506,APOLLOHOSP,NSE,jugaad-data,1d
2021-09-08,4815.7,4820.0,4685.0,4719.55,838279,APOLLOHOSP,NSE,jugaad-data,1d
2021-09-12,4735.0,4796.0,4681.35,4745.85,1151299,APOLLOHOSP,NSE,jugaad-data,1d
2021-09-13,4773.0,4773.0,4696.7,4732.45,528943,APOLLOHOSP,NSE,jugaad-data,1d
2021-09-14,4750.0,4819.2,4686.55,4792.05,659281,APOLLOHOSP,NSE,jugaad-data,1d
2021-09-15,4819.0,4890.0,4792.05,4880.75,779552,APOLLOHOSP,NSE,jugaad-data,1d
2021-09-16,4875.0,4945.5,4864.45,4908.25,814867,APOLLOHOSP,NSE,jugaad-data,1d
2021-09-19,4864.0,4952.55,4781.7,4878.1,434640,APOLLOHOSP,NSE,jugaad-data,1d
2021-09-20,4858.0,4918.95,4790.15,4891.6,462221,APOLLOHOSP,NSE,jugaad-data,1d
