date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,14316.4,14607.0,14309.0,14549.3,243262,BAJAJFINSV,NSE,jugaad-data,1d
2021-08-16,14525.0,14800.0,14360.05,14737.25,242069,BAJAJFINSV,NSE,jugaad-data,1d
2021-08-17,14737.25,15238.0,14736.7,15006.35,391734,BAJAJFINSV,NSE,jugaad-data,1d
2021-08-19,14856.35,15149.0,14800.05,14978.55,275052,BAJAJFINSV,NSE,jugaad-data,1d
2021-08-22,15148.0,15420.0,15065.0,15271.9,326688,BAJAJFINSV,NSE,jugaad-data,1d
2021-08-23,15367.55,16584.8,15260.0,16461.7,1274393,BAJAJFINSV,NSE,jugaad-data,1d
2021-08-24,16545.0,16799.0,15850.0,15904.4,974598,BAJAJFINSV,NSE,jugaad-data,1d
2021-08-25,16000.5,16124.2,15678.3,15958.8,606882,BAJAJFINSV,NSE,jugaad-data,1d
2021-08-26,16080.0,16251.95,15780.05,16195.6,441475,BAJAJFINSV,NSE,jugaad-data,1d
2021-08-29,16475.0,16595.0,16260.0,16560.4,336038,BAJAJFINSV,NSE,jugaad-data,1d
2021-08-30,16500.0,17200.0,16428.25,17148.75,652127,BAJAJFINSV,NSE,jugaad-data,1d
2021-08-31,17166.45,17263.5,16740.15,16786.3,461843,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-01,16865.0,16900.0,16610.0,16703.25,276879,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-02,16776.8,16859.85,16560.0,16734.35,248555,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-05,16835.0,16968.95,16675.0,16747.0,176958,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-06,16749.0,16944.7,16630.95,16781.2,188193,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-07,16760.0,16888.95,16529.0,16560.75,190932,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-08,16594.0,16826.95,16484.05,16750.5,180816,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-12,16740.0,16994.0,16580.0,16938.2,216614,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-13,17000.0,17040.0,16795.8,16831.25,159227,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-14,16851.25,16982.0,16802.0,16828.9,123199,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-15,16890.0,16950.4,16625.0,16733.0,154209,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-16,16840.0,17499.0,16750.05,16840.2,654951,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-19,16775.05,17334.0,16700.1,17018.95,325204,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-20,17100.0,17655.0,16814.05,17587.25,384694,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-21,17589.05,17780.0,17505.0,17614.75,256982,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-22,17787.5,18750.0,17682.05,18503.85,712551,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-23,18599.95,18813.0,18317.4,18526.0,373175,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-26,18570.0,18747.6,17930.05,18031.1,407168,BAJAJFINSV,NSE,jugaad-data,1d
2021-09-27,18185.0,18186.0,17430.1,17550.35,322058,BAJAJFINSV,NSE,jugaad-data,1d
