date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,3826.0,3829.0,3744.0,3748.45,294567,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-08-16,3749.0,3819.5,3741.55,3807.45,319770,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-08-17,3810.0,3856.05,3775.0,3833.05,493285,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-08-19,3780.0,3825.0,3725.8,3751.5,301943,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-08-22,3787.9,3787.9,3647.15,3668.25,455643,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-08-23,3690.0,3722.0,3653.7,3714.75,276602,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-08-24,3731.45,3759.95,3680.0,3689.65,398715,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-08-25,3689.65,3719.65,3670.0,3691.4,283891,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-08-26,3707.4,3749.9,3679.0,3699.45,274822,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-08-29,3717.9,3756.6,3705.0,3720.4,561903,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-08-30,3732.95,3739.0,3705.6,3727.85,693952,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-08-31,3754.0,3810.0,3730.1,3758.3,585605,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-01,3789.0,3789.0,3717.0,3720.95,474397,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-02,3726.0,3809.5,3725.0,3757.5,740269,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-05,3784.45,3829.0,3770.0,3781.1,779715,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-06,3796.8,3800.65,3762.15,3770.7,450262,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-07,3769.75,3769.75,3718.0,3725.35,396710,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-08,3724.9,3728.95,3695.0,3700.6,479537,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-12,3699.0,3720.0,3680.0,3699.55,342427,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-13,3717.4,3767.0,3690.0,3751.05,741880,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-14,3762.6,3801.6,3758.05,3779.1,510406,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-15,3798.0,3834.0,3780.05,3813.5,558125,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-16,3840.0,3879.4,3810.45,3822.2,1304667,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-19,3813.4,3813.4,3735.0,3776.05,399648,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-20,3777.0,3793.85,3696.0,3728.8,354217,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-21,3732.0,3770.0,3722.05,3757.15,245919,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-22,3757.15,3820.0,3757.15,3799.2,228970,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-23,3800.0,3849.1,3787.05,3809.8,363519,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-26,3831.0,3924.8,3822.8,3913.4,962801,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-27,3929.0,3944.8,3875.4,3908.7,478682,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-28,3900.0,3935.9,3850.0,3899.25,379896,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-29,3892.25,3896.4,3812.0,3832.65,576711,BAJAJ-AUTO,NSE,jugaad-data,1d
2021-09-30,3820.0,3880.75,3802.65,3852.6,407091,BAJAJ-AUTO,NSE,jugaad-data,1d
