date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,174.15,175.55,172.45,174.35,4186971,BEL,NSE,jugaad-data,1d
2021-08-16,174.1,176.5,172.3,176.05,6013013,BEL,NSE,jugaad-data,1d
2021-08-17,176.1,181.85,173.25,174.1,11403534,BEL,NSE,jugaad-data,1d
2021-08-19,171.9,174.9,170.3,171.05,5180721,BEL,NSE,jugaad-data,1d
2021-08-22,172.4,176.9,169.15,175.15,8896100,BEL,NSE,jugaad-data,1d
2021-08-23,175.0,178.45,174.4,177.65,4975304,BEL,NSE,jugaad-data,1d
2021-08-24,177.3,180.55,177.3,179.95,5523853,BEL,NSE,jugaad-data,1d
2021-08-25,180.35,182.2,179.4,181.3,7100495,BEL,NSE,jugaad-data,1d
2021-08-26,181.5,186.0,181.3,185.3,9389315,BEL,NSE,jugaad-data,1d
2021-08-29,184.9,186.75,183.7,184.05,4539741,BEL,NSE,jugaad-data,1d
2021-08-30,183.9,187.4,183.65,186.65,7201234,BEL,NSE,jugaad-data,1d
2021-08-31,187.2,192.35,186.55,189.85,8980084,BEL,NSE,jugaad-data,1d
2021-09-01,190.75,192.45,189.75,190.15,8554863,BEL,NSE,jugaad-data,1d
2021-09-02,192.0,199.55,190.55,198.6,17390220,BEL,NSE,jugaad-data,1d
2021-09-05,201.25,202.9,194.75,195.45,12121797,BEL,NSE,jugaad-data,1d
2021-09-06,195.45,198.0,193.35,194.3,5294190,BEL,NSE,jugaad-data,1d
2021-09-07,196.0,199.4,194.25,197.1,6428521,BEL,NSE,jugaad-data,1d
2021-09-08,196.75,199.25,195.5,197.05,3860406,BEL,NSE,jugaad-data,1d
2021-09-12,197.5,198.65,195.65,196.5,3506328,BEL,NSE,jugaad-data,1d
2021-09-13,195.45,204.0,194.7,202.4,9670105,BEL,NSE,jugaad-data,1d
2021-09-14,203.85,208.8,202.7,207.8,11746173,BEL,NSE,jugaad-data,1d
2021-09-15,207.9,209.0,204.75,205.55,4126167,BEL,NSE,jugaad-data,1d
2021-09-16,205.85,207.35,200.7,205.3,5346383,BEL,NSE,jugaad-data,1d
2021-09-19,202.5,205.95,201.05,201.6,4081197,BEL,NSE,jugaad-data,1d
2021-09-20,201.6,207.25,201.6,204.45,6925971,BEL,NSE,jugaad-data,1d
2021-09-21,204.4,206.85,203.8,205.95,3224214,BEL,NSE,jugaad-data,1d
2021-09-22,207.0,210.7,206.55,207.45,6459882,BEL,NSE,jugaad-data,1d
2021-09-23,208.0,210.5,203.6,205.5,5760785,BEL,NSE,jugaad-data,1d
2021-09-26,206.1,209.7,202.75,204.0,3438620,BEL,NSE,jugaad-data,1d
2021-09-27,205.0,212.45,204.15,210.35,9978002,BEL,NSE,jugaad-data,1d
2021-09-28,210.9,212.4,203.7,205.15,9126075,BEL,NSE,jugaad-data,1d
2021-09-29,206.0,207.55,201.7,202.95,11412417,BEL,NSE,jugaad-data,1d
2021-09-30,200.0,204.25,199.15,201.75,7356644,BEL,NSE,jugaad-data,1d
2021-10-03,201.75,201.75,201.75,201.75,1165877,BEL,NSE,jugaad-data,1d
2021-10-04,206.8,207.65,204.55,205.85,6244510,BEL,NSE,jugaad-data,1d
2021-10-05,205.9,208.5,198.0,199.3,5206217,BEL,NSE,jugaad-data,1d
2021-10-06,201.0,203.8,200.5,203.1,2529141,BEL,NSE,jugaad-data,1d
2021-10-07,203.0,203.65,199.4,200.15,3293914,BEL,NSE,jugaad-data,1d
2021-10-10,200.15,211.0,200.15,208.6,7249740,BEL,NSE,jugaad-data,1d
2021-10-11,208.7,211.7,204.55,210.25,6110347,BEL,NSE,jugaad-data,1d
2021-10-12,211.1,213.95,207.1,208.65,5621151,BEL,NSE,jugaad-data,1d
2021-10-13,209.3,212.65,209.05,210.55,5134959,BEL,NSE,jugaad-data,1d
2021-10-17,205.25,221.5,205.0,217.15,13361541,BEL,NSE,jugaad-data,1d
2021-10-18,219.2,219.2,205.75,206.85,5141354,BEL,NSE,jugaad-data,1d
2021-10-19,206.85,210.2,202.85,204.8,5360981,BEL,NSE,jugaad-data,1d
2021-10-20,205.85,207.0,203.05,204.4,5235829,BEL,NSE,jugaad-data,1d
