date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,638.75,644.0,632.0,634.05,10312706,BHARTIARTL,NSE,jugaad-data,1d
2021-08-16,634.05,638.0,623.0,626.35,11102775,BHARTIARTL,NSE,jugaad-data,1d
2021-08-17,625.9,634.0,620.85,622.95,7005347,BHARTIARTL,NSE,jugaad-data,1d
2021-08-19,619.5,633.0,607.0,613.7,12534832,BHARTIARTL,NSE,jugaad-data,1d
2021-08-22,618.4,630.5,607.6,622.65,12554898,BHARTIARTL,NSE,jugaad-data,1d
2021-08-23,627.95,627.95,617.05,620.1,5776595,BHARTIARTL,NSE,jugaad-data,1d
2021-08-24,622.35,622.35,611.0,612.45,7977884,BHARTIARTL,NSE,jugaad-data,1d
2021-08-25,610.0,611.5,584.3,586.9,25831904,BHARTIARTL,NSE,jugaad-data,1d
2021-08-26,588.8,605.4,585.05,595.15,16141223,BHARTIARTL,NSE,jugaad-data,1d
2021-08-29,596.0,625.0,590.1,620.45,39759785,BHARTIARTL,NSE,jugaad-data,1d
2021-08-30,626.05,668.1,625.0,664.05,59661820,BHARTIARTL,NSE,jugaad-data,1d
2021-08-31,668.0,673.3,654.0,666.4,30228814,BHARTIARTL,NSE,jugaad-data,1d
2021-09-01,669.95,673.75,664.05,666.5,18601857,BHARTIARTL,NSE,jugaad-data,1d
2021-09-02,668.0,669.6,654.0,658.45,7774350,BHARTIARTL,NSE,jugaad-data,1d
2021-09-05,664.4,665.75,653.4,654.6,10035041,BHARTIARTL,NSE,jugaad-data,1d
2021-09-06,657.95,680.5,648.0,670.55,27665704,BHARTIARTL,NSE,jugaad-data,1d
2021-09-07,678.0,683.8,665.0,667.85,20492200,BHARTIARTL,NSE,jugaad-data,1d
2021-09-08,667.85,688.2,667.05,686.15,19419892,BHARTIARTL,NSE,jugaad-data,1d
2021-09-12,692.0,697.0,685.85,693.3,19341527,BHARTIARTL,NSE,jugaad-data,1d
2021-09-13,695.0,699.7,689.1,694.2,11479081,BHARTIARTL,NSE,jugaad-data,1d
2021-09-14,697.0,734.95,696.15,725.5,55750090,BHARTIARTL,NSE,jugaad-data,1d
2021-09-15,735.0,737.0,715.4,718.6,44172650,BHARTIARTL,NSE,jugaad-data,1d
2021-09-16,721.0,734.75,721.0,728.15,26158201,BHARTIARTL,NSE,jugaad-data,1d
2021-09-19,725.0,733.7,720.3,724.95,14066795,BHARTIARTL,NSE,jugaad-data,1d
2021-09-20,722.9,740.75,722.0,726.65,13954874,BHARTIARTL,NSE,jugaad-data,1d
2021-09-21,727.0,732.05,724.1,726.75,16047334,BHARTIARTL,NSE,jugaad-data,1d
2021-09-22,733.4,740.1,723.2,726.8,26009026,BHARTIARTL,NSE,jugaad-data,1d
2021-09-23,729.05,753.0,728.0,739.4,70844952,BHARTIARTL,NSE,jugaad-data,1d
2021-09-26,731.0,731.9,718.15,722.55,11282248,BHARTIARTL,NSE,jugaad-data,1d
2021-09-27,724.4,726.8,686.0,696.15,21944239,BHARTIARTL,NSE,jugaad-data,1d
2021-09-28,697.0,702.0,689.15,694.1,16729859,BHARTIARTL,NSE,jugaad-data,1d
2021-09-29,695.8,709.8,686.8,688.3,13911568,BHARTIARTL,NSE,jugaad-data,1d
2021-09-30,687.35,687.35,667.65,675.9,14952128,BHARTIARTL,NSE,jugaad-data,1d
2021-10-03,675.9,675.9,675.9,675.9,2344551,BHARTIARTL,NSE,jugaad-data,1d
2021-10-04,684.4,703.45,680.4,699.25,25598885,BHARTIARTL,NSE,jugaad-data,1d
2021-10-05,705.75,707.95,688.2,691.4,10406502,BHARTIARTL,NSE,jugaad-data,1d
2021-10-06,695.75,702.2,691.3,692.5,8121590,BHARTIARTL,NSE,jugaad-data,1d
2021-10-07,695.15,699.55,688.9,695.5,6297352,BHARTIARTL,NSE,jugaad-data,1d
2021-10-10,693.1,696.05,685.0,690.85,8792050,BHARTIARTL,NSE,jugaad-data,1d
2021-10-11,691.0,698.4,684.2,686.35,8579567,BHARTIARTL,NSE,jugaad-data,1d
2021-10-12,689.0,696.8,683.1,689.9,7062149,BHARTIARTL,NSE,jugaad-data,1d
2021-10-13,693.0,694.0,681.85,685.8,9820591,BHARTIARTL,NSE,jugaad-data,1d
2021-10-17,700.0,701.95,679.65,680.6,8574445,BHARTIARTL,NSE,jugaad-data,1d
2021-10-18,699.0,699.0,675.45,681.1,7328862,BHARTIARTL,NSE,jugaad-data,1d
2021-10-19,683.4,713.9,681.4,708.45,21217306,BHARTIARTL,NSE,jugaad-data,1d
2021-10-20,710.95,712.35,689.2,696.05,8908979,BHARTIARTL,NSE,jugaad-data,1d
2021-10-21,698.5,705.3,684.25,694.5,6587256,BHARTIARTL,NSE,jugaad-data,1d
2021-10-24,693.0,704.0,675.0,691.1,9540441,BHARTIARTL,NSE,jugaad-data,1d
2021-10-25,695.0,709.85,689.0,696.2,10953878,BHARTIARTL,NSE,jugaad-data,1d
2021-10-26,699.4,714.65,694.0,702.35,11878571,BHARTIARTL,NSE,jugaad-data,1d
2021-10-27,702.75,706.05,684.4,689.75,8884507,BHARTIARTL,NSE,jugaad-data,1d
2021-10-28,692.2,701.0,677.05,685.35,8602343,BHARTIARTL,NSE,jugaad-data,1d
2021-10-31,689.95,722.8,689.6,712.5,17121001,BHARTIARTL,NSE,jugaad-data,1d
2021-11-01,712.5,723.1,709.55,713.95,7725455,BHARTIARTL,NSE,jugaad-data,1d
2021-11-02,725.75,732.5,696.0,699.1,23261507,BHARTIARTL,NSE,jugaad-data,1d
2021-11-03,704.0,704.8,699.2,701.1,1064714,BHARTIARTL,NSE,jugaad-data,1d
2021-11-07,707.45,714.9,704.0,709.0,7565546,BHARTIARTL,NSE,jugaad-data,1d
2021-11-08,711.7,716.45,705.15,713.2,5278131,BHARTIARTL,NSE,jugaad-data,1d
2021-11-09,717.5,738.0,707.35,735.45,15180490,BHARTIARTL,NSE,jugaad-data,1d
2021-11-10,735.0,738.6,724.25,728.6,7421118,BHARTIARTL,NSE,jugaad-data,1d
2021-11-11,733.0,745.0,725.25,743.5,9207508,BHARTIARTL,NSE,jugaad-data,1d
2021-11-14,740.0,746.0,736.2,737.55,5454742,BHARTIARTL,NSE,jugaad-data,1d
2021-11-15,741.35,742.05,727.05,730.3,4639931,BHARTIARTL,NSE,jugaad-data,1d
2021-11-16,724.55,732.35,716.25,720.05,8002927,BHARTIARTL,NSE,jugaad-data,1d
2021-11-17,720.6,723.45,708.0,714.35,4469597,BHARTIARTL,NSE,jugaad-data,1d
2021-11-21,740.0,755.95,733.1,742.1,36884348,BHARTIARTL,NSE,jugaad-data,1d
2021-11-22,745.0,761.0,735.7,758.9,18240414,BHARTIARTL,NSE,jugaad-data,1d
2021-11-23,764.0,781.8,756.25,758.9,21653712,BHARTIARTL,NSE,jugaad-data,1d
2021-11-24,759.05,768.5,752.8,765.15,8483653,BHARTIARTL,NSE,jugaad-data,1d
2021-11-25,763.0,763.0,733.1,738.75,11142921,BHARTIARTL,NSE,jugaad-data,1d
2021-11-28,752.0,755.0,727.1,739.35,15885643,BHARTIARTL,NSE,jugaad-data,1d
2021-11-29,740.0,750.2,722.65,728.25,14272616,BHARTIARTL,NSE,jugaad-data,1d
2021-11-30,733.0,737.4,718.25,722.25,10488561,BHARTIARTL,NSE,jugaad-data,1d
2021-12-01,723.9,735.7,714.15,732.55,11507427,BHARTIARTL,NSE,jugaad-data,1d
2021-12-02,730.0,734.65,716.3,718.35,11024093,BHARTIARTL,NSE,jugaad-data,1d
2021-12-05,718.0,721.9,693.85,697.6,8804487,BHARTIARTL,NSE,jugaad-data,1d
2021-12-06,702.35,705.7,694.1,698.85,10238693,BHARTIARTL,NSE,jugaad-data,1d
2021-12-07,705.0,719.0,702.3,715.15,8296393,BHARTIARTL,NSE,jugaad-data,1d
2021-12-08,716.8,723.95,711.0,713.95,9069515,BHARTIARTL,NSE,jugaad-data,1d
2021-12-09,711.0,718.9,707.0,710.7,4251339,BHARTIARTL,NSE,jugaad-data,1d
2021-12-12,715.0,718.4,698.35,703.1,9896899,BHARTIARTL,NSE,jugaad-data,1d
2021-12-13,701.0,706.3,688.4,691.6,9275631,BHARTIARTL,NSE,jugaad-data,1d
2021-12-14,691.75,694.9,684.1,685.45,7674319,BHARTIARTL,NSE,jugaad-data,1d
2021-12-15,689.9,689.9,677.6,681.4,9633006,BHARTIARTL,NSE,jugaad-data,1d
2021-12-16,681.0,685.7,661.1,666.05,13850460,BHARTIARTL,NSE,jugaad-data,1d
2021-12-19,659.15,661.15,645.1,658.25,11812939,BHARTIARTL,NSE,jugaad-data,1d
2021-12-20,663.95,670.9,659.2,667.0,8084499,BHARTIARTL,NSE,jugaad-data,1d
2021-12-21,667.0,686.0,667.0,684.75,8522226,BHARTIARTL,NSE,jugaad-data,1d
2021-12-22,689.0,689.0,675.5,678.75,5602466,BHARTIARTL,NSE,jugaad-data,1d
2021-12-23,682.1,682.85,672.65,677.05,3756020,BHARTIARTL,NSE,jugaad-data,1d
2021-12-26,674.95,678.35,668.65,675.75,3658572,BHARTIARTL,NSE,jugaad-data,1d
2021-12-27,679.85,683.5,675.05,680.05,3892590,BHARTIARTL,NSE,jugaad-data,1d
2021-12-28,679.95,683.5,675.0,676.85,3847574,BHARTIARTL,NSE,jugaad-data,1d
2021-12-29,677.5,685.8,674.2,679.35,5701612,BHARTIARTL,NSE,jugaad-data,1d
2021-12-30,680.5,694.1,680.0,683.8,4598628,BHARTIARTL,NSE,jugaad-data,1d
2022-01-02,687.8,692.6,683.1,691.3,2939833,BHARTIARTL,NSE,jugaad-data,1d
2022-01-03,692.25,703.25,690.4,697.45,6473875,BHARTIARTL,NSE,jugaad-data,1d
2022-01-04,700.9,702.75,691.75,700.0,4586105,BHARTIARTL,NSE,jugaad-data,1d
2022-01-05,702.0,720.5,700.0,710.4,21642414,BHARTIARTL,NSE,jugaad-data,1d
