date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,33.01,33.5,33.01,33.11,7097,BRITANNIA,NSE,jugaad-data,1d
2021-08-16,29.37,29.5,29.37,29.43,14341,BRITANNIA,NSE,jugaad-data,1d
2021-08-17,29.4,29.53,29.37,29.43,25256,BRITANNIA,NSE,jugaad-data,1d
2021-08-19,3640.0,3967.5,3635.3,3895.95,1567252,BRITANNIA,NSE,jugaad-data,1d
2021-08-22,3910.0,3964.65,3850.6,3866.25,645088,BRITANNIA,NSE,jugaad-data,1d
2021-08-23,33.0,33.35,33.0,33.25,46211,BRITANNIA,NSE,jugaad-data,1d
2021-08-24,31.15,32.37,30.9,30.9,99836,BRITANNIA,NSE,jugaad-data,1d
2021-08-25,3825.2,3946.95,3825.2,3930.9,1114234,BRITANNIA,NSE,jugaad-data,1d
2021-08-26,31.49,31.49,30.9,30.92,42991,BRITANNIA,NSE,jugaad-data,1d
2021-08-29,30.87,31.0,30.87,30.89,55565,BRITANNIA,NSE,jugaad-data,1d
2021-08-30,29.5,29.66,29.48,29.58,744843,BRITANNIA,NSE,jugaad-data,1d
2021-08-31,30.88,31.0,30.88,30.92,4674,BRITANNIA,NSE,jugaad-data,1d
2021-09-01,4015.0,4104.0,4002.05,4086.1,525680,BRITANNIA,NSE,jugaad-data,1d
2021-09-02,31.8,31.8,30.89,31.02,2588,BRITANNIA,NSE,jugaad-data,1d
2021-09-05,30.9,31.99,30.9,30.94,17318,BRITANNIA,NSE,jugaad-data,1d
2021-09-06,29.5,29.73,29.5,29.6,27619,BRITANNIA,NSE,jugaad-data,1d
2021-09-07,29.45,29.71,29.45,29.63,7898,BRITANNIA,NSE,jugaad-data,1d
2021-09-08,30.97,31.1,30.95,30.96,22779,BRITANNIA,NSE,jugaad-data,1d
2021-09-12,29.61,29.65,29.55,29.6,45796,BRITANNIA,NSE,jugaad-data,1d
2021-09-13,30.97,31.05,30.97,31.04,1850,BRITANNIA,NSE,jugaad-data,1d
2021-09-14,4105.2,4135.0,4071.05,4086.35,218163,BRITANNIA,NSE,jugaad-data,1d
2021-09-15,30.98,31.0,30.98,30.99,8661,BRITANNIA,NSE,jugaad-data,1d
2021-09-16,30.99,31.15,30.98,31.0,6970,BRITANNIA,NSE,jugaad-data,1d
2021-09-19,4035.0,4115.0,4000.0,4084.5,291097,BRITANNIA,NSE,jugaad-data,1d
2021-09-20,4062.2,4111.55,4053.0,4075.55,424258,BRITANNIA,NSE,jugaad-data,1d
2021-09-21,4082.0,4105.0,4049.1,4058.5,259937,BRITANNIA,NSE,jugaad-data,1d
2021-09-22,31.0,31.1,31.0,31.05,26775,BRITANNIA,NSE,jugaad-data,1d
2021-09-23,29.65,29.7,29.63,29.63,31302,BRITANNIA,NSE,jugaad-data,1d
2021-09-26,4049.9,4064.6,4000.0,4009.6,248898,BRITANNIA,NSE,jugaad-data,1d
2021-09-27,4005.2,4068.95,3990.05,4003.65,354948,BRITANNIA,NSE,jugaad-data,1d
