date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,896.0,901.1,886.05,888.25,1954152,CIPLA,NSE,jugaad-data,1d
2021-08-16,891.0,906.3,889.9,904.65,3767678,CIPLA,NSE,jugaad-data,1d
2021-08-17,900.2,910.7,900.0,908.85,2323095,CIPLA,NSE,jugaad-data,1d
2021-08-19,908.9,909.05,887.0,890.85,2354874,CIPLA,NSE,jugaad-data,1d
2021-08-22,898.0,908.0,888.65,898.35,2081206,CIPLA,NSE,jugaad-data,1d
2021-08-23,903.0,919.55,897.65,917.65,2588128,CIPLA,NSE,jugaad-data,1d
2021-08-24,917.0,923.6,905.95,912.6,1697757,CIPLA,NSE,jugaad-data,1d
2021-08-25,912.6,916.75,906.3,911.3,1522032,CIPLA,NSE,jugaad-data,1d
2021-08-26,913.8,925.45,907.5,923.9,1878603,CIPLA,NSE,jugaad-data,1d
2021-08-29,924.0,936.5,920.45,934.7,2016968,CIPLA,NSE,jugaad-data,1d
2021-08-30,935.0,949.7,930.3,947.8,2463088,CIPLA,NSE,jugaad-data,1d
2021-08-31,949.0,954.9,920.0,922.85,4434153,CIPLA,NSE,jugaad-data,1d
2021-09-01,927.0,960.0,923.4,955.25,3688123,CIPLA,NSE,jugaad-data,1d
2021-09-02,956.1,963.0,930.65,941.1,3110583,CIPLA,NSE,jugaad-data,1d
2021-09-05,945.85,958.0,942.65,950.2,1699875,CIPLA,NSE,jugaad-data,1d
2021-09-06,950.2,957.3,944.05,950.5,1113880,CIPLA,NSE,jugaad-data,1d
2021-09-07,948.0,953.15,940.0,951.8,1600457,CIPLA,NSE,jugaad-data,1d
2021-09-08,951.15,952.1,926.0,949.3,3769007,CIPLA,NSE,jugaad-data,1d
2021-09-12,946.0,953.9,942.55,950.45,865538,CIPLA,NSE,jugaad-data,1d
2021-09-13,954.8,958.35,949.6,953.15,1373821,CIPLA,NSE,jugaad-data,1d
2021-09-14,955.0,956.6,948.3,952.95,2509424,CIPLA,NSE,jugaad-data,1d
2021-09-15,954.5,964.8,950.2,954.0,3574908,CIPLA,NSE,jugaad-data,1d
2021-09-16,960.0,962.5,948.05,954.05,2006356,CIPLA,NSE,jugaad-data,1d
2021-09-19,953.0,953.0,929.8,938.1,2308294,CIPLA,NSE,jugaad-data,1d
2021-09-20,935.0,959.0,933.0,956.1,2438464,CIPLA,NSE,jugaad-data,1d
2021-09-21,952.25,974.25,951.65,963.5,2267730,CIPLA,NSE,jugaad-data,1d
2021-09-22,965.45,970.0,959.5,968.1,1297533,CIPLA,NSE,jugaad-data,1d
2021-09-23,969.6,983.4,960.45,967.65,1803409,CIPLA,NSE,jugaad-data,1d
2021-09-26,965.0,970.05,952.3,962.7,1217035,CIPLA,NSE,jugaad-data,1d
2021-09-27,960.5,977.0,950.8,971.0,1542732,CIPLA,NSE,jugaad-data,1d
2021-09-28,970.5,1005.0,965.15,987.6,4052980,CIPLA,NSE,jugaad-data,1d
2021-09-29,988.0,999.75,976.35,983.55,2312926,CIPLA,NSE,jugaad-data,1d
2021-09-30,980.0,991.9,973.1,986.2,1948517,CIPLA,NSE,jugaad-data,1d
2021-10-03,986.2,986.2,986.2,986.2,453245,CIPLA,NSE,jugaad-data,1d
2021-10-04,961.8,961.9,928.45,934.55,4986700,CIPLA,NSE,jugaad-data,1d
2021-10-05,935.55,938.55,911.15,913.45,2615582,CIPLA,NSE,jugaad-data,1d
2021-10-06,920.0,922.25,898.0,916.05,7008049,CIPLA,NSE,jugaad-data,1d
2021-10-07,923.0,929.45,911.65,917.1,2075219,CIPLA,NSE,jugaad-data,1d
2021-10-10,922.8,923.15,910.0,913.75,1449593,CIPLA,NSE,jugaad-data,1d
