date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,143.8,144.15,141.75,142.0,5259207,COALINDIA,NSE,jugaad-data,1d
2021-08-16,142.1,142.55,137.2,139.25,13714266,COALINDIA,NSE,jugaad-data,1d
2021-08-17,139.25,140.25,138.0,138.35,7654460,COALINDIA,NSE,jugaad-data,1d
2021-08-19,137.5,138.05,135.0,135.6,8877297,COALINDIA,NSE,jugaad-data,1d
2021-08-22,136.3,136.4,132.75,133.95,7768805,COALINDIA,NSE,jugaad-data,1d
2021-08-23,134.35,136.9,134.0,136.2,7452062,COALINDIA,NSE,jugaad-data,1d
2021-08-24,136.5,139.15,136.5,138.85,7817617,COALINDIA,NSE,jugaad-data,1d
2021-08-25,138.85,139.4,136.35,137.3,6845692,COALINDIA,NSE,jugaad-data,1d
2021-08-26,137.9,139.3,137.05,138.55,4418540,COALINDIA,NSE,jugaad-data,1d
2021-08-29,138.6,143.95,138.6,143.6,11333690,COALINDIA,NSE,jugaad-data,1d
2021-08-30,143.6,146.15,143.25,145.85,14301855,COALINDIA,NSE,jugaad-data,1d
2021-08-31,146.6,146.65,143.9,144.2,8415876,COALINDIA,NSE,jugaad-data,1d
2021-09-01,143.8,143.8,141.2,141.6,7787657,COALINDIA,NSE,jugaad-data,1d
2021-09-02,141.9,147.15,141.75,146.35,12734022,COALINDIA,NSE,jugaad-data,1d
2021-09-05,147.8,147.85,144.3,146.35,9712271,COALINDIA,NSE,jugaad-data,1d
2021-09-06,147.0,148.1,145.55,147.2,9475870,COALINDIA,NSE,jugaad-data,1d
2021-09-07,147.35,149.85,146.3,149.15,7873034,COALINDIA,NSE,jugaad-data,1d
2021-09-08,149.15,150.95,148.0,148.65,9519564,COALINDIA,NSE,jugaad-data,1d
2021-09-12,149.6,155.9,149.3,154.6,35672746,COALINDIA,NSE,jugaad-data,1d
2021-09-13,155.35,155.5,153.35,154.7,8804432,COALINDIA,NSE,jugaad-data,1d
2021-09-14,155.5,162.25,154.25,161.05,24591822,COALINDIA,NSE,jugaad-data,1d
