date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,4640.0,4686.65,4609.0,4661.15,419229,DRREDDY,NSE,jugaad-data,1d
2021-08-16,4665.0,4719.2,4661.15,4700.5,426014,DRREDDY,NSE,jugaad-data,1d
2021-08-17,4700.0,4755.05,4675.0,4687.05,553756,DRREDDY,NSE,jugaad-data,1d
2021-08-19,4659.9,4659.9,4508.0,4556.0,826908,DRREDDY,NSE,jugaad-data,1d
2021-08-22,4599.0,4599.0,4500.0,4514.85,567515,DRREDDY,NSE,jugaad-data,1d
2021-08-23,4552.0,4595.7,4445.7,4587.4,616936,DRREDDY,NSE,jugaad-data,1d
2021-08-24,4570.0,4594.6,4523.35,4548.95,444141,DRREDDY,NSE,jugaad-data,1d
2021-08-25,4548.95,4554.9,4486.4,4503.5,481719,DRREDDY,NSE,jugaad-data,1d
2021-08-26,4506.0,4610.8,4506.0,4600.55,563395,DRREDDY,NSE,jugaad-data,1d
2021-08-29,4619.0,4700.0,4578.05,4677.85,628367,DRREDDY,NSE,jugaad-data,1d
2021-08-30,4677.9,4721.75,4650.5,4704.05,645527,DRREDDY,NSE,jugaad-data,1d
2021-08-31,4739.0,4784.45,4687.0,4763.45,562951,DRREDDY,NSE,jugaad-data,1d
2021-09-01,4811.0,4904.4,4810.0,4859.7,1259864,DRREDDY,NSE,jugaad-data,1d
2021-09-02,4876.2,4909.25,4862.3,4898.55,431315,DRREDDY,NSE,jugaad-data,1d
2021-09-05,4940.0,4943.3,4871.45,4915.95,616199,DRREDDY,NSE,jugaad-data,1d
2021-09-06,4915.0,4925.95,4855.55,4897.45,420214,DRREDDY,NSE,jugaad-data,1d
2021-09-07,4915.0,4940.0,4861.3,4911.3,500029,DRREDDY,NSE,jugaad-data,1d
2021-09-08,4885.0,4922.45,4877.1,4912.05,362411,DRREDDY,NSE,jugaad-data,1d
2021-09-12,4928.9,4947.2,4873.1,4931.4,298653,DRREDDY,NSE,jugaad-data,1d
