date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,2554.0,2556.55,2482.0,2495.85,1022752,EICHERMOT,NSE,jugaad-data,1d
2021-08-16,2494.0,2540.0,2471.2,2515.65,1298630,EICHERMOT,NSE,jugaad-data,1d
2021-08-17,2526.0,2599.0,2526.0,2589.65,1901521,EICHERMOT,NSE,jugaad-data,1d
2021-08-19,2540.0,2631.8,2521.25,2601.65,2187864,EICHERMOT,NSE,jugaad-data,1d
2021-08-22,2620.0,2622.45,2535.0,2544.0,1271399,EICHERMOT,NSE,jugaad-data,1d
2021-08-23,2557.4,2575.0,2518.0,2547.9,1277071,EICHERMOT,NSE,jugaad-data,1d
2021-08-24,2559.0,2583.25,2541.2,2579.5,721584,EICHERMOT,NSE,jugaad-data,1d
2021-08-25,2564.5,2585.0,2546.5,2578.75,440543,EICHERMOT,NSE,jugaad-data,1d
2021-08-26,2570.2,2586.6,2547.6,2576.1,541875,EICHERMOT,NSE,jugaad-data,1d
2021-08-29,2580.7,2608.2,2545.8,2553.95,926194,EICHERMOT,NSE,jugaad-data,1d
2021-08-30,2554.0,2697.9,2545.0,2679.25,2381821,EICHERMOT,NSE,jugaad-data,1d
2021-08-31,2680.0,2767.0,2662.05,2703.15,1997385,EICHERMOT,NSE,jugaad-data,1d
2021-09-01,2703.0,2747.8,2686.55,2733.2,898434,EICHERMOT,NSE,jugaad-data,1d
2021-09-02,2738.65,2857.0,2713.0,2802.6,2305890,EICHERMOT,NSE,jugaad-data,1d
2021-09-05,2802.6,2888.0,2802.6,2844.9,1197932,EICHERMOT,NSE,jugaad-data,1d
2021-09-06,2844.9,2880.0,2806.0,2823.15,545226,EICHERMOT,NSE,jugaad-data,1d
2021-09-07,2803.1,2823.15,2762.25,2800.0,616049,EICHERMOT,NSE,jugaad-data,1d
2021-09-08,2798.0,2832.95,2772.0,2818.2,456149,EICHERMOT,NSE,jugaad-data,1d
2021-09-12,2815.0,2815.0,2777.05,2805.0,287427,EICHERMOT,NSE,jugaad-data,1d
2021-09-13,2818.8,2870.0,2809.65,2820.3,672701,EICHERMOT,NSE,jugaad-data,1d
2021-09-14,2820.3,2851.95,2801.2,2841.95,412751,EICHERMOT,NSE,jugaad-data,1d
2021-09-15,2868.0,2883.4,2843.55,2860.2,570872,EICHERMOT,NSE,jugaad-data,1d
2021-09-16,2865.3,2934.95,2864.3,2898.55,1375879,EICHERMOT,NSE,jugaad-data,1d
2021-09-19,2856.1,2858.55,2756.65,2813.0,1190719,EICHERMOT,NSE,jugaad-data,1d
2021-09-20,2810.0,2859.9,2788.8,2854.4,595121,EICHERMOT,NSE,jugaad-data,1d
2021-09-21,2860.0,2879.5,2825.0,2842.85,424342,EICHERMOT,NSE,jugaad-data,1d
2021-09-22,2851.6,2876.7,2843.4,2857.05,452680,EICHERMOT,NSE,jugaad-data,1d
2021-09-23,2861.5,2948.05,2861.5,2931.0,806905,EICHERMOT,NSE,jugaad-data,1d
2021-09-26,2965.0,2994.0,2868.35,2879.35,1331462,EICHERMOT,NSE,jugaad-data,1d
2021-09-27,2882.0,2944.65,2864.5,2883.05,838118,EICHERMOT,NSE,jugaad-data,1d
2021-09-28,2870.0,2890.0,2835.0,2843.25,386614,EICHERMOT,NSE,jugaad-data,1d
2021-09-29,2843.0,2846.85,2771.55,2790.2,861344,EICHERMOT,NSE,jugaad-data,1d
2021-09-30,2787.0,2794.1,2752.2,2772.45,411006,EICHERMOT,NSE,jugaad-data,1d
2021-10-03,2760.0,2771.0,2708.0,2745.9,874865,EICHERMOT,NSE,jugaad-data,1d
2021-10-04,2730.0,2789.0,2729.05,2760.1,452282,EICHERMOT,NSE,jugaad-data,1d
2021-10-05,2770.0,2783.5,2713.6,2728.95,589264,EICHERMOT,NSE,jugaad-data,1d
2021-10-06,2755.0,2858.9,2746.1,2820.95,897524,EICHERMOT,NSE,jugaad-data,1d
2021-10-07,2840.0,2872.95,2814.5,2817.95,572893,EICHERMOT,NSE,jugaad-data,1d
2021-10-10,2830.0,2898.65,2828.25,2851.75,622401,EICHERMOT,NSE,jugaad-data,1d
2021-10-11,2860.0,2933.4,2852.05,2909.6,786357,EICHERMOT,NSE,jugaad-data,1d
2021-10-12,2911.0,2959.75,2855.25,2905.75,687451,EICHERMOT,NSE,jugaad-data,1d
2021-10-13,2905.0,2923.55,2845.0,2853.2,497012,EICHERMOT,NSE,jugaad-data,1d
2021-10-17,2881.0,2881.0,2812.85,2826.35,360160,EICHERMOT,NSE,jugaad-data,1d
2021-10-18,2842.7,2842.7,2687.25,2703.7,999095,EICHERMOT,NSE,jugaad-data,1d
2021-10-19,2705.0,2711.0,2616.3,2651.2,1159620,EICHERMOT,NSE,jugaad-data,1d
2021-10-20,2677.0,2698.0,2596.4,2663.35,816204,EICHERMOT,NSE,jugaad-data,1d
2021-10-21,2692.0,2692.0,2600.8,2612.55,519029,EICHERMOT,NSE,jugaad-data,1d
2021-10-24,2602.5,2624.15,2532.0,2561.75,457696,EICHERMOT,NSE,jugaad-data,1d
2021-10-25,2579.9,2613.0,2571.95,2590.25,677512,EICHERMOT,NSE,jugaad-data,1d
2021-10-26,2592.0,2611.5,2572.15,2583.9,430370,EICHERMOT,NSE,jugaad-data,1d
2021-10-27,2583.9,2589.95,2518.75,2527.5,1332301,EICHERMOT,NSE,jugaad-data,1d
2021-10-28,2530.0,2530.0,2471.55,2484.8,1628906,EICHERMOT,NSE,jugaad-data,1d
2021-10-31,2490.0,2567.05,2478.1,2560.0,1071806,EICHERMOT,NSE,jugaad-data,1d
2021-11-01,2559.0,2573.0,2526.0,2542.45,657518,EICHERMOT,NSE,jugaad-data,1d
2021-11-02,2540.3,2560.0,2505.2,2521.85,930846,EICHERMOT,NSE,jugaad-data,1d
2021-11-03,2580.0,2696.25,2551.0,2661.6,1389327,EICHERMOT,NSE,jugaad-data,1d
2021-11-07,2724.75,2777.0,2680.95,2711.25,3081804,EICHERMOT,NSE,jugaad-data,1d
