date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,670.0,675.5,666.0,673.55,1058059,HDFCLIFE,NSE,jugaad-data,1d
2021-08-16,673.0,676.55,668.1,669.4,2151413,HDFCLIFE,NSE,jugaad-data,1d
2021-08-17,668.95,675.15,668.5,671.05,1968944,HDFCLIFE,NSE,jugaad-data,1d
2021-08-19,664.0,674.8,656.0,667.85,4035337,HDFCLIFE,NSE,jugaad-data,1d
2021-08-22,670.0,672.8,662.3,668.8,2173978,HDFCLIFE,NSE,jugaad-data,1d
2021-08-23,671.0,675.45,668.1,671.1,3051984,HDFCLIFE,NSE,jugaad-data,1d
2021-08-24,675.1,692.0,673.0,687.55,7608915,HDFCLIFE,NSE,jugaad-data,1d
2021-08-25,693.4,702.0,690.0,698.85,7671524,HDFCLIFE,NSE,jugaad-data,1d
2021-08-26,700.35,707.0,698.85,704.1,3396769,HDFCLIFE,NSE,jugaad-data,1d
2021-08-29,709.0,713.2,706.1,712.35,3023655,HDFCLIFE,NSE,jugaad-data,1d
2021-08-30,712.35,719.0,704.1,717.75,3854510,HDFCLIFE,NSE,jugaad-data,1d
2021-08-31,720.0,724.6,707.3,718.55,4991772,HDFCLIFE,NSE,jugaad-data,1d
2021-09-01,722.45,775.65,720.0,759.0,16281725,HDFCLIFE,NSE,jugaad-data,1d
2021-09-02,738.95,747.75,727.2,734.4,15600504,HDFCLIFE,NSE,jugaad-data,1d
2021-09-05,740.0,743.75,728.7,736.05,8084343,HDFCLIFE,NSE,jugaad-data,1d
2021-09-06,737.0,743.4,730.6,734.25,2891731,HDFCLIFE,NSE,jugaad-data,1d
2021-09-07,739.0,747.0,733.85,743.65,3070612,HDFCLIFE,NSE,jugaad-data,1d
2021-09-08,742.55,746.15,735.0,737.35,2867987,HDFCLIFE,NSE,jugaad-data,1d
2021-09-12,736.95,742.7,723.45,734.9,2883674,HDFCLIFE,NSE,jugaad-data,1d
2021-09-13,737.8,744.0,736.1,739.2,1974670,HDFCLIFE,NSE,jugaad-data,1d
2021-09-14,740.9,752.0,740.0,746.3,3172198,HDFCLIFE,NSE,jugaad-data,1d
2021-09-15,747.0,756.2,743.5,755.15,3209102,HDFCLIFE,NSE,jugaad-data,1d
2021-09-16,759.0,759.6,740.0,747.75,11661592,HDFCLIFE,NSE,jugaad-data,1d
2021-09-19,739.05,746.9,727.0,730.15,1447672,HDFCLIFE,NSE,jugaad-data,1d
2021-09-20,729.7,737.7,724.25,735.8,1850978,HDFCLIFE,NSE,jugaad-data,1d
2021-09-21,733.4,740.05,731.0,733.05,1150957,HDFCLIFE,NSE,jugaad-data,1d
2021-09-22,733.75,735.85,722.2,724.65,2336977,HDFCLIFE,NSE,jugaad-data,1d
2021-09-23,728.9,731.3,720.75,725.8,2219394,HDFCLIFE,NSE,jugaad-data,1d
2021-09-26,729.4,730.25,718.3,721.0,1906863,HDFCLIFE,NSE,jugaad-data,1d
2021-09-27,722.0,733.35,721.5,725.8,2407512,HDFCLIFE,NSE,jugaad-data,1d
2021-09-28,724.7,738.0,721.0,734.75,5200234,HDFCLIFE,NSE,jugaad-data,1d
2021-09-29,740.0,740.0,720.7,722.4,3235673,HDFCLIFE,NSE,jugaad-data,1d
2021-09-30,720.0,730.5,714.3,729.45,1852758,HDFCLIFE,NSE,jugaad-data,1d
2021-10-03,729.45,729.45,729.45,729.45,756767,HDFCLIFE,NSE,jugaad-data,1d
2021-10-04,724.2,735.95,722.05,733.15,2236948,HDFCLIFE,NSE,jugaad-data,1d
2021-10-05,736.0,741.7,724.0,725.65,1939154,HDFCLIFE,NSE,jugaad-data,1d
2021-10-06,730.0,732.35,719.3,725.35,2453970,HDFCLIFE,NSE,jugaad-data,1d
2021-10-07,729.0,731.45,720.3,722.1,1573419,HDFCLIFE,NSE,jugaad-data,1d
2021-10-10,724.9,724.9,714.9,717.3,3007329,HDFCLIFE,NSE,jugaad-data,1d
2021-10-11,716.9,717.95,699.0,703.4,3241303,HDFCLIFE,NSE,jugaad-data,1d
2021-10-12,704.3,709.8,700.0,700.9,3092746,HDFCLIFE,NSE,jugaad-data,1d
2021-10-13,702.5,702.7,693.0,693.8,4077281,HDFCLIFE,NSE,jugaad-data,1d
2021-10-17,700.0,706.05,689.05,703.6,4597120,HDFCLIFE,NSE,jugaad-data,1d
2021-10-18,708.0,709.05,698.55,702.8,2137420,HDFCLIFE,NSE,jugaad-data,1d
2021-10-19,703.4,709.5,695.3,703.4,2606119,HDFCLIFE,NSE,jugaad-data,1d
2021-10-20,706.95,711.0,691.0,694.55,3427729,HDFCLIFE,NSE,jugaad-data,1d
2021-10-21,700.0,702.0,678.0,690.75,3533890,HDFCLIFE,NSE,jugaad-data,1d
2021-10-24,690.75,693.55,676.5,683.25,2786630,HDFCLIFE,NSE,jugaad-data,1d
2021-10-25,685.0,695.0,684.1,690.05,2616174,HDFCLIFE,NSE,jugaad-data,1d
2021-10-26,689.9,699.95,688.35,693.85,2103049,HDFCLIFE,NSE,jugaad-data,1d
2021-10-27,693.85,695.7,680.2,683.1,1471621,HDFCLIFE,NSE,jugaad-data,1d
2021-10-28,682.5,689.0,675.5,680.45,2021722,HDFCLIFE,NSE,jugaad-data,1d
2021-10-31,680.45,693.45,680.35,689.8,1575508,HDFCLIFE,NSE,jugaad-data,1d
2021-11-01,694.0,697.65,691.25,692.65,1898373,HDFCLIFE,NSE,jugaad-data,1d
2021-11-02,695.05,698.5,685.8,692.3,1256308,HDFCLIFE,NSE,jugaad-data,1d
2021-11-03,699.9,699.9,695.0,696.4,409164,HDFCLIFE,NSE,jugaad-data,1d
2021-11-07,702.5,704.95,692.0,703.25,2429656,HDFCLIFE,NSE,jugaad-data,1d
2021-11-08,709.7,709.95,698.8,706.45,2647708,HDFCLIFE,NSE,jugaad-data,1d
2021-11-09,705.5,708.0,700.6,706.5,2077910,HDFCLIFE,NSE,jugaad-data,1d
2021-11-10,706.0,706.9,700.15,702.6,1102633,HDFCLIFE,NSE,jugaad-data,1d
2021-11-11,708.85,722.0,704.8,720.6,5345270,HDFCLIFE,NSE,jugaad-data,1d
2021-11-14,723.95,723.95,711.2,714.6,1917369,HDFCLIFE,NSE,jugaad-data,1d
2021-11-15,718.0,719.4,711.25,713.6,1900114,HDFCLIFE,NSE,jugaad-data,1d
2021-11-16,714.2,722.4,708.4,711.05,2453920,HDFCLIFE,NSE,jugaad-data,1d
2021-11-17,711.05,715.0,702.3,704.5,1708655,HDFCLIFE,NSE,jugaad-data,1d
2021-11-21,706.9,709.75,684.3,688.85,2109072,HDFCLIFE,NSE,jugaad-data,1d
2021-11-22,688.8,699.4,686.0,695.4,2081366,HDFCLIFE,NSE,jugaad-data,1d
2021-11-23,698.4,704.45,682.85,687.2,2093430,HDFCLIFE,NSE,jugaad-data,1d
2021-11-24,690.0,694.5,685.5,688.8,1943112,HDFCLIFE,NSE,jugaad-data,1d
2021-11-25,685.0,689.0,667.1,670.65,2236662,HDFCLIFE,NSE,jugaad-data,1d
2021-11-28,669.6,686.0,658.8,683.65,4901166,HDFCLIFE,NSE,jugaad-data,1d
2021-11-29,682.0,689.75,672.65,680.8,11535239,HDFCLIFE,NSE,jugaad-data,1d
2021-11-30,680.0,695.0,678.05,693.85,3209799,HDFCLIFE,NSE,jugaad-data,1d
2021-12-01,696.0,706.75,694.0,705.3,2331496,HDFCLIFE,NSE,jugaad-data,1d
2021-12-02,707.25,707.25,688.15,690.95,1878712,HDFCLIFE,NSE,jugaad-data,1d
2021-12-05,691.0,693.75,682.5,684.2,1393577,HDFCLIFE,NSE,jugaad-data,1d
2021-12-06,688.0,696.2,683.85,694.4,2459318,HDFCLIFE,NSE,jugaad-data,1d
2021-12-07,698.1,698.85,684.7,686.4,3678237,HDFCLIFE,NSE,jugaad-data,1d
2021-12-08,689.9,690.3,681.2,683.15,1650779,HDFCLIFE,NSE,jugaad-data,1d
2021-12-09,684.9,686.0,680.25,684.75,1011025,HDFCLIFE,NSE,jugaad-data,1d
2021-12-12,685.0,688.4,673.0,674.4,2026297,HDFCLIFE,NSE,jugaad-data,1d
2021-12-13,678.0,678.0,665.65,669.5,2093071,HDFCLIFE,NSE,jugaad-data,1d
2021-12-14,670.0,675.3,665.1,672.85,1981529,HDFCLIFE,NSE,jugaad-data,1d
2021-12-15,674.2,677.45,667.95,669.5,1404782,HDFCLIFE,NSE,jugaad-data,1d
2021-12-16,667.0,669.95,654.4,656.6,2377387,HDFCLIFE,NSE,jugaad-data,1d
2021-12-19,654.0,654.0,627.0,633.6,2473370,HDFCLIFE,NSE,jugaad-data,1d
2021-12-20,640.0,643.95,633.0,638.75,1640601,HDFCLIFE,NSE,jugaad-data,1d
2021-12-21,640.05,643.3,636.0,639.9,1212183,HDFCLIFE,NSE,jugaad-data,1d
2021-12-22,641.05,644.6,636.8,640.5,2150523,HDFCLIFE,NSE,jugaad-data,1d
2021-12-23,641.2,643.0,634.15,637.35,1183083,HDFCLIFE,NSE,jugaad-data,1d
2021-12-26,635.0,642.35,630.1,639.75,1185438,HDFCLIFE,NSE,jugaad-data,1d
2021-12-27,641.75,643.65,639.0,642.3,1217603,HDFCLIFE,NSE,jugaad-data,1d
2021-12-28,645.0,646.75,639.1,644.75,1505964,HDFCLIFE,NSE,jugaad-data,1d
2021-12-29,644.75,645.35,640.1,640.9,1280995,HDFCLIFE,NSE,jugaad-data,1d
2021-12-30,645.35,655.0,642.15,649.55,1592842,HDFCLIFE,NSE,jugaad-data,1d
2022-01-02,654.0,654.65,646.3,650.5,1892087,HDFCLIFE,NSE,jugaad-data,1d
2022-01-03,652.4,655.0,649.05,653.15,2293391,HDFCLIFE,NSE,jugaad-data,1d
2022-01-04,655.0,658.25,650.65,653.55,3326875,HDFCLIFE,NSE,jugaad-data,1d
2022-01-05,651.0,651.95,644.9,646.9,2548339,HDFCLIFE,NSE,jugaad-data,1d
2022-01-06,647.0,662.95,646.0,660.3,2168995,HDFCLIFE,NSE,jugaad-data,1d
2022-01-09,666.0,669.7,660.0,662.95,1480419,HDFCLIFE,NSE,jugaad-data,1d
2022-01-10,662.95,665.9,656.25,658.15,1484964,HDFCLIFE,NSE,jugaad-data,1d
2022-01-11,658.3,674.25,658.3,673.25,2091488,HDFCLIFE,NSE,jugaad-data,1d
2022-01-12,673.9,676.4,668.4,670.35,1807858,HDFCLIFE,NSE,jugaad-data,1d
2022-01-13,668.0,674.85,666.2,671.45,1292789,HDFCLIFE,NSE,jugaad-data,1d
2022-01-16,671.0,675.55,668.0,674.15,1255654,HDFCLIFE,NSE,jugaad-data,1d
2022-01-17,678.0,678.8,666.75,669.1,979679,HDFCLIFE,NSE,jugaad-data,1d
2022-01-18,665.0,667.4,652.25,656.05,1945857,HDFCLIFE,NSE,jugaad-data,1d
2022-01-19,654.6,660.6,647.55,649.45,1429228,HDFCLIFE,NSE,jugaad-data,1d
2022-01-20,645.0,646.95,633.35,641.45,2963518,HDFCLIFE,NSE,jugaad-data,1d
2022-01-23,639.85,639.85,619.1,627.6,2628472,HDFCLIFE,NSE,jugaad-data,1d
2022-01-24,627.2,633.5,617.0,630.8,1827902,HDFCLIFE,NSE,jugaad-data,1d
2022-01-26,625.8,625.9,617.15,621.5,1914985,HDFCLIFE,NSE,jugaad-data,1d
2022-01-27,621.35,632.9,619.05,620.45,1317526,HDFCLIFE,NSE,jugaad-data,1d
2022-01-30,625.5,627.5,615.45,622.45,4374943,HDFCLIFE,NSE,jugaad-data,1d
2022-01-31,626.25,638.55,617.6,623.9,4159628,HDFCLIFE,NSE,jugaad-data,1d
2022-02-01,624.1,645.8,624.1,644.15,2989002,HDFCLIFE,NSE,jugaad-data,1d
2022-02-02,646.05,647.3,631.05,634.4,2076930,HDFCLIFE,NSE,jugaad-data,1d
2022-02-03,637.0,637.0,622.1,624.35,1909456,HDFCLIFE,NSE,jugaad-data,1d
2022-02-06,620.1,623.7,600.0,603.25,3030728,HDFCLIFE,NSE,jugaad-data,1d
2022-02-07,606.4,607.85,594.0,600.45,1954492,HDFCLIFE,NSE,jugaad-data,1d
2022-02-08,606.75,606.75,596.1,600.2,2644690,HDFCLIFE,NSE,jugaad-data,1d
2022-02-09,600.2,611.5,590.45,606.25,6231536,HDFCLIFE,NSE,jugaad-data,1d
2022-02-10,600.7,601.5,593.0,595.35,2557745,HDFCLIFE,NSE,jugaad-data,1d
