date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,2775.0,2777.9,2741.8,2747.35,396756,HEROMOTOCO,NSE,jugaad-data,1d
2021-08-16,2754.0,2790.0,2713.0,2782.6,877329,HEROMOTOCO,NSE,jugaad-data,1d
2021-08-17,2790.5,2795.0,2752.5,2763.6,613650,HEROMOTOCO,NSE,jugaad-data,1d
2021-08-19,2681.2,2741.0,2681.2,2697.5,809463,HEROMOTOCO,NSE,jugaad-data,1d
2021-08-22,2701.0,2710.9,2656.5,2680.6,758426,HEROMOTOCO,NSE,jugaad-data,1d
2021-08-23,2681.0,2695.0,2652.0,2675.85,567946,HEROMOTOCO,NSE,jugaad-data,1d
2021-08-24,2683.0,2708.0,2670.0,2673.95,407780,HEROMOTOCO,NSE,jugaad-data,1d
2021-08-25,2675.0,2680.0,2642.5,2647.55,445529,HEROMOTOCO,NSE,jugaad-data,1d
2021-08-26,2648.0,2679.9,2636.0,2674.05,517155,HEROMOTOCO,NSE,jugaad-data,1d
2021-08-29,2680.0,2729.0,2680.0,2726.25,518747,HEROMOTOCO,NSE,jugaad-data,1d
2021-08-30,2727.0,2746.0,2701.1,2741.85,708031,HEROMOTOCO,NSE,jugaad-data,1d
2021-08-31,2759.0,2764.0,2730.6,2740.85,442282,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-01,2725.0,2738.85,2702.6,2730.35,422436,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-02,2732.0,2813.95,2732.0,2799.45,981491,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-05,2824.8,2830.0,2801.0,2817.2,580935,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-06,2818.25,2825.0,2791.0,2797.75,311022,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-07,2799.0,2809.8,2780.0,2798.35,341207,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-08,2783.0,2806.3,2763.0,2796.7,403669,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-12,2770.0,2812.9,2770.0,2789.8,279930,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-13,2800.0,2861.0,2800.0,2851.7,880592,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-14,2860.0,2885.0,2860.0,2874.95,681873,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-15,2889.0,2926.0,2881.9,2920.4,1118060,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-16,2941.0,2954.45,2896.65,2932.1,1024040,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-19,2920.0,2920.0,2873.55,2889.5,442234,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-20,2890.0,2895.0,2814.4,2850.45,580932,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-21,2850.0,2860.0,2825.1,2847.2,561230,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-22,2850.0,2882.0,2847.25,2853.05,448036,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-23,2850.0,2862.3,2817.35,2833.45,603710,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-26,2841.0,2928.0,2841.0,2912.95,1187306,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-27,2927.95,2939.0,2891.0,2920.55,788979,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-28,2915.0,2920.55,2865.5,2886.15,613787,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-29,2857.3,2878.85,2827.2,2832.5,920513,HEROMOTOCO,NSE,jugaad-data,1d
2021-09-30,2827.2,2851.0,2802.25,2847.95,329726,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-03,2861.55,2870.0,2850.0,2855.55,386779,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-04,2853.0,2859.65,2840.0,2844.55,316991,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-05,2840.0,2850.0,2781.0,2798.15,468624,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-06,2820.0,2859.35,2810.0,2841.65,552458,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-07,2867.75,2872.0,2840.0,2842.1,300133,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-10,2845.0,2878.55,2843.2,2857.8,658779,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-11,2873.9,2927.5,2855.25,2916.65,956819,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-12,2926.0,2946.85,2907.05,2925.2,754779,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-13,2934.0,2944.15,2900.0,2927.8,572466,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-17,2939.0,2950.0,2896.2,2904.1,440831,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-18,2904.1,2930.0,2865.5,2876.05,447221,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-19,2863.0,2876.0,2802.0,2816.0,424722,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-20,2835.0,2835.0,2725.0,2756.9,737326,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-21,2774.0,2800.0,2727.45,2744.15,387942,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-24,2743.95,2754.85,2679.05,2686.8,326076,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-25,2696.9,2708.0,2685.0,2700.5,282346,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-26,2713.95,2729.35,2682.0,2690.15,444512,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-27,2713.8,2713.8,2660.0,2667.75,366561,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-28,2681.0,2702.85,2639.0,2657.1,614962,HEROMOTOCO,NSE,jugaad-data,1d
2021-10-31,2675.0,2692.8,2642.0,2680.7,502481,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-01,2695.0,2701.55,2676.55,2684.3,813089,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-02,2697.0,2697.0,2640.0,2641.45,504184,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-03,2650.0,2685.0,2650.0,2677.5,93301,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-07,2707.7,2709.7,2670.5,2682.9,644351,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-08,2694.95,2750.0,2683.6,2714.35,723569,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-09,2714.0,2731.95,2701.85,2718.8,390217,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-10,2725.0,2725.0,2685.6,2700.9,264937,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-11,2720.0,2720.0,2680.0,2683.05,352693,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-14,2735.0,2784.8,2686.0,2693.25,2023708,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-15,2712.2,2769.0,2701.0,2750.9,1246961,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-16,2750.9,2773.65,2731.85,2749.35,570038,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-17,2760.0,2763.0,2667.15,2684.85,559569,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-21,2685.0,2698.2,2618.7,2634.6,636253,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-22,2624.95,2646.9,2600.0,2632.2,626376,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-23,2646.5,2657.9,2613.0,2621.05,564230,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-24,2640.0,2640.0,2581.1,2594.7,625134,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-25,2580.0,2589.7,2505.15,2529.4,685448,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-28,2525.0,2528.95,2446.15,2490.8,594113,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-29,2476.0,2512.65,2424.05,2449.3,1527406,HEROMOTOCO,NSE,jugaad-data,1d
2021-11-30,2480.0,2480.0,2437.05,2448.2,769987,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-01,2428.0,2483.2,2408.9,2472.7,921229,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-02,2485.0,2497.45,2451.05,2462.45,499760,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-05,2474.75,2475.4,2411.65,2420.0,347297,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-06,2435.0,2475.0,2430.1,2461.8,347226,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-07,2460.15,2500.0,2460.15,2490.65,308181,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-08,2510.0,2528.9,2481.4,2520.95,402958,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-09,2520.7,2544.8,2512.9,2526.85,327197,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-12,2550.0,2552.0,2490.0,2495.0,332491,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-13,2480.0,2488.0,2460.0,2483.8,365318,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-14,2484.1,2524.0,2476.15,2507.15,470021,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-15,2513.0,2525.0,2459.3,2471.1,496003,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-16,2469.0,2469.0,2421.0,2444.65,492339,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-19,2435.0,2435.0,2310.0,2356.65,687713,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-20,2390.0,2390.0,2333.05,2347.4,401977,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-21,2355.0,2366.0,2337.3,2348.8,367785,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-22,2365.0,2403.0,2352.5,2392.7,472868,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-23,2413.0,2413.0,2376.6,2392.45,343453,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-26,2390.0,2410.2,2371.0,2402.0,223494,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-27,2404.0,2425.0,2395.9,2417.8,265463,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-28,2421.0,2442.8,2410.0,2433.25,270407,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-29,2425.0,2437.85,2412.35,2431.9,366389,HEROMOTOCO,NSE,jugaad-data,1d
2021-12-30,2432.0,2483.6,2432.0,2462.1,253608,HEROMOTOCO,NSE,jugaad-data,1d
2022-01-02,2463.0,2496.5,2463.0,2476.6,234912,HEROMOTOCO,NSE,jugaad-data,1d
2022-01-03,2492.0,2496.6,2468.4,2484.9,181575,HEROMOTOCO,NSE,jugaad-data,1d
2022-01-04,2484.95,2512.95,2477.95,2506.0,294097,HEROMOTOCO,NSE,jugaad-data,1d
2022-01-05,2490.0,2509.0,2464.0,2496.0,406402,HEROMOTOCO,NSE,jugaad-data,1d
2022-01-06,2509.0,2515.5,2482.0,2499.1,308537,HEROMOTOCO,NSE,jugaad-data,1d
