date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,442.6,447.0,436.2,441.75,8288547,HINDALCO,NSE,jugaad-data,1d
2021-08-16,440.1,443.85,429.0,436.6,8413999,HINDALCO,NSE,jugaad-data,1d
2021-08-17,438.8,439.65,424.4,426.95,12169397,HINDALCO,NSE,jugaad-data,1d
2021-08-19,416.0,416.0,401.1,403.65,23309477,HINDALCO,NSE,jugaad-data,1d
2021-08-22,411.0,415.75,399.5,406.85,15943020,HINDALCO,NSE,jugaad-data,1d
2021-08-23,415.0,423.75,412.55,420.85,15050015,HINDALCO,NSE,jugaad-data,1d
2021-08-24,423.7,434.95,423.7,430.7,17974391,HINDALCO,NSE,jugaad-data,1d
2021-08-25,431.5,432.3,420.8,424.1,7695674,HINDALCO,NSE,jugaad-data,1d
2021-08-26,427.0,439.0,427.0,437.9,15558923,HINDALCO,NSE,jugaad-data,1d
2021-08-29,440.95,452.5,440.65,448.05,11735730,HINDALCO,NSE,jugaad-data,1d
2021-08-30,448.0,471.15,444.8,468.3,20847646,HINDALCO,NSE,jugaad-data,1d
2021-08-31,474.0,474.0,455.05,458.1,10038500,HINDALCO,NSE,jugaad-data,1d
2021-09-01,460.05,465.0,455.7,456.95,5360608,HINDALCO,NSE,jugaad-data,1d
2021-09-02,457.25,464.5,450.0,461.3,8516918,HINDALCO,NSE,jugaad-data,1d
2021-09-05,466.95,475.0,461.7,469.25,12183840,HINDALCO,NSE,jugaad-data,1d
2021-09-06,470.0,472.4,460.9,462.3,5684070,HINDALCO,NSE,jugaad-data,1d
2021-09-07,464.85,465.85,455.2,456.3,6689343,HINDALCO,NSE,jugaad-data,1d
2021-09-08,458.25,466.65,456.0,463.55,6926659,HINDALCO,NSE,jugaad-data,1d
2021-09-12,476.0,480.5,468.55,478.35,16632808,HINDALCO,NSE,jugaad-data,1d
2021-09-13,483.1,483.45,473.2,477.95,15253798,HINDALCO,NSE,jugaad-data,1d
2021-09-14,478.2,487.6,474.35,486.8,12415050,HINDALCO,NSE,jugaad-data,1d
2021-09-15,483.0,488.0,480.45,483.3,8011765,HINDALCO,NSE,jugaad-data,1d
2021-09-16,484.0,485.45,470.1,473.05,12113274,HINDALCO,NSE,jugaad-data,1d
2021-09-19,462.0,464.0,442.4,444.4,18031539,HINDALCO,NSE,jugaad-data,1d
2021-09-20,445.0,452.45,438.8,451.0,18750888,HINDALCO,NSE,jugaad-data,1d
2021-09-21,452.9,464.4,452.2,463.0,13613171,HINDALCO,NSE,jugaad-data,1d
2021-09-22,473.5,484.8,468.0,483.25,12757667,HINDALCO,NSE,jugaad-data,1d
