date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,1024.95,1029.9,1016.1,1019.0,1132546,INDUSINDBK,NSE,jugaad-data,1d
2021-08-16,1013.5,1015.0,993.3,1000.2,3082005,INDUSINDBK,NSE,jugaad-data,1d
2021-08-17,1003.0,1005.8,987.0,989.65,2344486,INDUSINDBK,NSE,jugaad-data,1d
2021-08-19,985.0,990.95,970.65,979.45,3465186,INDUSINDBK,NSE,jugaad-data,1d
2021-08-22,988.1,998.9,964.1,988.6,2914978,INDUSINDBK,NSE,jugaad-data,1d
2021-08-23,990.2,1009.0,987.0,1005.05,2510063,INDUSINDBK,NSE,jugaad-data,1d
2021-08-24,1009.9,1013.9,998.2,1005.55,2105187,INDUSINDBK,NSE,jugaad-data,1d
2021-08-25,1000.0,1012.65,998.1,1001.5,1971408,INDUSINDBK,NSE,jugaad-data,1d
2021-08-26,997.0,1000.85,987.0,990.2,2368969,INDUSINDBK,NSE,jugaad-data,1d
2021-08-29,995.3,1012.0,991.3,1005.1,2868604,INDUSINDBK,NSE,jugaad-data,1d
2021-08-30,1009.0,1009.8,990.0,992.4,3138652,INDUSINDBK,NSE,jugaad-data,1d
2021-08-31,994.0,1025.0,993.0,998.75,3854558,INDUSINDBK,NSE,jugaad-data,1d
2021-09-01,1002.7,1012.5,995.2,1010.1,2136382,INDUSINDBK,NSE,jugaad-data,1d
2021-09-02,1010.0,1028.65,996.55,1003.75,5363972,INDUSINDBK,NSE,jugaad-data,1d
2021-09-05,1006.0,1008.3,991.0,991.95,3349749,INDUSINDBK,NSE,jugaad-data,1d
2021-09-06,992.05,1012.0,984.15,1001.25,5483796,INDUSINDBK,NSE,jugaad-data,1d
2021-09-07,1013.2,1021.8,992.4,999.6,6385224,INDUSINDBK,NSE,jugaad-data,1d
2021-09-08,1000.0,1006.9,993.5,999.5,3193603,INDUSINDBK,NSE,jugaad-data,1d
2021-09-12,1004.0,1004.0,992.65,996.3,2386618,INDUSINDBK,NSE,jugaad-data,1d
2021-09-13,999.0,1039.0,997.6,1036.6,7838383,INDUSINDBK,NSE,jugaad-data,1d
2021-09-14,1036.0,1062.0,1027.5,1053.95,6071710,INDUSINDBK,NSE,jugaad-data,1d
2021-09-15,1071.0,1186.5,1071.0,1130.95,27230283,INDUSINDBK,NSE,jugaad-data,1d
2021-09-16,1137.5,1146.55,1112.35,1130.0,5784278,INDUSINDBK,NSE,jugaad-data,1d
2021-09-19,1115.0,1132.4,1084.6,1089.95,2954179,INDUSINDBK,NSE,jugaad-data,1d
2021-09-20,1091.0,1143.15,1085.0,1137.55,6332732,INDUSINDBK,NSE,jugaad-data,1d
2021-09-21,1145.0,1157.85,1128.2,1141.4,5587136,INDUSINDBK,NSE,jugaad-data,1d
2021-09-22,1150.0,1175.0,1147.0,1169.15,4879235,INDUSINDBK,NSE,jugaad-data,1d
2021-09-23,1172.2,1189.35,1141.25,1163.05,4615559,INDUSINDBK,NSE,jugaad-data,1d
2021-09-26,1172.0,1177.95,1144.9,1150.7,3083520,INDUSINDBK,NSE,jugaad-data,1d
2021-09-27,1160.0,1160.0,1119.0,1134.75,3684708,INDUSINDBK,NSE,jugaad-data,1d
2021-09-28,1127.1,1136.9,1114.1,1123.2,5574048,INDUSINDBK,NSE,jugaad-data,1d
2021-09-29,1125.0,1134.9,1107.0,1111.9,3180267,INDUSINDBK,NSE,jugaad-data,1d
2021-09-30,1104.0,1112.0,1091.3,1104.05,1940798,INDUSINDBK,NSE,jugaad-data,1d
2021-10-03,1107.5,1125.0,1106.0,1119.8,1817348,INDUSINDBK,NSE,jugaad-data,1d
2021-10-04,1116.8,1177.1,1108.65,1168.6,5270013,INDUSINDBK,NSE,jugaad-data,1d
2021-10-05,1178.45,1179.15,1126.7,1131.85,3329243,INDUSINDBK,NSE,jugaad-data,1d
2021-10-06,1143.0,1186.15,1140.05,1166.7,4002618,INDUSINDBK,NSE,jugaad-data,1d
2021-10-07,1179.4,1180.0,1158.4,1174.4,2344868,INDUSINDBK,NSE,jugaad-data,1d
2021-10-10,1172.65,1194.45,1170.0,1173.25,2535840,INDUSINDBK,NSE,jugaad-data,1d
2021-10-11,1165.0,1196.0,1160.05,1181.9,2354120,INDUSINDBK,NSE,jugaad-data,1d
2021-10-12,1188.1,1191.95,1175.25,1184.5,1235622,INDUSINDBK,NSE,jugaad-data,1d
2021-10-13,1190.0,1215.0,1161.8,1210.0,3315820,INDUSINDBK,NSE,jugaad-data,1d
2021-10-17,1221.0,1229.65,1196.05,1219.6,4512591,INDUSINDBK,NSE,jugaad-data,1d
2021-10-18,1222.0,1240.0,1185.6,1194.0,3879525,INDUSINDBK,NSE,jugaad-data,1d
2021-10-19,1190.0,1213.9,1172.45,1201.7,2850772,INDUSINDBK,NSE,jugaad-data,1d
2021-10-20,1205.0,1210.95,1165.2,1184.4,2408608,INDUSINDBK,NSE,jugaad-data,1d
2021-10-21,1192.05,1204.7,1176.8,1196.4,2618946,INDUSINDBK,NSE,jugaad-data,1d
2021-10-24,1205.95,1211.0,1156.7,1177.75,3612312,INDUSINDBK,NSE,jugaad-data,1d
2021-10-25,1180.0,1193.0,1137.7,1154.9,3413917,INDUSINDBK,NSE,jugaad-data,1d
2021-10-26,1156.0,1163.85,1122.0,1142.55,4329232,INDUSINDBK,NSE,jugaad-data,1d
2021-10-27,1172.0,1242.0,1169.25,1176.0,17223159,INDUSINDBK,NSE,jugaad-data,1d
2021-10-28,1166.95,1182.0,1123.6,1140.2,5112475,INDUSINDBK,NSE,jugaad-data,1d
2021-10-31,1158.0,1235.0,1146.05,1229.1,10563295,INDUSINDBK,NSE,jugaad-data,1d
2021-11-01,1220.0,1240.1,1207.0,1212.55,3730392,INDUSINDBK,NSE,jugaad-data,1d
2021-11-02,1215.0,1220.0,1174.25,1177.95,2922214,INDUSINDBK,NSE,jugaad-data,1d
2021-11-03,1195.0,1195.0,1185.0,1189.1,278458,INDUSINDBK,NSE,jugaad-data,1d
2021-11-07,1130.0,1130.0,1041.6,1061.15,29099645,INDUSINDBK,NSE,jugaad-data,1d
2021-11-08,1081.0,1084.9,1062.5,1068.25,7752739,INDUSINDBK,NSE,jugaad-data,1d
2021-11-09,1066.8,1066.8,1027.8,1032.2,6796906,INDUSINDBK,NSE,jugaad-data,1d
2021-11-10,1032.2,1038.0,1020.5,1033.3,4527396,INDUSINDBK,NSE,jugaad-data,1d
2021-11-11,1040.0,1043.5,1028.55,1037.05,3479296,INDUSINDBK,NSE,jugaad-data,1d
2021-11-14,1042.0,1051.0,1032.55,1041.5,3105993,INDUSINDBK,NSE,jugaad-data,1d
2021-11-15,1042.0,1046.0,1018.25,1020.9,2685826,INDUSINDBK,NSE,jugaad-data,1d
2021-11-16,1017.9,1042.0,1014.0,1034.0,3042496,INDUSINDBK,NSE,jugaad-data,1d
2021-11-17,1031.8,1042.0,1002.3,1008.45,3244457,INDUSINDBK,NSE,jugaad-data,1d
2021-11-21,1024.0,1025.9,988.55,1006.9,6198324,INDUSINDBK,NSE,jugaad-data,1d
2021-11-22,995.0,1010.0,974.0,981.35,8136685,INDUSINDBK,NSE,jugaad-data,1d
2021-11-23,989.0,993.65,966.0,970.4,6646771,INDUSINDBK,NSE,jugaad-data,1d
2021-11-24,968.0,970.0,951.35,959.3,5711537,INDUSINDBK,NSE,jugaad-data,1d
