date,open,high,low,close,volume,symbol,exchange,source,interval
2023-08-20,262.0,262.05,248.9,248.9,74715306,JIOFIN,NSE,jugaad-data,1d
2023-08-21,236.45,236.45,236.45,236.45,7281398,JIOFIN,NSE,jugaad-data,1d
2023-08-22,224.65,224.65,224.65,224.65,4289046,JIOFIN,NSE,jugaad-data,1d
2023-08-23,213.45,213.45,213.45,213.45,27673356,JIOFIN,NSE,jugaad-data,1d
2023-08-24,202.8,224.1,202.8,214.5,281040185,JIOFIN,NSE,jugaad-data,1d
2023-08-27,213.35,222.25,207.55,211.15,87522126,JIOFIN,NSE,jugaad-data,1d
2023-08-28,212.0,221.7,207.25,220.25,92693424,JIOFIN,NSE,jugaad-data,1d
2023-08-29,224.9,231.25,224.7,231.25,21403170,JIOFIN,NSE,jugaad-data,1d
2023-08-30,241.7,242.8,231.15,233.5,124122179,JIOFIN,NSE,jugaad-data,1d
2023-08-31,235.0,245.15,234.2,245.15,39481020,JIOFIN,NSE,jugaad-data,1d
2023-09-03,255.3,266.95,249.0,253.45,99246736,JIOFIN,NSE,jugaad-data,1d
2023-09-04,257.0,260.0,253.0,255.05,47127078,JIOFIN,NSE,jugaad-data,1d
2023-09-05,247.0,259.8,246.05,252.85,225413157,JIOFIN,NSE,jugaad-data,1d
2023-09-06,252.0,257.3,251.25,251.8,43856832,JIOFIN,NSE,jugaad-data,1d
2023-09-07,254.0,255.0,249.5,253.2,36090005,JIOFIN,NSE,jugaad-data,1d
2023-09-10,256.95,257.7,250.0,250.15,24982858,JIOFIN,NSE,jugaad-data,1d
2023-09-11,251.75,252.0,240.9,244.25,39500716,JIOFIN,NSE,jugaad-data,1d
2023-09-12,244.8,247.8,236.6,240.2,27810990,JIOFIN,NSE,jugaad-data,1d
2023-09-13,242.0,244.55,241.25,242.55,14055236,JIOFIN,NSE,jugaad-data,1d
2023-09-14,243.8,244.65,237.65,239.4,27416106,JIOFIN,NSE,jugaad-data,1d
2023-09-17,240.0,240.85,232.1,233.2,24694419,JIOFIN,NSE,jugaad-data,1d
2023-09-19,230.4,232.0,229.0,229.65,18317607,JIOFIN,NSE,jugaad-data,1d
2023-09-20,230.0,235.6,226.8,227.65,33101551,JIOFIN,NSE,jugaad-data,1d
2023-09-21,227.95,232.25,226.35,227.8,38327554,JIOFIN,NSE,jugaad-data,1d
2023-09-24,230.0,230.85,227.5,229.75,13392150,JIOFIN,NSE,jugaad-data,1d
2023-09-25,231.1,231.7,230.0,230.4,8058261,JIOFIN,NSE,jugaad-data,1d
2023-09-26,231.2,231.2,227.0,227.35,10984321,JIOFIN,NSE,jugaad-data,1d
2023-09-27,228.0,228.85,224.75,225.05,9143582,JIOFIN,NSE,jugaad-data,1d
2023-09-28,225.9,232.9,225.0,231.2,12411231,JIOFIN,NSE,jugaad-data,1d
2023-10-02,231.5,233.9,230.55,231.4,13185432,JIOFIN,NSE,jugaad-data,1d
2023-10-03,230.0,230.0,223.5,224.65,23296548,JIOFIN,NSE,jugaad-data,1d
2023-10-04,225.9,227.9,224.2,225.4,13894930,JIOFIN,NSE,jugaad-data,1d
2023-10-05,226.5,227.65,223.7,225.1,7531900,JIOFIN,NSE,jugaad-data,1d
2023-10-08,223.0,223.0,218.85,219.65,9696908,JIOFIN,NSE,jugaad-data,1d
2023-10-09,221.0,223.9,219.75,220.15,10451289,JIOFIN,NSE,jugaad-data,1d
2023-10-10,222.0,227.7,220.6,225.1,11765082,JIOFIN,NSE,jugaad-data,1d
2023-10-11,227.0,227.4,224.75,225.15,7780605,JIOFIN,NSE,jugaad-data,1d
2023-10-12,224.0,225.9,222.0,224.55,10137218,JIOFIN,NSE,jugaad-data,1d
2023-10-15,224.9,225.95,224.0,224.8,10850724,JIOFIN,NSE,jugaad-data,1d
2023-10-16,231.5,233.0,220.5,220.95,34190044,JIOFIN,NSE,jugaad-data,1d
2023-10-17,221.6,222.9,215.55,216.0,27712062,JIOFIN,NSE,jugaad-data,1d
2023-10-18,216.0,216.0,209.05,214.2,42127110,JIOFIN,NSE,jugaad-data,1d
2023-10-19,215.5,217.0,213.0,214.2,11101464,JIOFIN,NSE,jugaad-data,1d
2023-10-22,214.0,214.2,204.25,206.6,17817781,JIOFIN,NSE,jugaad-data,1d
2023-10-24,206.6,211.8,206.5,210.15,22079260,JIOFIN,NSE,jugaad-data,1d
2023-10-25,208.0,217.0,206.45,215.85,23734035,JIOFIN,NSE,jugaad-data,1d
2023-10-26,219.6,225.6,216.45,222.9,20929447,JIOFIN,NSE,jugaad-data,1d
2023-10-29,224.5,226.2,218.15,219.0,13508666,JIOFIN,NSE,jugaad-data,1d
2023-10-30,222.0,223.2,215.55,219.0,17538202,JIOFIN,NSE,jugaad-data,1d
2023-10-31,216.0,222.05,215.3,217.65,15862624,JIOFIN,NSE,jugaad-data,1d
2023-11-01,218.5,219.6,216.7,217.35,13261567,JIOFIN,NSE,jugaad-data,1d
2023-11-02,219.0,220.65,217.65,219.05,8569115,JIOFIN,NSE,jugaad-data,1d
2023-11-05,220.4,220.7,216.75,217.15,11494092,JIOFIN,NSE,jugaad-data,1d
2023-11-06,217.9,218.8,216.5,217.2,7558170,JIOFIN,NSE,jugaad-data,1d
2023-11-07,217.8,217.9,213.8,214.15,17101608,JIOFIN,NSE,jugaad-data,1d
2023-11-08,214.85,217.7,214.85,215.15,17250096,JIOFIN,NSE,jugaad-data,1d
2023-11-09,214.85,222.95,214.35,221.95,18467219,JIOFIN,NSE,jugaad-data,1d
2023-11-11,224.75,226.5,223.5,225.55,10542420,JIOFIN,NSE,jugaad-data,1d
2023-11-12,223.0,225.9,222.25,224.75,12086991,JIOFIN,NSE,jugaad-data,1d
2023-11-14,226.95,227.35,223.2,224.15,15782001,JIOFIN,NSE,jugaad-data,1d
2023-11-15,225.5,229.3,223.85,226.95,17856032,JIOFIN,NSE,jugaad-data,1d
2023-11-16,226.0,226.0,220.4,220.8,19607105,JIOFIN,NSE,jugaad-data,1d
2023-11-19,221.75,221.75,215.05,215.5,20403368,JIOFIN,NSE,jugaad-data,1d
2023-11-20,217.4,223.15,216.55,220.2,25625463,JIOFIN,NSE,jugaad-data,1d
2023-11-21,219.7,223.4,218.5,221.9,15012272,JIOFIN,NSE,jugaad-data,1d
2023-11-22,222.5,223.25,219.6,221.25,11267951,JIOFIN,NSE,jugaad-data,1d
2023-11-23,221.9,227.85,220.5,226.5,31420610,JIOFIN,NSE,jugaad-data,1d
2023-11-27,228.05,232.3,225.3,226.35,25668670,JIOFIN,NSE,jugaad-data,1d
2023-11-28,229.35,229.35,224.2,226.05,14007708,JIOFIN,NSE,jugaad-data,1d
2023-11-29,226.05,231.8,222.65,229.4,45432216,JIOFIN,NSE,jugaad-data,1d
2023-11-30,231.45,231.6,224.85,225.5,17634910,JIOFIN,NSE,jugaad-data,1d
2023-12-03,229.75,232.0,227.9,230.1,21079668,JIOFIN,NSE,jugaad-data,1d
2023-12-04,231.0,246.0,229.4,242.5,60847483,JIOFIN,NSE,jugaad-data,1d
2023-12-05,244.9,251.6,243.0,247.05,45262704,JIOFIN,NSE,jugaad-data,1d
2023-12-06,249.0,250.7,245.1,249.15,23000400,JIOFIN,NSE,jugaad-data,1d
2023-12-07,249.0,250.5,240.0,244.25,19056798,JIOFIN,NSE,jugaad-data,1d
2023-12-10,244.85,247.0,243.05,245.6,8875953,JIOFIN,NSE,jugaad-data,1d
2023-12-11,246.05,247.3,238.3,240.55,12749596,JIOFIN,NSE,jugaad-data,1d
2023-12-12,242.0,242.4,235.35,239.75,13774944,JIOFIN,NSE,jugaad-data,1d
2023-12-13,242.9,243.75,238.05,238.6,14352896,JIOFIN,NSE,jugaad-data,1d
2023-12-14,240.0,242.6,236.4,237.65,26225287,JIOFIN,NSE,jugaad-data,1d
2023-12-17,241.0,242.2,237.6,240.15,17001755,JIOFIN,NSE,jugaad-data,1d
2023-12-18,240.3,240.8,237.9,238.3,13053454,JIOFIN,NSE,jugaad-data,1d
2023-12-19,238.9,248.2,230.05,232.1,44628843,JIOFIN,NSE,jugaad-data,1d
2023-12-20,230.85,238.7,229.0,238.0,17015304,JIOFIN,NSE,jugaad-data,1d
2023-12-21,238.75,239.75,234.6,236.75,10871312,JIOFIN,NSE,jugaad-data,1d
2023-12-25,237.25,238.0,233.7,234.7,11865886,JIOFIN,NSE,jugaad-data,1d
2023-12-26,236.0,237.25,233.0,234.0,12430460,JIOFIN,NSE,jugaad-data,1d
2023-12-27,235.0,236.35,232.55,233.35,10533952,JIOFIN,NSE,jugaad-data,1d
2023-12-28,233.9,235.2,232.25,232.95,11614923,JIOFIN,NSE,jugaad-data,1d
2023-12-31,233.35,236.4,233.3,234.55,7919961,JIOFIN,NSE,jugaad-data,1d
2024-01-01,235.0,236.0,232.0,235.35,9216592,JIOFIN,NSE,jugaad-data,1d
2024-01-02,235.4,236.0,233.55,234.5,9864949,JIOFIN,NSE,jugaad-data,1d
2024-01-03,238.85,243.25,236.8,241.4,32808937,JIOFIN,NSE,jugaad-data,1d
2024-01-04,244.5,248.2,241.5,243.65,29722064,JIOFIN,NSE,jugaad-data,1d
2024-01-07,246.85,246.9,240.3,242.4,21118013,JIOFIN,NSE,jugaad-data,1d
2024-01-08,243.9,244.65,241.5,242.15,10689245,JIOFIN,NSE,jugaad-data,1d
2024-01-09,242.0,242.3,239.3,240.95,11798543,JIOFIN,NSE,jugaad-data,1d
2024-01-10,243.0,253.4,240.65,251.55,45792818,JIOFIN,NSE,jugaad-data,1d
2024-01-11,255.0,259.35,253.7,255.05,46763296,JIOFIN,NSE,jugaad-data,1d
2024-01-14,258.0,269.7,257.05,266.75,68617372,JIOFIN,NSE,jugaad-data,1d
2024-01-15,254.1,258.0,246.5,248.85,70456857,JIOFIN,NSE,jugaad-data,1d
2024-01-16,247.0,247.0,242.15,242.55,28318086,JIOFIN,NSE,jugaad-data,1d
2024-01-17,243.45,247.9,239.05,243.25,24804800,JIOFIN,NSE,jugaad-data,1d
2024-01-18,245.85,249.15,245.4,246.25,16563079,JIOFIN,NSE,jugaad-data,1d
2024-01-19,248.9,249.5,244.55,246.45,11652989,JIOFIN,NSE,jugaad-data,1d
2024-01-22,247.85,248.05,240.0,240.4,13184700,JIOFIN,NSE,jugaad-data,1d
2024-01-23,240.0,241.55,237.1,239.75,15276800,JIOFIN,NSE,jugaad-data,1d
2024-01-24,240.4,242.65,238.9,239.85,12352497,JIOFIN,NSE,jugaad-data,1d
2024-01-28,242.0,254.4,240.0,251.0,41148261,JIOFIN,NSE,jugaad-data,1d
2024-01-29,253.15,253.95,247.1,247.7,15292451,JIOFIN,NSE,jugaad-data,1d
2024-01-30,247.65,250.6,246.1,248.25,15183900,JIOFIN,NSE,jugaad-data,1d
2024-01-31,251.0,254.7,249.2,252.4,24323325,JIOFIN,NSE,jugaad-data,1d
2024-02-01,252.5,257.3,250.6,253.8,30218956,JIOFIN,NSE,jugaad-data,1d
2024-02-04,256.35,295.7,255.7,289.1,211028604,JIOFIN,NSE,jugaad-data,1d
2024-02-05,285.7,285.7,266.05,270.95,86635613,JIOFIN,NSE,jugaad-data,1d
2024-02-06,273.45,275.7,267.4,268.5,30963705,JIOFIN,NSE,jugaad-data,1d
2024-02-07,270.0,270.4,261.95,262.8,21948925,JIOFIN,NSE,jugaad-data,1d
2024-02-08,264.4,276.3,258.4,273.0,51120889,JIOFIN,NSE,jugaad-data,1d
2024-02-11,276.1,281.1,267.7,271.45,47043875,JIOFIN,NSE,jugaad-data,1d
2024-02-12,270.45,275.4,263.7,272.75,31220101,JIOFIN,NSE,jugaad-data,1d
2024-02-13,269.9,275.0,268.55,273.0,21374190,JIOFIN,NSE,jugaad-data,1d
2024-02-14,275.0,279.0,273.0,274.05,19477720,JIOFIN,NSE,jugaad-data,1d
2024-02-15,275.3,276.75,271.0,271.9,14337059,JIOFIN,NSE,jugaad-data,1d
