date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,745.0,770.6,739.2,761.65,9095337,JSWSTEEL,NSE,jugaad-data,1d
2021-08-16,758.6,762.45,735.85,744.25,6482187,JSWSTEEL,NSE,jugaad-data,1d
2021-08-17,748.0,748.9,732.9,737.45,5905871,JSWSTEEL,NSE,jugaad-data,1d
2021-08-19,722.0,722.0,681.5,684.6,13126219,JSWSTEEL,NSE,jugaad-data,1d
2021-08-22,696.0,700.7,664.0,684.2,11781361,JSWSTEEL,NSE,jugaad-data,1d
2021-08-23,690.1,697.0,683.0,691.65,8283854,JSWSTEEL,NSE,jugaad-data,1d
2021-08-24,696.0,701.0,680.0,683.85,5539409,JSWSTEEL,NSE,jugaad-data,1d
2021-08-25,683.0,685.0,669.3,672.0,5659963,JSWSTEEL,NSE,jugaad-data,1d
2021-08-26,672.9,681.4,671.75,677.5,4978277,JSWSTEEL,NSE,jugaad-data,1d
2021-08-29,683.05,694.0,683.05,686.55,5891576,JSWSTEEL,NSE,jugaad-data,1d
2021-08-30,688.25,692.45,680.45,687.6,5399215,JSWSTEEL,NSE,jugaad-data,1d
2021-08-31,688.0,689.0,675.0,676.65,4316801,JSWSTEEL,NSE,jugaad-data,1d
2021-09-01,681.05,689.0,678.0,685.05,3635439,JSWSTEEL,NSE,jugaad-data,1d
2021-09-02,686.1,695.25,682.4,690.9,4145359,JSWSTEEL,NSE,jugaad-data,1d
2021-09-05,697.0,697.0,681.6,686.65,5179490,JSWSTEEL,NSE,jugaad-data,1d
2021-09-06,689.45,697.8,682.5,683.8,3555927,JSWSTEEL,NSE,jugaad-data,1d
2021-09-07,684.0,691.5,681.7,687.05,3288571,JSWSTEEL,NSE,jugaad-data,1d
2021-09-08,683.85,691.5,683.05,688.95,2381494,JSWSTEEL,NSE,jugaad-data,1d
2021-09-12,693.25,700.0,687.5,694.4,3778975,JSWSTEEL,NSE,jugaad-data,1d
2021-09-13,696.4,702.0,692.25,693.65,3185808,JSWSTEEL,NSE,jugaad-data,1d
2021-09-14,697.0,698.0,687.05,696.65,2871538,JSWSTEEL,NSE,jugaad-data,1d
2021-09-15,700.05,700.95,688.0,689.45,3372499,JSWSTEEL,NSE,jugaad-data,1d
2021-09-16,692.0,692.0,668.7,682.3,7804735,JSWSTEEL,NSE,jugaad-data,1d
