date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,6982.5,7018.0,6810.0,6826.85,750966,MARUTI,NSE,jugaad-data,1d
2021-08-16,6800.0,6943.0,6746.4,6885.4,752517,MARUTI,NSE,jugaad-data,1d
2021-08-17,6943.75,6943.75,6820.0,6840.1,434144,MARUTI,NSE,jugaad-data,1d
2021-08-19,6815.0,6914.65,6780.0,6850.9,657982,MARUTI,NSE,jugaad-data,1d
2021-08-22,6905.0,6918.0,6801.0,6825.9,537302,MARUTI,NSE,jugaad-data,1d
2021-08-23,6789.5,6852.0,6740.6,6803.2,646993,MARUTI,NSE,jugaad-data,1d
2021-08-24,6838.0,6838.0,6700.0,6711.45,722194,MARUTI,NSE,jugaad-data,1d
2021-08-25,6700.0,6701.35,6591.0,6608.6,1199429,MARUTI,NSE,jugaad-data,1d
2021-08-26,6629.75,6694.6,6600.0,6624.85,1428388,MARUTI,NSE,jugaad-data,1d
2021-08-29,6690.0,6810.0,6653.85,6796.9,819447,MARUTI,NSE,jugaad-data,1d
2021-08-30,6820.0,6872.0,6763.55,6846.1,938326,MARUTI,NSE,jugaad-data,1d
2021-08-31,6799.95,6820.0,6702.35,6784.9,1108476,MARUTI,NSE,jugaad-data,1d
2021-09-01,6852.7,6858.95,6708.2,6792.9,741052,MARUTI,NSE,jugaad-data,1d
2021-09-02,6770.0,6958.0,6751.6,6863.1,1196077,MARUTI,NSE,jugaad-data,1d
2021-09-05,6925.0,6954.0,6838.0,6846.9,897444,MARUTI,NSE,jugaad-data,1d
2021-09-06,6879.9,6929.9,6853.7,6877.15,743783,MARUTI,NSE,jugaad-data,1d
2021-09-07,6852.1,6858.35,6756.0,6781.25,847767,MARUTI,NSE,jugaad-data,1d
2021-09-08,6750.0,6818.45,6740.0,6802.25,515702,MARUTI,NSE,jugaad-data,1d
2021-09-12,6835.5,6895.45,6813.3,6873.7,508397,MARUTI,NSE,jugaad-data,1d
2021-09-13,6910.0,6955.0,6851.1,6894.45,817280,MARUTI,NSE,jugaad-data,1d
2021-09-14,6938.0,6938.0,6880.0,6909.0,310138,MARUTI,NSE,jugaad-data,1d
2021-09-15,6913.3,6949.0,6870.0,6930.95,556648,MARUTI,NSE,jugaad-data,1d
2021-09-16,6955.0,7064.75,6950.0,7014.45,980793,MARUTI,NSE,jugaad-data,1d
2021-09-19,6979.9,7015.45,6906.2,6950.4,550405,MARUTI,NSE,jugaad-data,1d
2021-09-20,6912.5,6939.7,6741.0,6777.0,1085249,MARUTI,NSE,jugaad-data,1d
2021-09-21,6820.0,6846.0,6785.0,6831.0,548623,MARUTI,NSE,jugaad-data,1d
2021-09-22,6868.0,6879.9,6821.0,6846.7,432740,MARUTI,NSE,jugaad-data,1d
2021-09-23,6850.0,7037.8,6848.0,6952.25,1649962,MARUTI,NSE,jugaad-data,1d
2021-09-26,6974.0,7448.0,6974.0,7403.45,2646138,MARUTI,NSE,jugaad-data,1d
2021-09-27,7448.0,7521.55,7333.5,7423.85,1346961,MARUTI,NSE,jugaad-data,1d
2021-09-28,7390.5,7465.0,7291.0,7384.05,643556,MARUTI,NSE,jugaad-data,1d
2021-09-29,7384.75,7408.05,7301.05,7338.05,625717,MARUTI,NSE,jugaad-data,1d
2021-09-30,7220.0,7220.0,7090.0,7162.3,901588,MARUTI,NSE,jugaad-data,1d
2021-10-03,7180.0,7214.95,7131.8,7170.3,466994,MARUTI,NSE,jugaad-data,1d
2021-10-04,7164.8,7300.0,7155.65,7258.25,546004,MARUTI,NSE,jugaad-data,1d
2021-10-05,7270.9,7281.5,7164.25,7199.25,726695,MARUTI,NSE,jugaad-data,1d
2021-10-06,7234.95,7555.0,7225.25,7492.5,1646727,MARUTI,NSE,jugaad-data,1d
2021-10-07,7548.7,7571.95,7401.15,7430.0,630622,MARUTI,NSE,jugaad-data,1d
2021-10-10,7420.2,7814.8,7419.8,7700.8,1069536,MARUTI,NSE,jugaad-data,1d
2021-10-11,7687.9,7750.0,7630.05,7693.8,406814,MARUTI,NSE,jugaad-data,1d
2021-10-12,7740.0,7749.95,7436.55,7482.15,1084436,MARUTI,NSE,jugaad-data,1d
2021-10-13,7540.0,7560.0,7445.0,7496.9,831546,MARUTI,NSE,jugaad-data,1d
2021-10-17,7405.0,7705.3,7405.0,7657.0,913963,MARUTI,NSE,jugaad-data,1d
2021-10-18,7670.2,7768.6,7585.0,7655.65,658869,MARUTI,NSE,jugaad-data,1d
2021-10-19,7615.0,7667.35,7515.0,7590.75,488082,MARUTI,NSE,jugaad-data,1d
2021-10-20,7650.0,7650.0,7485.0,7575.25,563128,MARUTI,NSE,jugaad-data,1d
2021-10-21,7600.0,7625.0,7386.55,7408.9,224520,MARUTI,NSE,jugaad-data,1d
2021-10-24,7355.0,7396.05,7219.65,7260.6,248058,MARUTI,NSE,jugaad-data,1d
2021-10-25,7265.0,7337.95,7210.2,7297.35,292203,MARUTI,NSE,jugaad-data,1d
2021-10-26,7285.0,7461.25,7244.0,7356.25,1218064,MARUTI,NSE,jugaad-data,1d
2021-10-27,7250.0,7529.7,7235.05,7369.7,961511,MARUTI,NSE,jugaad-data,1d
2021-10-28,7350.0,7550.0,7294.85,7482.4,819875,MARUTI,NSE,jugaad-data,1d
2021-10-31,7401.0,7666.0,7401.0,7615.55,1005690,MARUTI,NSE,jugaad-data,1d
2021-11-01,7647.95,7910.0,7630.8,7791.75,1302733,MARUTI,NSE,jugaad-data,1d
2021-11-02,7791.75,7842.25,7711.6,7734.25,656492,MARUTI,NSE,jugaad-data,1d
2021-11-03,7774.7,7819.95,7735.5,7747.4,53365,MARUTI,NSE,jugaad-data,1d
2021-11-07,7759.95,7882.6,7672.0,7684.6,428433,MARUTI,NSE,jugaad-data,1d
2021-11-08,7709.0,7764.5,7538.7,7577.55,632879,MARUTI,NSE,jugaad-data,1d
2021-11-09,7570.0,7580.0,7460.0,7511.65,562432,MARUTI,NSE,jugaad-data,1d
2021-11-10,7512.0,7567.5,7442.0,7453.45,486991,MARUTI,NSE,jugaad-data,1d
2021-11-11,7530.0,7544.0,7442.0,7479.85,349666,MARUTI,NSE,jugaad-data,1d
2021-11-14,7452.0,7579.85,7452.0,7503.1,314414,MARUTI,NSE,jugaad-data,1d
2021-11-15,7545.0,8128.75,7535.05,8050.35,2619355,MARUTI,NSE,jugaad-data,1d
2021-11-16,8035.0,8350.0,8015.05,8274.75,2377268,MARUTI,NSE,jugaad-data,1d
2021-11-17,8234.0,8368.0,8001.1,8117.15,1337493,MARUTI,NSE,jugaad-data,1d
2021-11-21,8158.0,8187.85,7806.55,7864.4,672298,MARUTI,NSE,jugaad-data,1d
2021-11-22,7849.1,7953.95,7805.0,7854.0,567198,MARUTI,NSE,jugaad-data,1d
2021-11-23,7865.5,7897.95,7636.6,7669.45,571078,MARUTI,NSE,jugaad-data,1d
2021-11-24,7640.0,7719.4,7435.0,7572.5,1007618,MARUTI,NSE,jugaad-data,1d
2021-11-25,7520.0,7520.0,7130.0,7170.5,1154876,MARUTI,NSE,jugaad-data,1d
2021-11-28,7166.0,7210.0,6990.7,7149.5,733010,MARUTI,NSE,jugaad-data,1d
2021-11-29,7149.5,7250.0,7015.55,7067.8,1287938,MARUTI,NSE,jugaad-data,1d
2021-11-30,7191.0,7380.0,7130.05,7273.25,1669583,MARUTI,NSE,jugaad-data,1d
2021-12-01,7285.0,7355.45,7245.65,7324.95,618573,MARUTI,NSE,jugaad-data,1d
2021-12-02,7305.0,7329.0,7148.75,7208.7,603798,MARUTI,NSE,jugaad-data,1d
2021-12-05,7193.0,7200.0,7021.0,7042.85,609507,MARUTI,NSE,jugaad-data,1d
2021-12-06,7129.0,7261.8,7091.2,7186.6,637151,MARUTI,NSE,jugaad-data,1d
2021-12-07,7225.0,7497.85,7151.1,7434.9,930339,MARUTI,NSE,jugaad-data,1d
2021-12-08,7469.0,7469.0,7325.0,7421.75,615037,MARUTI,NSE,jugaad-data,1d
2021-12-09,7380.0,7475.0,7357.95,7425.65,431682,MARUTI,NSE,jugaad-data,1d
2021-12-12,7485.0,7575.9,7425.0,7516.4,883009,MARUTI,NSE,jugaad-data,1d
2021-12-13,7516.8,7556.3,7457.8,7493.15,749704,MARUTI,NSE,jugaad-data,1d
2021-12-14,7476.0,7640.0,7453.05,7567.95,529018,MARUTI,NSE,jugaad-data,1d
2021-12-15,7591.5,7621.0,7406.0,7450.8,595582,MARUTI,NSE,jugaad-data,1d
2021-12-16,7480.0,7480.0,7241.0,7296.6,1081907,MARUTI,NSE,jugaad-data,1d
2021-12-19,7200.0,7321.55,7035.85,7286.6,867425,MARUTI,NSE,jugaad-data,1d
2021-12-20,7306.5,7404.95,7284.0,7315.15,415744,MARUTI,NSE,jugaad-data,1d
2021-12-21,7305.5,7454.0,7305.5,7423.75,368978,MARUTI,NSE,jugaad-data,1d
2021-12-22,7481.0,7500.0,7355.0,7387.15,249919,MARUTI,NSE,jugaad-data,1d
2021-12-23,7441.0,7449.85,7252.15,7317.1,357447,MARUTI,NSE,jugaad-data,1d
2021-12-26,7277.1,7330.0,7186.2,7289.5,190180,MARUTI,NSE,jugaad-data,1d
2021-12-27,7320.0,7359.0,7255.1,7297.45,214533,MARUTI,NSE,jugaad-data,1d
2021-12-28,7297.7,7365.0,7240.45,7350.05,287776,MARUTI,NSE,jugaad-data,1d
2021-12-29,7350.0,7395.15,7255.4,7282.25,296041,MARUTI,NSE,jugaad-data,1d
2021-12-30,7290.05,7449.5,7290.05,7426.45,313398,MARUTI,NSE,jugaad-data,1d
2022-01-02,7420.0,7605.95,7420.0,7523.9,456599,MARUTI,NSE,jugaad-data,1d
2022-01-03,7600.0,7649.0,7520.0,7630.1,495182,MARUTI,NSE,jugaad-data,1d
2022-01-04,7624.85,7808.0,7605.6,7775.35,710043,MARUTI,NSE,jugaad-data,1d
2022-01-05,7782.0,7899.45,7683.95,7882.1,739981,MARUTI,NSE,jugaad-data,1d
2022-01-06,7882.1,7944.8,7835.5,7906.0,523116,MARUTI,NSE,jugaad-data,1d
2022-01-09,7950.0,8232.0,7924.15,8125.6,827930,MARUTI,NSE,jugaad-data,1d
2022-01-10,8100.0,8162.45,8069.3,8143.85,688923,MARUTI,NSE,jugaad-data,1d
2022-01-11,8200.0,8200.0,8115.0,8170.75,288174,MARUTI,NSE,jugaad-data,1d
2022-01-12,8175.0,8260.0,7952.0,8077.05,684931,MARUTI,NSE,jugaad-data,1d
2022-01-13,7951.0,8145.0,7951.0,8084.2,299536,MARUTI,NSE,jugaad-data,1d
2022-01-16,8124.8,8368.9,8100.1,8265.5,862249,MARUTI,NSE,jugaad-data,1d
2022-01-17,8248.95,8248.95,7891.5,7915.15,785199,MARUTI,NSE,jugaad-data,1d
2022-01-18,7929.0,8060.0,7860.0,8015.7,681632,MARUTI,NSE,jugaad-data,1d
2022-01-19,8000.0,8140.0,7997.55,8036.35,522850,MARUTI,NSE,jugaad-data,1d
2022-01-20,7970.0,8244.0,7856.05,8189.6,1041476,MARUTI,NSE,jugaad-data,1d
2022-01-23,8189.0,8332.8,7952.8,8052.3,1153538,MARUTI,NSE,jugaad-data,1d
2022-01-24,7990.0,8664.0,7887.9,8602.6,2162832,MARUTI,NSE,jugaad-data,1d
2022-01-26,8656.0,8971.65,8400.05,8820.2,2899559,MARUTI,NSE,jugaad-data,1d
2022-01-27,8795.0,8930.0,8522.35,8550.95,1045088,MARUTI,NSE,jugaad-data,1d
2022-01-30,8625.0,8720.0,8552.8,8597.3,561419,MARUTI,NSE,jugaad-data,1d
2022-01-31,8693.0,8790.8,8351.0,8559.4,819689,MARUTI,NSE,jugaad-data,1d
2022-02-01,8579.7,8683.0,8440.25,8515.25,580433,MARUTI,NSE,jugaad-data,1d
2022-02-02,8550.0,8798.0,8522.7,8593.65,810019,MARUTI,NSE,jugaad-data,1d
