date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,1153.31,1153.31,1153.31,1153.31,73,NTPC,NSE,jugaad-data,1d
2021-08-16,13.82,13.89,13.82,13.88,28220,NTPC,NSE,jugaad-data,1d
2021-08-17,1330.0,1334.0,1327.0,1334.0,54,NTPC,NSE,jugaad-data,1d
2021-08-19,1425.0,1430.0,1414.0,1426.51,193,NTPC,NSE,jugaad-data,1d
2021-08-22,1247.61,1247.61,1247.61,1247.61,1,NTPC,NSE,jugaad-data,1d
2021-08-23,1336.0,1338.0,1336.0,1338.0,50,NTPC,NSE,jugaad-data,1d
2021-08-24,1430.0,1430.0,1430.0,1430.0,41,NTPC,NSE,jugaad-data,1d
2021-08-25,1153.31,1153.31,1153.31,1153.31,157,NTPC,NSE,jugaad-data,1d
2021-08-26,1329.0,1595.0,1329.0,1589.99,28,NTPC,NSE,jugaad-data,1d
2021-08-29,13.81,13.94,13.81,13.84,37920,NTPC,NSE,jugaad-data,1d
2021-08-30,1250.0,1250.0,1250.0,1250.0,78,NTPC,NSE,jugaad-data,1d
2021-09-15,1153.09,1153.09,1153.0,1153.0,221,NTPC,NSE,jugaad-data,1d
2021-09-16,1148.8,1148.99,1148.8,1148.8,350,NTPC,NSE,jugaad-data,1d
2021-09-19,1300.0,1300.0,1300.0,1300.0,1,NTPC,NSE,jugaad-data,1d
2021-09-20,122.3,125.4,122.1,124.1,8629222,NTPC,NSE,jugaad-data,1d
2021-09-21,1300.0,1300.0,1295.0,1295.0,59,NTPC,NSE,jugaad-data,1d
2021-09-22,13.88,14.0,13.88,13.9,62452,NTPC,NSE,jugaad-data,1d
2021-09-23,1296.0,1296.0,1288.4,1288.64,487,NTPC,NSE,jugaad-data,1d
2021-09-26,1265.0,1265.0,1265.0,1265.0,50,NTPC,NSE,jugaad-data,1d
2021-09-27,1304.75,1304.75,1304.75,1304.75,1,NTPC,NSE,jugaad-data,1d
2021-09-28,1179.6,1179.6,1179.6,1179.6,2,NTPC,NSE,jugaad-data,1d
2021-09-29,1189.0,1189.0,1189.0,1189.0,1,NTPC,NSE,jugaad-data,1d
2021-10-11,1450.0,1450.0,1447.0,1447.22,715,NTPC,NSE,jugaad-data,1d
2021-10-12,1276.0,1276.0,1276.0,1276.0,1,NTPC,NSE,jugaad-data,1d
2021-10-13,1182.0,1182.0,1182.0,1182.0,100,NTPC,NSE,jugaad-data,1d
2021-10-17,1295.0,1295.0,1295.0,1295.0,2,NTPC,NSE,jugaad-data,1d
2021-10-18,1469.0,1470.6,1443.1,1443.89,32,NTPC,NSE,jugaad-data,1d
2021-10-19,1445.0,1449.0,1445.0,1449.0,58,NTPC,NSE,jugaad-data,1d
2021-10-20,147.7,148.55,145.9,147.9,20818539,NTPC,NSE,jugaad-data,1d
2021-10-21,13.93,13.96,13.92,13.94,30845,NTPC,NSE,jugaad-data,1d
2021-10-24,13.94,13.97,13.83,13.93,95017,NTPC,NSE,jugaad-data,1d
2021-10-25,1300.0,1300.0,1300.0,1300.0,1,NTPC,NSE,jugaad-data,1d
2021-10-26,1469.0,1469.0,1460.0,1460.0,67,NTPC,NSE,jugaad-data,1d
2021-10-27,1285.0,1285.0,1285.0,1285.0,1,NTPC,NSE,jugaad-data,1d
2021-10-28,13.95,14.0,13.89,13.95,29194,NTPC,NSE,jugaad-data,1d
2021-11-11,13.95,14.08,13.92,13.95,104985,NTPC,NSE,jugaad-data,1d
2021-11-14,137.3,137.65,136.0,137.15,3991733,NTPC,NSE,jugaad-data,1d
2021-11-15,137.7,137.8,134.0,134.3,5762128,NTPC,NSE,jugaad-data,1d
2021-11-16,134.0,138.0,134.0,136.45,15264066,NTPC,NSE,jugaad-data,1d
2021-11-17,1290.0,1300.0,1290.0,1298.99,270,NTPC,NSE,jugaad-data,1d
2021-11-21,13.96,14.0,13.91,13.97,109072,NTPC,NSE,jugaad-data,1d
2021-11-22,130.05,133.75,128.15,133.5,11510010,NTPC,NSE,jugaad-data,1d
2021-11-23,1477.0,1477.0,1470.01,1470.01,5,NTPC,NSE,jugaad-data,1d
2021-11-24,1146.25,1150.0,1146.25,1150.0,3,NTPC,NSE,jugaad-data,1d
2021-11-25,1189.5,1193.0,1189.5,1192.0,278,NTPC,NSE,jugaad-data,1d
2021-11-28,127.8,129.35,125.05,126.5,16077669,NTPC,NSE,jugaad-data,1d
2021-11-29,1425.0,1425.0,1401.0,1401.0,8,NTPC,NSE,jugaad-data,1d
2021-12-19,1300.0,1300.0,1300.0,1300.0,1,NTPC,NSE,jugaad-data,1d
2021-12-20,14.01,14.1,14.01,14.04,49988,NTPC,NSE,jugaad-data,1d
2021-12-21,1130.55,1130.55,1130.55,1130.55,64,NTPC,NSE,jugaad-data,1d
2021-12-22,14.03,14.15,14.03,14.06,33678,NTPC,NSE,jugaad-data,1d
2021-12-23,1498.0,1498.0,1285.0,1285.0,120,NTPC,NSE,jugaad-data,1d
2021-12-26,121.25,122.15,120.6,121.85,5097217,NTPC,NSE,jugaad-data,1d
2021-12-27,13.96,14.1,13.96,14.05,16850,NTPC,NSE,jugaad-data,1d
2021-12-28,124.6,124.75,122.2,123.15,8960770,NTPC,NSE,jugaad-data,1d
2021-12-29,1148.0,1148.0,1106.8,1123.03,165,NTPC,NSE,jugaad-data,1d
2021-12-30,1145.0,1147.0,1139.85,1139.85,59,NTPC,NSE,jugaad-data,1d
2022-01-16,1100.0,1100.0,1074.1,1098.0,812,NTPC,NSE,jugaad-data,1d
2022-01-17,1110.0,1128.59,1110.0,1128.59,360,NTPC,NSE,jugaad-data,1d
2022-01-18,1074.0,1085.0,1074.0,1085.0,406,NTPC,NSE,jugaad-data,1d
2022-01-19,1085.0,1085.0,1079.5,1079.96,950,NTPC,NSE,jugaad-data,1d
2022-01-20,14.04,14.05,14.03,14.03,13407,NTPC,NSE,jugaad-data,1d
2022-01-23,1075.81,1075.81,1075.81,1075.81,10,NTPC,NSE,jugaad-data,1d
2022-01-24,1134.7,1134.7,1134.7,1134.7,160,NTPC,NSE,jugaad-data,1d
2022-01-26,14.06,14.1,14.0,14.03,21138,NTPC,NSE,jugaad-data,1d
2022-01-27,1388.9,1388.9,1380.0,1385.0,1087,NTPC,NSE,jugaad-data,1d
2022-01-30,1119.0,1119.0,1119.0,1119.0,350,NTPC,NSE,jugaad-data,1d
2022-02-14,1397.9,1398.0,1397.9,1398.0,315,NTPC,NSE,jugaad-data,1d
2022-02-15,1388.0,1388.0,1388.0,1388.0,296,NTPC,NSE,jugaad-data,1d
2022-02-16,1100.0,1100.0,1088.5,1088.5,150,NTPC,NSE,jugaad-data,1d
2022-02-17,1361.0,1361.0,1361.0,1361.0,46,NTPC,NSE,jugaad-data,1d
2022-02-20,1074.0,1077.0,1074.0,1077.0,2,NTPC,NSE,jugaad-data,1d
2022-02-21,1231.75,1231.75,1231.75,1231.75,1000,NTPC,NSE,jugaad-data,1d
2022-02-22,132.0,133.45,129.85,130.2,9263264,NTPC,NSE,jugaad-data,1d
2022-02-23,1325.0,1327.0,1320.0,1320.0,9,NTPC,NSE,jugaad-data,1d
2022-02-24,1092.15,1095.3,1092.15,1095.3,100,NTPC,NSE,jugaad-data,1d
2022-02-27,128.95,133.95,128.8,133.5,13262687,NTPC,NSE,jugaad-data,1d
