date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,116.9,118.35,114.7,115.5,14771886,ONGC,NSE,jugaad-data,1d
2021-08-16,116.0,116.0,112.7,113.85,16025745,ONGC,NSE,jugaad-data,1d
2021-08-17,113.9,115.25,112.9,113.2,10074307,ONGC,NSE,jugaad-data,1d
2021-08-19,110.65,111.75,108.5,110.2,23878081,ONGC,NSE,jugaad-data,1d
2021-08-22,110.35,112.0,108.5,111.75,16886027,ONGC,NSE,jugaad-data,1d
2021-08-23,113.15,115.2,112.1,113.2,17368602,ONGC,NSE,jugaad-data,1d
2021-08-24,113.5,117.2,113.3,115.65,18637317,ONGC,NSE,jugaad-data,1d
2021-08-25,115.6,116.25,114.4,115.55,8779246,ONGC,NSE,jugaad-data,1d
2021-08-26,115.5,117.0,114.95,116.65,9706825,ONGC,NSE,jugaad-data,1d
2021-08-29,116.75,120.4,116.75,120.15,15933414,ONGC,NSE,jugaad-data,1d
2021-08-30,120.0,121.0,119.05,120.55,13376290,ONGC,NSE,jugaad-data,1d
2021-08-31,121.8,122.25,119.4,119.7,10964080,ONGC,NSE,jugaad-data,1d
2021-09-01,118.9,120.15,118.0,118.65,13031666,ONGC,NSE,jugaad-data,1d
2021-09-02,119.95,123.5,118.8,123.1,21326802,ONGC,NSE,jugaad-data,1d
2021-09-05,123.8,124.35,121.15,121.65,12505630,ONGC,NSE,jugaad-data,1d
2021-09-06,122.5,122.75,119.55,119.95,8530847,ONGC,NSE,jugaad-data,1d
2021-09-07,119.0,119.5,117.5,118.95,7801721,ONGC,NSE,jugaad-data,1d
2021-09-08,119.1,123.8,118.2,122.15,27242637,ONGC,NSE,jugaad-data,1d
2021-09-12,122.2,123.4,121.1,123.05,9921031,ONGC,NSE,jugaad-data,1d
2021-09-13,123.3,125.4,122.8,123.95,16593684,ONGC,NSE,jugaad-data,1d
2021-09-14,124.25,130.7,124.25,128.45,42437332,ONGC,NSE,jugaad-data,1d
2021-09-15,129.65,131.25,127.4,128.7,22431820,ONGC,NSE,jugaad-data,1d
2021-09-16,128.7,129.7,124.75,127.75,25968166,ONGC,NSE,jugaad-data,1d
2021-09-19,125.05,129.4,125.05,128.5,29857432,ONGC,NSE,jugaad-data,1d
