date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-15,184.0,184.3,180.4,180.7,15981492,POWERGRID,NSE,jugaad-data,1d
2021-08-16,181.05,183.75,181.0,183.25,11971845,POWERGRID,NSE,jugaad-data,1d
2021-08-17,183.7,186.0,180.15,180.6,18920646,POWERGRID,NSE,jugaad-data,1d
2021-08-19,177.3,180.05,177.05,178.6,14040351,POWERGRID,NSE,jugaad-data,1d
2021-08-22,179.5,179.9,174.2,175.65,9834559,POWERGRID,NSE,jugaad-data,1d
2021-08-23,177.3,179.3,175.45,176.6,8272098,POWERGRID,NSE,jugaad-data,1d
2021-08-24,177.2,177.45,175.05,175.5,9001014,POWERGRID,NSE,jugaad-data,1d
2021-08-25,175.4,175.4,171.6,173.1,9086435,POWERGRID,NSE,jugaad-data,1d
2021-08-26,173.8,174.85,171.75,174.35,6038775,POWERGRID,NSE,jugaad-data,1d
2021-08-29,175.2,176.35,172.8,175.5,10884301,POWERGRID,NSE,jugaad-data,1d
2021-08-30,175.5,177.05,174.95,175.35,32436250,POWERGRID,NSE,jugaad-data,1d
2021-08-31,177.8,177.8,174.65,175.65,8863194,POWERGRID,NSE,jugaad-data,1d
2021-09-01,175.4,176.1,174.2,175.75,10158768,POWERGRID,NSE,jugaad-data,1d
2021-09-02,176.0,176.8,174.4,175.55,9214857,POWERGRID,NSE,jugaad-data,1d
2021-09-05,175.7,176.35,173.0,174.1,10462864,POWERGRID,NSE,jugaad-data,1d
2021-09-06,174.1,174.15,172.45,173.0,9363774,POWERGRID,NSE,jugaad-data,1d
2021-09-07,171.25,173.6,170.2,172.85,19027722,POWERGRID,NSE,jugaad-data,1d
2021-09-08,172.4,174.15,171.9,173.5,3808763,POWERGRID,NSE,jugaad-data,1d
2021-09-12,174.25,174.3,172.7,173.9,5641863,POWERGRID,NSE,jugaad-data,1d
2021-09-13,173.9,175.1,173.5,174.1,6325821,POWERGRID,NSE,jugaad-data,1d
2021-09-14,174.0,179.0,173.75,177.9,15048179,POWERGRID,NSE,jugaad-data,1d
2021-09-15,178.95,181.65,178.3,179.45,12161163,POWERGRID,NSE,jugaad-data,1d
2021-09-16,179.55,180.4,176.75,178.8,15914420,POWERGRID,NSE,jugaad-data,1d
2021-09-19,177.2,179.2,175.1,177.0,5874802,POWERGRID,NSE,jugaad-data,1d
2021-09-20,176.05,178.4,175.45,175.9,7110756,POWERGRID,NSE,jugaad-data,1d
2021-09-21,175.8,177.45,175.8,176.75,6874226,POWERGRID,NSE,jugaad-data,1d
2021-09-22,177.0,178.75,177.0,178.25,7721935,POWERGRID,NSE,jugaad-data,1d
2021-09-23,178.3,179.5,175.8,176.15,5320059,POWERGRID,NSE,jugaad-data,1d
2021-09-26,176.5,177.15,175.1,176.0,3904237,POWERGRID,NSE,jugaad-data,1d
