date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-16,1381.949951171875,1399.949951171875,1360.25,1367.8499755859375,2912430,TECHM,NSE,yfinance,1d
2021-08-17,1372.0,1428.800048828125,1370.5,1413.699951171875,8042970,TECHM,NSE,yfinance,1d
2021-08-18,1418.0,1425.0,1404.25,1412.5,2939739,TECHM,NSE,yfinance,1d
2021-08-20,1370.6500244140625,1420.0,1370.6500244140625,1399.199951171875,4051399,TECHM,NSE,yfinance,1d
2021-08-23,1415.449951171875,1442.949951171875,1409.0,1416.0,3987240,TECHM,NSE,yfinance,1d
2021-08-24,1421.9000244140625,1467.0,1420.0,1463.3499755859375,5366923,TECHM,NSE,yfinance,1d
2021-08-25,1463.0,1478.0,1450.0,1463.0999755859375,3105863,TECHM,NSE,yfinance,1d
2021-08-26,1459.800048828125,1466.75,1444.0,1449.5,1993944,TECHM,NSE,yfinance,1d
2021-08-27,1449.8499755859375,1457.0999755859375,1431.199951171875,1445.4000244140625,3097939,TECHM,NSE,yfinance,1d
2021-08-30,1450.0,1455.0,1415.9000244140625,1419.199951171875,2742699,TECHM,NSE,yfinance,1d
2021-08-31,1424.800048828125,1454.0,1406.949951171875,1447.6500244140625,6392991,TECHM,NSE,yfinance,1d
2021-09-01,1450.0,1468.25,1427.5,1436.300048828125,1829925,TECHM,NSE,yfinance,1d
2021-09-02,1436.0,1452.550048828125,1421.199951171875,1437.800048828125,3860958,TECHM,NSE,yfinance,1d
2021-09-03,1444.0,1449.699951171875,1425.0999755859375,1441.949951171875,1919590,TECHM,NSE,yfinance,1d
2021-09-06,1448.0,1467.9000244140625,1436.0999755859375,1461.1500244140625,1801171,TECHM,NSE,yfinance,1d
2021-09-07,1468.949951171875,1472.9000244140625,1432.300048828125,1435.199951171875,1940043,TECHM,NSE,yfinance,1d
2021-09-08,1440.199951171875,1442.3499755859375,1419.8499755859375,1427.8499755859375,2256454,TECHM,NSE,yfinance,1d
2021-09-09,1425.5999755859375,1437.9000244140625,1414.0,1433.25,2303457,TECHM,NSE,yfinance,1d
2021-09-13,1436.0,1439.800048828125,1420.3499755859375,1429.5,1937241,TECHM,NSE,yfinance,1d
2021-09-14,1435.0,1457.0,1429.5,1452.050048828125,1554999,TECHM,NSE,yfinance,1d
2021-09-15,1442.0999755859375,1480.0,1437.949951171875,1464.8499755859375,2410087,TECHM,NSE,yfinance,1d
2021-09-16,1464.8499755859375,1469.0,1440.0,1448.3499755859375,1800078,TECHM,NSE,yfinance,1d
2021-09-17,1451.0,1472.0,1436.5999755859375,1451.550048828125,2861623,TECHM,NSE,yfinance,1d
2021-09-20,1440.0,1493.1500244140625,1426.3499755859375,1431.300048828125,2526342,TECHM,NSE,yfinance,1d
2021-09-21,1439.0,1466.449951171875,1420.4000244140625,1461.699951171875,1713705,TECHM,NSE,yfinance,1d
2021-09-22,1464.0,1527.9000244140625,1456.5,1513.5999755859375,5145820,TECHM,NSE,yfinance,1d
2021-09-23,1525.0999755859375,1531.0,1504.0,1521.5,2015302,TECHM,NSE,yfinance,1d
2021-09-24,1530.0,1547.8499755859375,1511.050048828125,1514.75,3592146,TECHM,NSE,yfinance,1d
2021-09-27,1523.0,1525.0,1459.199951171875,1464.4000244140625,2728552,TECHM,NSE,yfinance,1d
2021-09-28,1464.4000244140625,1465.0,1408.4000244140625,1414.050048828125,3995669,TECHM,NSE,yfinance,1d
2021-09-29,1400.0,1408.949951171875,1372.75,1395.3499755859375,7948104,TECHM,NSE,yfinance,1d
2021-09-30,1388.0,1402.6500244140625,1377.0,1380.5999755859375,3856630,TECHM,NSE,yfinance,1d
2021-10-01,1375.0,1384.0,1364.800048828125,1371.25,2661824,TECHM,NSE,yfinance,1d
2021-10-04,1384.699951171875,1405.550048828125,1372.050048828125,1399.050048828125,2538936,TECHM,NSE,yfinance,1d
2021-10-05,1399.0999755859375,1421.0,1381.0,1413.050048828125,2481825,TECHM,NSE,yfinance,1d
2021-10-06,1422.9000244140625,1426.9000244140625,1379.949951171875,1385.6500244140625,2769341,TECHM,NSE,yfinance,1d
2021-10-07,1397.949951171875,1423.300048828125,1375.6500244140625,1417.199951171875,1956325,TECHM,NSE,yfinance,1d
2021-10-08,1418.5,1447.0,1418.5,1439.949951171875,2665924,TECHM,NSE,yfinance,1d
2021-10-11,1420.0,1434.449951171875,1385.5999755859375,1400.199951171875,3073366,TECHM,NSE,yfinance,1d
2021-10-12,1399.0,1402.8499755859375,1361.0,1374.449951171875,2965629,TECHM,NSE,yfinance,1d
2021-10-13,1386.9000244140625,1410.0,1377.0,1402.1500244140625,1738985,TECHM,NSE,yfinance,1d
2021-10-14,1432.0,1459.5999755859375,1410.5,1430.800048828125,4328124,TECHM,NSE,yfinance,1d
2021-10-18,1420.0,1486.949951171875,1420.0,1479.6500244140625,3579606,TECHM,NSE,yfinance,1d
2021-10-19,1498.0,1569.800048828125,1477.050048828125,1539.0999755859375,8645334,TECHM,NSE,yfinance,1d
2021-10-20,1544.0,1576.5,1515.800048828125,1539.300048828125,5159270,TECHM,NSE,yfinance,1d
2021-10-21,1546.1500244140625,1546.1500244140625,1476.050048828125,1524.25,4261416,TECHM,NSE,yfinance,1d
2021-10-22,1531.0,1561.949951171875,1483.75,1517.449951171875,5223521,TECHM,NSE,yfinance,1d
2021-10-25,1531.0,1535.0,1483.800048828125,1524.0999755859375,3890467,TECHM,NSE,yfinance,1d
2021-10-26,1571.9000244140625,1630.0,1543.0,1563.300048828125,16978043,TECHM,NSE,yfinance,1d
2021-10-27,1561.8499755859375,1587.0999755859375,1527.5,1567.8499755859375,3624131,TECHM,NSE,yfinance,1d
2021-10-28,1578.0,1582.8499755859375,1526.0,1533.300048828125,3054565,TECHM,NSE,yfinance,1d
2021-10-29,1527.3499755859375,1542.75,1467.800048828125,1477.8499755859375,3795495,TECHM,NSE,yfinance,1d
2021-11-01,1490.0,1529.9000244140625,1487.050048828125,1522.1500244140625,2271900,TECHM,NSE,yfinance,1d
2021-11-02,1522.25,1522.949951171875,1488.050048828125,1490.5999755859375,2041689,TECHM,NSE,yfinance,1d
2021-11-03,1498.0,1537.699951171875,1493.5999755859375,1498.550048828125,2697346,TECHM,NSE,yfinance,1d
2021-11-04,1509.0,1515.0,1501.0,1505.8499755859375,166444,TECHM,NSE,yfinance,1d
2021-11-08,1508.0,1562.800048828125,1504.300048828125,1556.199951171875,3050392,TECHM,NSE,yfinance,1d
2021-11-09,1561.0,1572.0,1553.0,1559.199951171875,2061369,TECHM,NSE,yfinance,1d
2021-11-10,1555.949951171875,1573.3499755859375,1546.550048828125,1566.5999755859375,1299996,TECHM,NSE,yfinance,1d
2021-11-11,1560.0,1560.0,1515.0,1521.949951171875,3027565,TECHM,NSE,yfinance,1d
2021-11-12,1538.5,1589.449951171875,1531.300048828125,1585.0,3713868,TECHM,NSE,yfinance,1d
2021-11-15,1585.0,1601.5,1573.3499755859375,1579.1500244140625,2448280,TECHM,NSE,yfinance,1d
2021-11-16,1585.0999755859375,1605.0,1576.0,1599.9000244140625,2864344,TECHM,NSE,yfinance,1d
2021-11-17,1598.5,1625.0,1595.0,1618.449951171875,2304359,TECHM,NSE,yfinance,1d
2021-11-18,1620.199951171875,1624.75,1559.5,1567.75,2938804,TECHM,NSE,yfinance,1d
2021-11-22,1581.800048828125,1581.800048828125,1520.0,1541.300048828125,1951782,TECHM,NSE,yfinance,1d
2021-11-23,1522.0,1564.449951171875,1506.300048828125,1560.550048828125,1823592,TECHM,NSE,yfinance,1d
2021-11-24,1568.800048828125,1569.9000244140625,1530.0,1538.0999755859375,1644163,TECHM,NSE,yfinance,1d
2021-11-25,1531.0,1564.800048828125,1530.050048828125,1559.3499755859375,1557493,TECHM,NSE,yfinance,1d
2021-11-26,1544.0,1550.0,1510.1500244140625,1527.4000244140625,1522173,TECHM,NSE,yfinance,1d
2021-11-29,1515.0,1545.5,1479.4000244140625,1536.6500244140625,1995524,TECHM,NSE,yfinance,1d
2021-11-30,1529.0,1594.449951171875,1526.5,1541.449951171875,5662900,TECHM,NSE,yfinance,1d
2021-12-01,1550.0,1594.4000244140625,1550.0,1587.5999755859375,2761193,TECHM,NSE,yfinance,1d
2021-12-02,1590.0,1632.5,1580.0,1629.6500244140625,2664202,TECHM,NSE,yfinance,1d
2021-12-03,1625.0,1638.25,1589.699951171875,1593.300048828125,2400296,TECHM,NSE,yfinance,1d
2021-12-06,1606.0,1619.550048828125,1546.8499755859375,1551.75,2911781,TECHM,NSE,yfinance,1d
2021-12-07,1564.0,1581.3499755859375,1536.0,1576.6500244140625,1758254,TECHM,NSE,yfinance,1d
2021-12-08,1582.6500244140625,1614.800048828125,1582.050048828125,1604.800048828125,1604565,TECHM,NSE,yfinance,1d
2021-12-09,1593.0,1620.0,1585.0,1611.199951171875,1947954,TECHM,NSE,yfinance,1d
2021-12-10,1611.0,1611.199951171875,1578.550048828125,1602.6500244140625,1776362,TECHM,NSE,yfinance,1d
2021-12-13,1605.0,1655.5,1597.449951171875,1638.1500244140625,3163063,TECHM,NSE,yfinance,1d
2021-12-14,1640.0,1665.0,1625.6500244140625,1642.699951171875,2725454,TECHM,NSE,yfinance,1d
2021-12-15,1639.0,1646.300048828125,1615.9000244140625,1641.5999755859375,1622068,TECHM,NSE,yfinance,1d
2021-12-16,1649.0,1667.6500244140625,1642.199951171875,1652.6500244140625,2225836,TECHM,NSE,yfinance,1d
