date,open,high,low,close,volume,symbol,exchange,source,interval
2021-08-16,39543.80078125,39584.30078125,39381.94921875,39548.05078125,184700,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-08-17,39568.80078125,39803.1484375,39382.94921875,39755.19921875,315500,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-08-18,39827.55078125,40080.1484375,39799.6015625,39973.6484375,279100,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-08-20,39660.3984375,39933.69921875,39228.94921875,39381.8515625,302300,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-08-23,39697.75,39770.6015625,39022.30078125,39220.1484375,354600,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-08-24,39460.3515625,39655.6015625,39233.30078125,39601.80078125,337400,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-08-25,39777.19921875,39842.05078125,39645.94921875,39784.94921875,256500,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-08-26,39932.5,40055.3515625,39733.8515625,39904.05078125,274400,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-08-27,40090.3515625,40427.0,39936.19921875,40403.8984375,225400,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-08-30,40594.8984375,41052.1484375,40585.8515625,41028.5,263100,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-08-31,41104.44921875,41639.6015625,40992.8515625,41585.44921875,310200,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-01,41790.1015625,41939.0,41595.30078125,41887.55078125,313400,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-02,41950.0,42345.69921875,41876.25,42315.6484375,325600,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-03,42521.69921875,42591.6484375,42288.75,42559.1015625,279700,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-06,42788.0,42790.8515625,42467.3984375,42503.5,174700,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-07,42626.94921875,42695.69921875,42186.8515625,42357.69921875,195100,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-08,42420.25,42637.55078125,42272.1015625,42588.8515625,290200,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-09,42578.19921875,42799.1484375,42508.6484375,42774.5,185600,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-13,42814.3515625,42958.30078125,42637.75,42907.5,215600,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-14,43082.0,43181.94921875,42948.6484375,43041.94921875,926600,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-15,43187.05078125,43268.05078125,43098.19921875,43212.1015625,503200,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-16,43406.0,43562.6015625,43307.3515625,43514.6015625,1230300,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-17,43573.5,43633.30078125,42920.05078125,43157.25,903400,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-20,42797.6484375,43030.44921875,42262.80078125,42354.55078125,341200,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-21,42296.3984375,42766.3515625,41936.3515625,42725.1484375,300900,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-22,42807.6015625,43066.30078125,42754.30078125,42957.55078125,251700,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-23,43212.1015625,43478.6015625,43137.5,43437.69921875,294000,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-24,43596.05078125,43648.3515625,42959.8515625,43071.6484375,302000,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-27,43223.55078125,43235.6015625,42664.6015625,42949.75,228100,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-28,43043.69921875,43073.69921875,42423.94921875,42640.69921875,366800,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-29,42426.44921875,42664.80078125,42321.8984375,42411.05078125,452900,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-09-30,42519.69921875,42613.3984375,42284.25,42383.8515625,396300,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-10-01,42343.8984375,42560.19921875,42109.8984375,42513.6484375,541300,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-10-04,42772.3515625,43199.3984375,42679.25,43159.55078125,406900,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-10-05,43198.44921875,43382.3984375,43111.5,43332.25,363900,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-10-06,43546.5,43726.1484375,42832.80078125,42919.30078125,434600,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-10-07,43308.5,43506.05078125,43250.6015625,43371.05078125,365900,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-10-08,43580.6015625,43621.69921875,43218.30078125,43270.69921875,365800,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-10-11,43440.5,43630.19921875,43257.1484375,43465.1484375,307600,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-10-12,43596.1484375,43850.75,43392.69921875,43792.8515625,368600,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-10-13,44052.8515625,44401.1015625,43956.75,44217.25,395100,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-10-14,44444.3515625,44860.1484375,44427.75,44597.3984375,438000,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
2021-10-18,45216.55078125,45290.80078125,44657.0,44708.1015625,1123800,NIFTY_MIDCAP_50,NSE_INDEX,yfinance,1d
